0,1,2,3,4,5,6,7,8,9,cluster,timestamps
2815,12,24,541,256,1131,188,185,126,883,2,232407
2808,22,26,571,249,1120,193,175,107,888,2,232408
2804,12,25,582,277,1110,185,180,123,895,2,232409
2803,10,24,553,276,1101,186,183,127,902,2,232410
2800,22,24,524,273,1092,198,182,111,911,2,232411
2792,41,25,495,265,1084,213,177,85,920,2,232412
2781,52,26,466,254,1077,223,174,70,930,2,232413
2769,58,27,437,242,1071,227,173,62,942,2,232414
2755,64,30,408,228,1065,232,166,46,953,2,232415
2738,69,32,379,211,1061,234,161,33,966,2,232416
2720,72,33,351,193,1057,236,158,26,979,2,232417
2701,75,33,323,165,1054,238,158,24,994,2,232418
2682,73,30,295,138,1052,238,168,38,1006,2,232419
2667,68,27,268,123,1050,235,174,53,993,2,232420
2653,60,26,242,106,1050,230,175,62,981,2,232421
2642,50,25,212,85,1050,222,177,76,969,2,232422
2632,38,24,182,68,1050,212,179,90,959,2,232423
2625,16,23,153,57,1052,193,185,120,949,2,232424
2625,8,25,124,57,1054,183,183,129,940,2,232425
2621,17,26,95,49,1057,190,177,114,931,2,232426
2616,28,26,67,36,1061,200,173,97,924,2,232427
2607,36,26,42,18,1065,208,173,87,918,6,232428
2597,337,16,0,0,1077,184,217,171,908,6,232429
2606,296,24,30,17,1084,146,225,215,904,2,232430
2621,288,29,60,32,1092,128,223,229,902,2,232431
2638,285,32,85,22,1101,117,221,235,900,2,232432
2656,284,33,108,40,1110,113,220,237,900,2,232433
2674,284,31,127,51,1120,122,223,234,900,2,232434
2690,280,29,150,67,1131,129,228,232,902,2,232435
2706,276,26,170,76,1142,140,234,229,904,2,232436
2719,270,23,192,89,1155,155,241,222,908,2,232437
2731,264,20,216,101,1167,164,245,217,912,2,232438
2742,261,16,242,93,1181,179,247,206,918,2,232439
2748,259,14,268,99,1195,187,247,199,924,2,232440
2755,250,12,295,106,1209,192,249,194,931,2,232441
2761,223,9,323,87,1224,208,249,177,940,2,232442
2762,197,9,350,88,1240,218,248,164,949,2,232443
2762,173,8,331,68,1256,225,244,152,959,2,232444
2761,144,9,301,67,1273,233,239,137,969,2,232445
2758,133,9,272,64,1290,235,236,132,981,2,232446
2754,109,9,242,60,1308,236,230,124,993,2,232447
2748,78,12,212,54,1326,235,219,114,1006,2,232448
2743,67,16,182,49,1339,234,207,100,1020,2,232449
2734,65,19,153,40,1348,234,199,89,1034,2,232450
2716,57,22,95,22,1366,229,187,80,1065,2,232451
2704,54,24,67,10,1376,226,182,76,1082,2,232452
2694,51,25,42,0,1387,223,177,75,1099,2,232453
2682,38,25,30,18,1398,211,178,90,1116,2,232454
2677,9,24,0,0,1410,185,184,128,1134,2,232455
2678,353,26,30,14,1423,166,185,150,1153,2,232456
2681,345,27,42,17,1436,159,188,161,1172,2,232457
2686,340,26,67,35,1449,155,191,169,1191,2,232458
2691,338,26,95,52,1461,155,193,171,1211,2,232459
2697,343,25,124,71,1471,162,194,166,1231,2,232460
2699,351,22,153,81,1482,175,197,156,1252,2,232461
2701,5,19,182,91,1493,193,200,142,1273,2,232462
2699,32,16,212,94,1505,215,204,121,1294,2,232463
2694,67,17,242,90,1517,234,204,96,1316,2,232464
2683,89,21,234,128,1530,246,201,73,1338,2,232465
