0,1,2,3,4,5,6,7,8,9,cluster
2815,12,24,541,256,1131,188,185,126,883,2
2808,22,26,571,249,1120,193,175,107,888,2
2804,12,25,582,277,1110,185,180,123,895,2
2803,10,24,553,276,1101,186,183,127,902,2
2800,22,24,524,273,1092,198,182,111,911,2
2792,41,25,495,265,1084,213,177,85,920,2
2781,52,26,466,254,1077,223,174,70,930,2
2769,58,27,437,242,1071,227,173,62,942,2
2755,64,30,408,228,1065,232,166,46,953,2
2738,69,32,379,211,1061,234,161,33,966,2
2720,72,33,351,193,1057,236,158,26,979,2
2701,75,33,323,165,1054,238,158,24,994,2
2682,73,30,295,138,1052,238,168,38,1006,2
2667,68,27,268,123,1050,235,174,53,993,2
2653,60,26,242,106,1050,230,175,62,981,2
2642,50,25,212,85,1050,222,177,76,969,2
2632,38,24,182,68,1050,212,179,90,959,2
2625,16,23,153,57,1052,193,185,120,949,2
2625,8,25,124,57,1054,183,183,129,940,2
2621,17,26,95,49,1057,190,177,114,931,2
2616,28,26,67,36,1061,200,173,97,924,2
2607,36,26,42,18,1065,208,173,87,918,6
2597,337,16,0,0,1077,184,217,171,908,6
2606,296,24,30,17,1084,146,225,215,904,2
2621,288,29,60,32,1092,128,223,229,902,2
2638,285,32,85,22,1101,117,221,235,900,2
2656,284,33,108,40,1110,113,220,237,900,2
2674,284,31,127,51,1120,122,223,234,900,2
2690,280,29,150,67,1131,129,228,232,902,2
2706,276,26,170,76,1142,140,234,229,904,2
2719,270,23,192,89,1155,155,241,222,908,2
2731,264,20,216,101,1167,164,245,217,912,2
2742,261,16,242,93,1181,179,247,206,918,2
2748,259,14,268,99,1195,187,247,199,924,2
2755,250,12,295,106,1209,192,249,194,931,2
2761,223,9,323,87,1224,208,249,177,940,2
2762,197,9,350,88,1240,218,248,164,949,2
2762,173,8,331,68,1256,225,244,152,959,2
2761,144,9,301,67,1273,233,239,137,969,2
2758,133,9,272,64,1290,235,236,132,981,2
2754,109,9,242,60,1308,236,230,124,993,2
2748,78,12,212,54,1326,235,219,114,1006,2
2743,67,16,182,49,1339,234,207,100,1020,2
2734,65,19,153,40,1348,234,199,89,1034,2
2716,57,22,95,22,1366,229,187,80,1065,2
2704,54,24,67,10,1376,226,182,76,1082,2
2694,51,25,42,0,1387,223,177,75,1099,2
2682,38,25,30,18,1398,211,178,90,1116,2
2677,9,24,0,0,1410,185,184,128,1134,2
2678,353,26,30,14,1423,166,185,150,1153,2
2681,345,27,42,17,1436,159,188,161,1172,2
2686,340,26,67,35,1449,155,191,169,1191,2
2691,338,26,95,52,1461,155,193,171,1211,2
2697,343,25,124,71,1471,162,194,166,1231,2
2699,351,22,153,81,1482,175,197,156,1252,2
2701,5,19,182,91,1493,193,200,142,1273,2
2699,32,16,212,94,1505,215,204,121,1294,2
2694,67,17,242,90,1517,234,204,96,1316,2
2683,89,21,234,128,1530,246,201,73,1338,2
2671,103,24,212,116,1543,252,201,64,1360,2
2658,112,28,182,113,1557,254,197,51,1383,2
2642,113,32,153,97,1571,254,189,35,1406,2
2625,113,33,124,86,1585,254,185,29,1429,2
2605,110,36,95,66,1600,253,175,15,1452,2
2580,106,39,67,41,1616,251,163,0,1476,2
2555,100,35,42,16,1631,252,169,0,1500,2
2536,88,24,30,11,1648,247,193,62,1524,2
2528,17,9,0,0,1637,213,222,145,1548,6
2534,309,20,30,9,1610,161,223,200,1573,6
2546,303,28,60,24,1583,133,214,216,1598,6
2561,303,31,85,39,1557,121,208,220,1622,6
2576,304,32,108,60,1530,116,205,220,1648,6
2592,309,30,134,80,1504,125,204,212,1673,6
2603,316,28,150,-9,1477,136,204,202,1698,6
2614,321,27,120,1,1451,141,202,196,1724,6
2627,352,20,60,14,1399,180,201,155,1775,6
2625,21,19,30,12,1374,205,197,124,1801,6
2619,29,18,0,0,1348,211,197,117,1827,6
2615,358,18,30,2,1323,189,204,150,1853,6
2621,337,23,42,14,1298,163,201,173,1879,6
2626,339,25,67,26,1273,160,196,170,1906,6
2631,340,26,95,38,1249,157,193,170,1932,6
2643,329,27,150,59,1200,147,198,184,1986,6
2651,322,27,170,66,1176,143,202,193,2012,6
2661,314,26,192,84,1153,141,209,203,2028,2
2672,302,26,216,95,1129,139,218,215,2024,2
2686,292,25,242,109,1106,143,226,220,2021,2
2699,283,24,268,122,1084,148,233,221,2018,2
2711,275,24,295,134,1062,147,237,225,2016,2
2725,274,21,323,148,1040,161,240,217,2014,2
2735,286,15,351,158,1018,178,239,200,2012,2
2741,308,13,331,74,997,183,231,188,2011,2
2746,338,13,301,79,977,192,222,168,2010,2
2746,7,13,272,79,957,203,213,146,2010,2
2236,125,17,212,39,162,246,226,102,272,3
2005,334,10,0,0,42,197,227,169,765,3
2013,334,14,30,8,85,187,221,172,711,3
2016,341,16,42,9,95,185,215,168,685,3
2019,333,22,60,17,108,164,206,178,659,3
2027,329,29,60,24,120,137,191,186,633,3
2036,335,34,67,33,124,125,174,176,607,3
2043,338,37,85,41,134,119,164,169,582,3
2053,334,36,90,54,150,119,169,176,558,3
