x,y,cluster,_id
0.7092332579,0.5245711614,1,60
0.67575755,0.5674925378,1,61
0.5521549363,0.5575766473,1,62
0.6130699404,0.5298199829,1,63
0.63018779,0.5693693694,1,64
0.6462696738,0.5342619626,1,65
0.6202229874,0.5687800051,1,66
0.6191286423,0.4859166952,1,67
0.622020006,0.5243264991,1,68
0.6117548158,0.5202444448,1,69
0.6267752591,0.5453326592,1,70
0.6138830038,0.5223289675,1,71
0.6375042988,0.5008215216,1,72
0.6160249906,0.6208528384,1,73
0.6190171911,0.5729120792,1,74
0.5262377457,0.5323003148,1,75
0.6227608914,0.5689811719,1,76
0.6089006025,0.6219739353,1,77
0.6233298235,0.5919511545,1,78
0.5985388211,0.5567698054,1,79
0.6328403296,0.5248669309,1,80
0.6417649207,0.5801225486,1,81
0.6205212522,0.5692965144,1,82
0.6430991513,0.6622453473,1,83
0.6172711216,0.574912873,1,84
0.5788172582,0.5504183725,1,85
0.657650438,0.5293208719,1,86
0.6293959555,0.5288793924,1,87
0.5984592131,0.6535864772,1,88
0.615606783,0.5930211443,1,89
0.6213831418,0.5677806956,1,90
0.6229625651,0.5983188983,1,91
0.6275331276,0.566195284,1,92
0.5897416029,0.5626036417,1,93
0.6331428402,0.5202009493,1,94
0.6221017369,0.5669771159,1,95
0.6256671153,0.5824713066,1,96
0.6660740291,0.5742158574,1,97
0.6231653002,0.5657668532,1,98
0.5764523689,0.5525039826,1,99
0.7011047472,0.6194740305,1,100
0.7294908483,0.5984352488,1,101
0.6203684047,0.5689724728,1,102
0.6316440863,0.5978730692,1,103
0.6280256359,0.4916069963,1,104
0.6198323773,0.5690877359,1,105
0.5645854651,0.584630859,1,106
0.5585257017,0.5646892517,1,107
0.5831150304,0.5525953231,1,108
0.7099730819,0.5628678769,1,109
0.6201274578,0.5686712663,1,110
0.6230379274,0.5665073643,1,111
0.6037069745,0.6214106684,1,112
0.630500915,0.5252583906,1,113
0.5906151684,0.5394727256,1,114
0.6127079892,0.5622611145,1,115
0.6172318483,0.5659723695,1,116
0.6221908979,0.5635986016,1,117
0.60880295,0.5530922594,1,118
0.6085566958,0.621555291,1,119
0.8285731269,0.3050362372,2,363
0.8360021484,0.3169018143,2,364
0.8326108462,0.3032018138,2,365
0.8255448374,0.272921322,2,366
0.8317585096,0.2867181001,2,367
0.7914810915,0.2057544569,2,368
0.82335084,0.2874934077,2,369
0.8224093424,0.2853044958,2,370
0.8373512391,0.3094912656,2,371
0.8184735213,0.2763074481,2,372
0.8459860569,0.3282215227,2,373
