closed cluster high,closed cluster low,closed cluster mean,closed cluster label,closed cluster segment,closed cluster stream,closed cluster counts,cluster high,cluster low,cluster mean,cluster label,cluster segment,cluster stream,cluster counts,window high,window low,window mean,window segment,window stream,window size,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels),index
[0.44852512 0.38551402 0.06118575 0.13047605 0.40559287 0.31454439],[0.19319509 0.24058119 0.04358937 0.03738318 0.13507593 0.15763727],[0.32086011 0.31304761 0.05238756 0.08392961 0.2703344  0.23609083],-1.0,4.0,3.0,22.0,[0.59915304 0.70962325 0.26504089 0.34557535 0.17216706 0.17596379],[0.1479264  0.24488902 0.02000584 0.14339953 0.02424065 0.03015479],[0.37353972 0.47725613 0.14252336 0.24448744 0.09820386 0.10305929],2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14,[0.49065421 0.4150847  0.14456776 0.30118283 0.34433411 0.39018692],[0.30760806 0.16114194 0.03168808 0.03380549 0.15099299 0.17735105],[0.39913113 0.28811332 0.08812792 0.16749416 0.24766355 0.28376898],-1.0,4.0,3.0,False,True,[],[],82
,,,,,,,[0.27102804 0.18304614 0.16800526 0.23875584 0.43173189 0.34973715],[0.11791764 0.04526869 0.01036799 0.02971671 0.36120035 0.12989194],[0.19447284 0.11415742 0.08918662 0.13423627 0.39646612 0.23981454],5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,,,,,,,,,,,82
,,,,,,,[0.36068925 0.14719626 0.03694509 0.26985981 0.04994159 0.07724883],[0.13361565 0.13164428 0.02336449 0.06542056 0.04044977 0.03322138],[0.24715245 0.13942027 0.03015479 0.16764019 0.04519568 0.05523511],12,-1,3,3,,,,,,,,,,,82
,,,,,,,[9.12733645 5.83973423 1.78577687 3.71276285 5.3703271  7.57841706],[4.74372079 3.5651285  0.95940421 2.10601636 1.97575935 2.73948598],[13.87105724  9.40486273  2.74518107  5.81877921  7.34608645 10.31790304],15,-1,3,3,,,,,,,,,,,82
,,,,,,,[4.49021612 3.48152745 0.93216998 1.72590537 2.25233645 3.59550234],[2.31578563 1.81863318 0.58469626 1.01525993 1.32440129 1.39128213],[6.80600175 5.30016063 1.51686624 2.7411653  3.57673773 4.98678446],18,-1,4,3,,,,,,,,,,,82
,,,,,,,[0.97196262 0.32790596 0.18669685 0.32272196 0.32739486 0.35696554],[0.32922021 0.3036653  0.13346963 0.27825643 0.2646028  0.28300234],[0.65059141 0.31578563 0.16008324 0.30048919 0.29599883 0.31998394],19,-1,4,3,,,,,,,,,,,82
,,,,,,,[0.46714369 0.30286215 0.03986565 0.02738026 0.17778914 0.50386974],[0.10784171 0.14712325 0.03000876 0.02686916 0.05673189 0.26730432],[0.2874927  0.2249927  0.03493721 0.02712471 0.11726051 0.38558703],20,-1,4,3,,,,,,,,,,,82
,,,,,,,[0.62719042 0.50277453 0.04556075 0.03884346 0.16639895 0.30132886],[0.37770152 0.18428738 0.03891647 0.03351343 0.08053446 0.15011682],[0.50244597 0.34353096 0.04223861 0.03617845 0.12346671 0.22572284],21,-1,4,3,,,,,,,,,,,82
,,,,,,,[0.44852512 0.38551402 0.06118575 0.13047605 0.40559287 0.31454439],[0.19319509 0.24058119 0.04358937 0.03738318 0.13507593 0.15763727],[0.32086011 0.31304761 0.05238756 0.08392961 0.2703344  0.23609083],22,-1,4,3,,,,,,,,,,,82
,,,,,,,[0.46809287 0.53292932 0.16347839 0.3083382  0.38945678 0.29650993],[0.33257886 0.35433703 0.03614194 0.16493867 0.25386974 0.21166764],[0.40033586 0.44363318 0.09981016 0.23663843 0.32166326 0.25408879],23,-1,4,3,,,,,,,,,,,82
