F1,SI,JI,homogeneity,IC_av,cluster count,segment,stream,size
,,,,"[4.792246254521206, 4.792246254521206]",1,1,-,3
,0.9866468106577976,,,"[63.39567858431201, 0.12620705507599936, 63.26947152923601]",2,2,-,3
,,,,"[5.896156961326647, 5.896156961326647]",1,3,-,3
,,,,"[6.193391788133409, 6.193391788133409]",1,4,-,3
,,,,"[5.88961215804344, 5.88961215804344]",1,5,-,3
,,,,"[5.101096166257746, 5.101096166257746]",1,6,-,3
,,,,"[3.9730050447473584, 3.9730050447473584]",1,7,-,3
,,,,"[4.691956029608671, 4.691956029608671]",1,8,-,3
,,,,"[5.398519540598528, 5.398519540598528]",1,9,-,3
,,,,"[5.8600288868035255, 5.8600288868035255]",1,10,-,3
,0.6810754298409626,,,"[5.039411598151939, 4.2985896950885065, 0.7408219030634321]",2,11,-,3
