F1,SI,JI,homogeneity,IC_av,cluster count,segment,stream,size
,,,,"[1.2341206507070008, 1.2341206507070008]",1.0,1,-,5
,,,,"[0.2558077743781483, 0.2558077743781483]",1.0,2,-,5
,,,,"[2.5526945889027277, 2.5526945889027277]",1.0,3,-,5
,,,,"[2.2593846255224794, 2.2593846255224794]",1.0,4,-,5
,,,,,,5,-,5
,,,,"[1.1431935183090647, 1.1431935183090647]",1.0,6,-,5
,,,,"[0.981177205479656, 0.981177205479656]",1.0,7,-,5
,,,,"[2.1539276356824937, 2.1539276356824937]",1.0,8,-,5
,,,,"[1.6525057911058925, 1.6525057911058925]",1.0,9,-,5
,,,,"[2.2231918681065364, 2.2231918681065364]",1.0,10,-,5
,0.0342066502431481,,,"[3.0471143645562755, 2.184714977245197, 0.8623993873110787]",2.0,11,-,5
