F1,SI,JI,homogeneity,IC_av,cluster count,segment,stream,size
,0.9971005597191255,,,"[132.56993572132785, 0.10909030352583295, 132.460845417802]",2,1,-,3
,,,,"[1.2867816967902248, 1.2867816967902248]",1,2,-,3
,0.9963396005402616,,,"[248.02292855477043, 0.15844455621089604, 247.86448399855954]",2,3,-,3
,0.9919200730406367,,,"[541.6131522578689, 333.79759372616064, 207.81555853170823]",2,4,-,3
,0.9925051417851304,,,"[134.7220474379129, 0.14815342316793412, 134.57389401474495]",2,5,-,3
,,,,"[2.384999892839227, 2.384999892839227]",1,6,-,3
,,,,"[1.6829956717411805, 1.6829956717411805]",1,7,-,3
,0.9149098453718407,,,"[309.11934131557445, 67.59721938549744, 0.12505426408904521, 241.39706766598798]",3,8,-,3
,0.793056948192471,,,"[8.328971875905316, 7.34131990684098, 0.4043268426024162, 0.5618197501155681, 0.02150537634634998]",4,9,-,3
,0.8424133630382908,,,"[523.3542675389499, 70.69138294511215, 205.70973839934018, 246.9531461944975]",3,10,-,3
,0.7398384491375297,,,"[22.43900540327477, 0.0, 13.734812957613876, 0.18447160131679197, 7.823373020355827, 0.6963478239882757]",5,11,-,3
,,,,"[1.7199061528470676, 1.7199061528470676]",1,1,-,5
,,,,"[1.2867816967902248, 1.2867816967902248]",1,2,-,5
,,,,"[2.7213200169286336, 2.7213200169286336]",1,3,-,5
,,,,"[5.700836377143507, 5.700836377143507]",1,4,-,5
,,,,"[4.231520051563463, 4.231520051563463]",1,5,-,5
,,,,"[2.384999892839227, 2.384999892839227]",1,6,-,5
,,,,"[1.6829956717411805, 1.6829956717411805]",1,7,-,5
,0.9072826612271939,,,"[173.875103847931, 0.10976034879086252, 173.73753683131005, 0.027806667830075592]",3,8,-,5
,0.8093268726361212,,,"[179.39617011766384, 0.1369186994931304, 179.23774604182702, 0.02150537634370676]",3,9,-,5
,0.9900326474079211,,,"[182.77204664307246, 0.3904662416590473, 182.3815804014134]",2,10,-,5
,0.8000374694682869,,,"[26.45160153647375, 18.735439583689832, 7.275240609687173, 0.30424766088610566, 0.13667368221063683]",4,11,-,5
,,,,"[1.7199061528470676, 1.7199061528470676]",1,1,-,7
,,,,"[1.2867816967902248, 1.2867816967902248]",1,2,-,7
,,,,"[2.7213200169286336, 2.7213200169286336]",1,3,-,7
,,,,"[5.700836377143507, 5.700836377143507]",1,4,-,7
,,,,"[4.231520051563463, 4.231520051563463]",1,5,-,7
,,,,"[2.384999892839227, 2.384999892839227]",1,6,-,7
,,,,"[1.6829956717411805, 1.6829956717411805]",1,7,-,7
,0.8871339498131929,,,"[14.704599398898498, 4.938683389295117, 9.765916009603382]",2,8,-,7
,,,,"[3.171476484265721, 3.171476484265721]",1,9,-,7
,,,,"[5.553309401520189, 5.553309401520189]",1,10,-,7
,0.81480559680034,,,"[15.53693140811761, 0.07218129882840206, 0.46746596541659413, 14.997284143872614]",3,11,-,7
,,,,"[1.9870296783451522, 1.9870296783451522]",1,1,-,3
,0.9955833523676043,,,"[104.62168140391297, 0.2772291705676701, 104.34445223334531]",2,2,-,3
,0.9964033799898309,,,"[103.76131485453314, 0.06788209684851647, 103.69343275768462]",2,3,-,3
,,,,"[1.4873864760652185, 1.4873864760652185]",1,4,-,3
,,,,"[1.5974260396833353, 1.5974260396833353]",1,5,-,3
,,,,"[1.8637648660232489, 1.8637648660232489]",1,6,-,3
,0.993142193518402,,,"[105.31847188954798, 0.06657236037615037, 105.25189952917182]",2,7,-,3
,0.9949776365157134,,,"[104.24299484628074, 0.07906826432636956, 104.16392658195437]",2,8,-,3
,,,,"[1.327556955806521, 1.327556955806521]",1,9,-,3
,0.9960242661478858,,,"[103.99699253264546, 0.048098109169410964, 103.94889442347605]",2,10,-,3
,,,,"[1.4313170725540805, 1.4313170725540805]",1,11,-,3
,,,,"[1.9870296783451522, 1.9870296783451522]",1,1,-,5
,,,,"[2.0689515317718263, 2.0689515317718263]",1,2,-,5
,,,,"[1.367199912461006, 1.367199912461006]",1,3,-,5
,,,,"[1.4873864760652185, 1.4873864760652185]",1,4,-,5
,,,,"[1.5974260396833353, 1.5974260396833353]",1,5,-,5
,,,,"[1.8637648660232489, 1.8637648660232489]",1,6,-,5
,,,,"[3.1725361568315726, 3.1725361568315726]",1,7,-,5
,,,,"[1.9002951352413573, 1.9002951352413573]",1,8,-,5
,,,,"[1.327556955806521, 1.327556955806521]",1,9,-,5
,,,,"[1.5239742418735938, 1.5239742418735938]",1,10,-,5
,,,,"[1.4313170725540805, 1.4313170725540805]",1,11,-,5
,0.9675474625438867,,,"[80.0045877017113, 79.17477768046874, 0.5201708063095791, 0.30963921493298574]",3,1,-,7
,0.9905166759862879,,,"[176.19458159196157, 174.99221910801612, 1.2023624839454414]",2,2,-,7
,,,,"[1.3671999124404148, 1.3671999124404148]",1,3,-,7
,0.992717882902169,,,"[2.094832175746729, 0.21075429462667256, 0.9420389405600282, 0.9420389405600282]",3,4,-,7
,,,,"[1.5974260396833353, 1.5974260396833353]",1,5,-,7
,0.9910856057747219,,,"[162.5622944698807, 0.43691608614684396, 162.12537838373385]",2,6,-,7
,0.9852971587621092,,,"[3.050988387667203, 0.15554616772716667, 2.8954422199400365]",2,7,-,7
,0.9894263247102828,,,"[93.17481360229094, 92.88346577007755, 0.29134783221338534]",2,8,-,7
,0.9931000206238917,,,"[1.7040432620378971, 1.1657984230250384, 0.5382448390128586]",2,9,-,7
,0.9920147803645275,,,"[111.53658233382393, 0.17172607368690201, 111.36485626013703]",2,10,-,7
,0.8679463869897888,,,"[1.391400613910747, 1.3653329143467228, 0.026067699564024237]",2,11,-,7
,,,,"[4.792246254521206, 4.792246254521206]",1,1,-,3
,0.9866468106577976,,,"[63.39567858431201, 0.12620705507599936, 63.26947152923601]",2,2,-,3
,,,,"[5.896156961326647, 5.896156961326647]",1,3,-,3
,,,,"[6.193391788133409, 6.193391788133409]",1,4,-,3
,,,,"[5.88961215804344, 5.88961215804344]",1,5,-,3
,,,,"[5.101096166257746, 5.101096166257746]",1,6,-,3
,,,,"[3.9730050447473584, 3.9730050447473584]",1,7,-,3
,,,,"[4.691956029608671, 4.691956029608671]",1,8,-,3
,,,,"[5.398519540598528, 5.398519540598528]",1,9,-,3
,,,,"[5.8600288868035255, 5.8600288868035255]",1,10,-,3
,0.6810754298409626,,,"[5.039411598151939, 4.2985896950885065, 0.7408219030634321]",2,11,-,3
,,,,"[4.792246254521206, 4.792246254521206]",1,1,-,5
,,,,"[4.443435487566682, 4.443435487566682]",1,2,-,5
,,,,"[5.896156961326647, 5.896156961326647]",1,3,-,5
,,,,"[6.193391788133409, 6.193391788133409]",1,4,-,5
,,,,"[5.88961215804344, 5.88961215804344]",1,5,-,5
,,,,"[5.101096166257746, 5.101096166257746]",1,6,-,5
,,,,"[3.9730050447473584, 3.9730050447473584]",1,7,-,5
,,,,"[4.691956029608671, 4.691956029608671]",1,8,-,5
,,,,"[5.398519540598528, 5.398519540598528]",1,9,-,5
,,,,"[5.8600288868035255, 5.8600288868035255]",1,10,-,5
,0.6808906298056235,,,"[5.108683983597573, 4.516054767092871, 0.592629216504703]",2,11,-,5
,,,,"[4.792246254522771, 4.792246254522771]",1,1,-,7
,,,,"[4.443435487566856, 4.443435487566856]",1,2,-,7
,,,,"[5.896156961328383, 5.896156961328383]",1,3,-,7
,,,,"[6.193391788133175, 6.193391788133175]",1,4,-,7
,,,,"[5.889612158043458, 5.889612158043458]",1,5,-,7
,,,,"[5.101096166256984, 5.101096166256984]",1,6,-,7
,,,,"[3.973005044747604, 3.973005044747604]",1,7,-,7
,0.72393775331761,,,"[9.804811882805213, 9.212981005578044, 0.5918308772271691]",2,8,-,7
,,,,"[5.3985195405985555, 5.3985195405985555]",1,9,-,7
,,,,"[5.860028886803323, 5.860028886803323]",1,10,-,7
,,,,"[5.442345774357639, 5.442345774357639]",1,11,-,7
