F1,SI,JI,IC_av,cluster count,segment,stream,size
,,,,1,1,-,7
,0.14683651611245663,,"[4.457278228846147, 3.6040936063051747, 0.8531846225409722]",2,2,-,7
,-0.22797725232879062,,"[5.276776517184062, 4.372698039453071, 0.4520392388654954, 0.4520392388654954, 0.0]",4,3,-,7
,-0.18375799527235676,,"[6.074146536030656, 6.074146536030656, 0.0]",2,4,-,7
,0.03573355012215641,,"[5.851729149141984, 5.2555784275214865, 0.5961507216204975]",2,5,-,7
,,,,1,6,-,7
,0.15207951776273645,,"[3.7396522644452634, 3.094346993516803, 0.6453052709284607]",2,7,-,7
,,,,1,8,-,7
,,,,1,9,-,7
,,,,1,10,-,7
,,,,1,11,-,7
