F1,SI,JI,IC_av,cluster count,segment,stream,size
,-0.03948090515219792,,"[5.0545307647764135, 1.6660349698666057, 3.3884957949098076]",2,1,-,7
,0.04541903202375643,,"[4.9056262600978995, 3.118547217888004, 1.7870790422098957]",2,2,-,7
,0.09087385132083187,,"[5.57420260169727, 1.7003524377289552, 3.873850163968315]",2,3,-,7
,-0.05541876282012445,,"[6.732767970580096, 1.5704226379963624, 1.5704226379963624, 3.5919226945873715]",3,4,-,7
,-0.029888927027607627,,"[5.915425027519151, 1.7833828580490574, 1.3126146643832304, 2.8194275050868636]",3,5,-,7
,-0.013966010613332077,,"[5.474319700138407, 2.3615209122321428, 0.5854613055519311, 0.5854613055519311, 1.9418761768024022]",4,6,-,7
,-0.04339286342064657,,"[3.6378123562830633, 0.279455139747081, 2.7130519456075213, 0.6453052709284611]",3,7,-,7
,0.008272731152881957,,"[4.621992171360295, 1.1628846520271587, 3.4591075193331364]",2,8,-,7
,-0.026099012451206622,,"[4.726316471432621, 2.666454379484653, 0.46866296159966786, 1.5911991303482995]",3,9,-,7
,-0.08277122358395309,,"[5.273121165555256, 2.3721137224293853, 1.1711868900313072, 1.1711868900313072, 0.558633663063257]",4,10,-,7
,-0.04793965998620841,,"[4.457103046930466, 0.45681786366253974, 0.45681786366253974, 1.704397291975241, 1.8390700276301455]",4,11,-,7
