F1,SI,JI,homogeneity,IC_av,cluster count,segment,stream,size
,0.9971005597191255,,,"[132.56993572132785, 0.10909030352583295, 132.460845417802]",2,1,-,3
,,,,"[1.2867816967902248, 1.2867816967902248]",1,2,-,3
,0.9963396005402616,,,"[248.02292855477043, 0.15844455621089604, 247.86448399855954]",2,3,-,3
,0.9919200730406367,,,"[541.6131522578689, 333.79759372616064, 207.81555853170823]",2,4,-,3
,0.9925051417851304,,,"[134.7220474379129, 0.14815342316793412, 134.57389401474495]",2,5,-,3
,,,,"[2.384999892839227, 2.384999892839227]",1,6,-,3
,,,,"[1.6829956717411805, 1.6829956717411805]",1,7,-,3
,0.9149098453718407,,,"[309.11934131557445, 67.59721938549744, 0.12505426408904521, 241.39706766598798]",3,8,-,3
,0.793056948192471,,,"[8.328971875905316, 7.34131990684098, 0.4043268426024162, 0.5618197501155681, 0.02150537634634998]",4,9,-,3
,0.8424133630382908,,,"[523.3542675389499, 70.69138294511215, 205.70973839934018, 246.9531461944975]",3,10,-,3
,0.7398384491375297,,,"[22.43900540327477, 0.0, 13.734812957613876, 0.18447160131679197, 7.823373020355827, 0.6963478239882757]",5,11,-,3
