F1,SI,JI,IC_av,cluster count,segment,stream,size
,0.06584798295545488,,"[1.9763186807300517, 1.0956705521262402, 0.10909030352671618, 0.5836338474533191, 0.18792397762377613]",4,1,-,3
,0.04556910830953925,,"[1.3508649165407265, 0.7679436903108438, 0.5829212262298828]",2,2,-,3
,-0.03557373757871862,,"[1.76021606845798, 0.7499793902425194, 0.5051183391077304, 0.5051183391077304]",3,3,-,3
,0.1696592087002059,,"[5.145646304378373, 0.3187302044071569, 0.3187302044071569, 4.5081858955640595]",3,4,-,3
,-0.05410266838877201,,"[3.8931433051778384, 0.9078830961881083, 2.2587530741502375, 0.32538840043127076, 0.401118734408222]",4,5,-,3
,-0.04474699051253474,,"[2.5779988529204765, 1.0713686268503573, 0.043544414211799894, 1.4630858118583194]",3,6,-,3
,0.03924495539986417,,"[1.6483173047188493, 1.4147309675045217, 0.23358633721432753]",2,7,-,3
,0.26567610229342403,,"[1.341547300709982, 0.10886349961812863, 0.0241935483870968, 1.2084902527047565]",3,8,-,3
,-0.06849116641835182,,"[1.8848665572019137, 0.7674398387333329, 0.26086118530041413, 0.06762031809074748, 0.021505376344086207, 0.7674398387333329]",5,9,-,3
,0.010361098155878703,,"[5.805865927036108, 1.0948386318422114, 0.7809240412685295, 2.564676528193599, 1.3654267257317685]",4,10,-,3
,0.0028831541993603388,,"[4.390403688294483, 1.4307745458663783, 0.3836692869186697, 1.9738973402937947, 0.3836692869186697, 0.21839322829697022]",5,11,-,3
