F1,SI,JI,IC_av,cluster count,segment,stream,size
,,,,1,1,-,7
,,,,1,2,-,7
,,,,1,3,-,7
,0.14538152791961642,,"[5.697099422352323, 1.4248784337115383, 4.272220988640784]",2,4,-,7
,0.06983424935739495,,"[4.403648399235326, 2.3566189976163376, 2.047029401618988]",2,5,-,7
,,,,1,6,-,7
,,,,1,7,-,7
,0.4106079826828835,,"[1.351381978153238, 1.2285834580936486, 0.1227985200595894]",2,8,-,7
,0.456459144608022,,"[3.0270362313890526, 0.1895433085995657, 2.8374929227894867]",2,9,-,7
,0.07216752957688301,,"[5.90056696617121, 2.658491639309819, 3.2420753268613915]",2,10,-,7
,-0.05131796383021585,,"[4.452075671734569, 0.46746596541646795, 1.6456030639412458, 0.0721812988284809, 2.266825343548375]",4,11,-,7
