F1,SI,JI,IC_av,cluster count,segment,stream,size
,,,"[1.6765526452248831, 1.6765526452248831]",1,1,-,3
,,,"[1.0991401604266036, 1.0991401604266036]",1,2,-,3
,,,"[2.6686775889702923, 2.6686775889702923]",1,3,-,3
,,,"[5.700836377145745, 5.700836377145745]",1,4,-,3
,,,"[4.137184103526241, 4.137184103526241]",1,5,-,3
,,,"[1.5373990106597168, 1.5373990106597168]",1,6,-,3
,,,"[1.6260034962983676, 1.6260034962983676]",1,7,-,3
,,,"[1.4431191541849628, 1.4431191541849628]",1,8,-,3
,,,"[3.171476484257138, 3.171476484257138]",1,9,-,3
,,,"[5.5533094015250715, 5.5533094015250715]",1,10,-,3
,,,"[4.517220214089374, 4.517220214089374]",1,11,-,3
,,,"[1.7199061528439894, 1.7199061528439894]",1,1,-,5
,,,"[1.2867816967996761, 1.2867816967996761]",1,2,-,5
,,,"[2.7213200169208323, 2.7213200169208323]",1,3,-,5
,,,"[5.700836377145745, 5.700836377145745]",1,4,-,5
,,,"[4.231520051566269, 4.231520051566269]",1,5,-,5
,,,"[2.3849998928388696, 2.3849998928388696]",1,6,-,5
,,,"[1.6829956717124277, 1.6829956717124277]",1,7,-,5
,,,"[1.4431191541849628, 1.4431191541849628]",1,8,-,5
,,,"[3.171476484257138, 3.171476484257138]",1,9,-,5
,,,"[5.5533094015250715, 5.5533094015250715]",1,10,-,5
,,,"[4.517220214089374, 4.517220214089374]",1,11,-,5
,,,"[1.7199061528439894, 1.7199061528439894]",1,1,-,7
,,,"[1.2867816967996761, 1.2867816967996761]",1,2,-,7
,,,"[2.7213200169208323, 2.7213200169208323]",1,3,-,7
,,,"[4.940870195485556, 4.940870195485556]",1,4,-,7
,,,"[3.999095160843535, 3.999095160843535]",1,5,-,7
,,,"[1.3037946692882558, 1.3037946692882558]",1,6,-,7
,,,"[1.6829956717124277, 1.6829956717124277]",1,7,-,7
,,,"[1.4431191541849628, 1.4431191541849628]",1,8,-,7
,,,"[3.171476484257138, 3.171476484257138]",1,9,-,7
,,,"[5.5533094015250715, 5.5533094015250715]",1,10,-,7
,,,"[4.517220214089374, 4.517220214089374]",1,11,-,7
