cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.31551551 0.0782858  0.21825133],[0.04981824 0.00711689 0.01660608],[0.18266688 0.04270135 0.11742871],50,,[0.18978377 0.09726418 0.17792228],[0.0830304  0.02609527 0.04032905],[0.13640708 0.06167972 0.10912567],,1.0,False,False,"[27, 60, 12, 10, 44, 23]",[]
[0.05219054 0.01660608 0.03083986],[0.02846757 0.00711689 0.01186149],[0.04032905 0.01186149 0.02135067],33,,,,,,,,,,
[0.17792228 0.04270135 0.09726418],[0.0854027  0.00474459 0.01423378],[0.13166249 0.02372297 0.05574898],25,,,,,,,,,,
[0.12810404 0.05693513 0.21825133],[0.04981824 0.00711689 0.13522093],[0.08896114 0.03202601 0.17673613],13,,,,,,,,,,
[0.04507364 0.01660608 0.01897838],[0.02846757 0.00711689 0.01186149],[0.0367706  0.01186149 0.01541993],34,,,,,,,,,,
[0.05219054 0.01423378 0.03083986],[0.03795675 0.00711689 0.02135067],[0.04507364 0.01067534 0.02609527],35,,,,,,,,,,
[0.18978377 0.09726418 0.17792228],[0.0830304  0.01186149 0.04032905],[0.13640708 0.05456283 0.10912567],11,,,,,,,,,,
[0.12810404 0.02372297 0.09726418],[0.0854027  0.00474459 0.03558446],[0.10675337 0.01423378 0.06642432],37,,,,,,,,,,
[0.18029458 0.04270135 0.05456283],[0.13047634 0.01660608 0.02372297],[0.15538546 0.02965371 0.0391429 ],15,,,,,,,,,,
[0.13759323 0.02846757 0.03795675],[0.12573175 0.02372297 0.01423378],[0.13166249 0.02609527 0.02609527],58,,,,,,,,,,
[0.02846757 0.01660608 0.01423378],[0.02846757 0.01660608 0.01423378],[0.02846757 0.01660608 0.01423378],30,,,,,,,,,,
