cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.44592902 0.55949896 0.32901879 0.22939457 0.3074739  0.24367432
 0.64384134 0.3806263  0.17075188 0.1849812  0.09960526 0.03557331
 0.04268797 0.14229323 0.12806391 0.11739192 0.32867133 0.37062937
 0.2027972  0.02097902 0.04195804 0.30769231 0.12587413 0.15384615
 0.57286893 0.55270394 0.5939505  0.66177819 0.72227314 0.73235564
 0.68285976 0.63703025]","[0.01177453 0.05903967 0.01110647 0.0423382  0.06521921 0.08693111
 0.00843424 0.00526096 0.         0.01067199 0.         0.
 0.         0.00711466 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.33272227 0.30430797 0.36663611 0.4060495  0.42621448 0.46012832
 0.42254812 0.3492209 ]","[0.22885177 0.30926931 0.17006263 0.13586639 0.18634656 0.16530271
 0.32613779 0.19294363 0.08537594 0.0978266  0.04980263 0.01778665
 0.02134398 0.07470395 0.06403195 0.05869596 0.16433566 0.18531469
 0.1013986  0.01048951 0.02097902 0.15384615 0.06293706 0.07692308
 0.4527956  0.42850596 0.48029331 0.53391384 0.57424381 0.59624198
 0.55270394 0.49312557]",14,,"[0.5908977  0.33812109 0.13210856 0.04375783 0.07306889 0.17903967
 0.26889353 0.46981211 0.5193703  0.35009398 0.03242481 0.01785714
 0.07800752 0.12077068 0.20535714 0.71381579 0.22377622 0.32867133
 0.00699301 0.         0.07692308 0.05594406 0.12587413 0.13286713
 0.736022   0.72502291 0.76351971 0.84601283 0.87901008 0.91109074
 0.90742438 0.79101742]","[0.0376618  0.13853862 0.03916493 0.02839248 0.02730689 0.04784969
 0.03114823 0.04425887 0.05335996 0.08893327 0.00711466 0.
 0.0056391  0.01778665 0.         0.         0.04195804 0.11888112
 0.         0.         0.         0.01398601 0.         0.
 0.65444546 0.6324473  0.66727773 0.68102658 0.68560953 0.71219065
 0.71310724 0.67736022]","[0.31427975 0.23832985 0.08563674 0.03607516 0.05018789 0.11344468
 0.15002088 0.25703549 0.28636513 0.21951363 0.01976974 0.00892857
 0.04182331 0.06927867 0.10267857 0.35690789 0.13286713 0.22377622
 0.0034965  0.         0.03846154 0.03496503 0.06293706 0.06643357
 0.69523373 0.67873511 0.71539872 0.76351971 0.78230981 0.8116407
 0.81026581 0.73418882]",,1.0,False,False,[29],[]
"[0.44592902 0.45043841 0.32901879 0.22939457 0.3074739  0.21085595
 0.20851775 0.3806263  0.17075188 0.14940789 0.06403195 0.00355733
 0.02134398 0.06047462 0.06047462 0.07114662 0.32867133 0.37062937
 0.13286713 0.00699301 0.02097902 0.11188811 0.13986014 0.15384615
 0.53528873 0.527956   0.52612282 0.55545371 0.58753437 0.58203483
 0.5472044  0.50779102]","[0.02814196 0.12676409 0.06137787 0.05511482 0.12977035 0.07039666
 0.02029228 0.00526096 0.         0.01067199 0.         0.
 0.         0.01778665 0.         0.         0.         0.
 0.         0.         0.         0.02097902 0.         0.
 0.33272227 0.30430797 0.36663611 0.4060495  0.42621448 0.46012832
 0.42254812 0.3492209 ]","[0.23703549 0.28860125 0.19519833 0.1422547  0.21862213 0.1406263
 0.11440501 0.19294363 0.08537594 0.08003994 0.03201598 0.00177867
 0.01067199 0.03913064 0.03023731 0.03557331 0.16433566 0.18531469
 0.06643357 0.0034965  0.01048951 0.06643357 0.06993007 0.07692308
 0.4340055  0.41613199 0.44637947 0.4807516  0.50687443 0.52108158
 0.48487626 0.42850596]",15,,,,,,,,,,
"[0.5382881  0.7851357  0.41478079 0.22555324 0.3074739  0.35841336
 0.33820459 0.32626305 0.33083177 0.18853853 0.06403195 0.01422932
 0.08537594 0.09960526 0.06758929 0.10316259 0.5034965  0.37062937
 0.13286713 0.00699301 0.11188811 0.16083916 0.12587413 0.16783217
 0.63061412 0.59486709 0.58661778 0.6324473  0.70210816 0.6700275
 0.61503208 0.58295142]","[0.09377871 0.13720251 0.01227557 0.00467641 0.03348643 0.06421712
 0.00876827 0.02129436 0.04980263 0.02490132 0.         0.
 0.         0.01422932 0.         0.00711466 0.07692308 0.01398601
 0.         0.         0.         0.00699301 0.         0.
 0.34188818 0.31439047 0.36663611 0.43904675 0.48762603 0.47112741
 0.4335472  0.38588451]","[0.3160334  0.4611691  0.21352818 0.11511482 0.17048017 0.21131524
 0.17348643 0.17377871 0.1903172  0.10671992 0.03201598 0.00711466
 0.04268797 0.05691729 0.03379464 0.05513863 0.29020979 0.19230769
 0.06643357 0.0034965  0.05594406 0.08391608 0.06293706 0.08391608
 0.48625115 0.45462878 0.47662695 0.53574702 0.59486709 0.57057745
 0.52428964 0.48441797]",18,,,,,,,,,,
"[0.19465553 0.29336117 0.31524008 0.21419624 0.24559499 0.24367432
 0.64384134 0.20860125 0.16719455 0.13162124 0.02845865 0.00355733
 0.02845865 0.14229323 0.12806391 0.05335996 0.32867133 0.27272727
 0.02097902 0.         0.02797203 0.30769231 0.12587413 0.09090909
 0.51054079 0.48395967 0.5563703  0.61961503 0.67644363 0.71310724
 0.66452796 0.62511457]","[0.01177453 0.05903967 0.01110647 0.09770355 0.11816284 0.12258873
 0.00843424 0.00526096 0.         0.01067199 0.         0.
 0.         0.00711466 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.34647113 0.31439047 0.36663611 0.48029331 0.4903758  0.47112741
 0.4335472  0.42529789]","[0.10321503 0.17620042 0.16317328 0.1559499  0.18187891 0.18313152
 0.32613779 0.10693111 0.08359727 0.07114662 0.01422932 0.00177867
 0.01422932 0.07470395 0.06403195 0.02667998 0.16433566 0.13636364
 0.01048951 0.         0.01398601 0.15384615 0.06293706 0.04545455
 0.42850596 0.39917507 0.46150321 0.54995417 0.58340972 0.59211732
 0.54903758 0.52520623]",30,,,,,,,,,,
"[0.44885177 0.7851357  0.32901879 0.22939457 0.3074739  0.21085595
 0.11924843 0.15732777 0.33083177 0.14940789 0.06403195 0.00355733
 0.03201598 0.0462453  0.06047462 0.06403195 0.5034965  0.37062937
 0.13286713 0.         0.02797203 0.07692308 0.06293706 0.15384615
 0.49770852 0.4903758  0.49862511 0.55545371 0.59211732 0.63519707
 0.5847846  0.52337305]","[0.09377871 0.29336117 0.15056367 0.13419624 0.17453027 0.06780793
 0.01169102 0.02271399 0.07826128 0.0462453  0.         0.
 0.00711466 0.01422932 0.         0.01422932 0.13286713 0.1048951
 0.         0.         0.         0.02097902 0.         0.00699301
 0.33272227 0.30430797 0.36663611 0.43813016 0.46746104 0.46012832
 0.43446379 0.38496792]","[0.27131524 0.53924843 0.23979123 0.18179541 0.24100209 0.13933194
 0.06546973 0.09002088 0.20454652 0.0978266  0.03201598 0.00177867
 0.01956532 0.03023731 0.03023731 0.03913064 0.31818182 0.23776224
 0.06643357 0.         0.01398601 0.04895105 0.03146853 0.08041958
 0.4152154  0.39734189 0.43263061 0.49679193 0.52978918 0.54766269
 0.5096242  0.45417049]",39,,,,,,,,,,
"[0.457119   0.26521921 0.17778706 0.11215031 0.20843424 0.24367432
 0.10914405 0.2011691  0.14585056 0.18853853 0.09960526 0.03557331
 0.08537594 0.11383459 0.04268797 0.11739192 0.25174825 0.35664336
 0.2027972  0.02097902 0.11188811 0.18881119 0.06993007 0.15384615
 0.63061412 0.59486709 0.6223648  0.69294225 0.73327223 0.75252062
 0.69752521 0.65261228]","[0.01177453 0.05903967 0.01110647 0.01553236 0.03782881 0.01903967
 0.00843424 0.0206263  0.01422932 0.0462453  0.         0.
 0.         0.01422932 0.         0.01422932 0.02797203 0.08391608
 0.         0.         0.         0.01398601 0.         0.01398601
 0.48029331 0.43446379 0.49129239 0.56370302 0.58753437 0.60494959
 0.55728689 0.55270394]","[0.23444676 0.16212944 0.09444676 0.06384134 0.12313152 0.13135699
 0.05878914 0.1108977  0.08003994 0.11739192 0.04980263 0.01778665
 0.04268797 0.06403195 0.02134398 0.06581062 0.13986014 0.22027972
 0.1013986  0.01048951 0.05594406 0.1013986  0.03496503 0.08391608
 0.55545371 0.51466544 0.5568286  0.62832264 0.6604033  0.67873511
 0.62740605 0.60265811]",59,,,,,,,,,,
"[0.32       0.38121086 0.19415449 0.16784969 0.25152401 0.17720251
 0.20851775 0.3806263  0.17075188 0.15652256 0.02845865 0.00355733
 0.02134398 0.05691729 0.06758929 0.10316259 0.32167832 0.32867133
 0.02097902 0.00699301 0.02097902 0.07692308 0.13986014 0.15384615
 0.53528873 0.527956   0.52612282 0.54353804 0.58295142 0.58753437
 0.55087076 0.5380385 ]","[0.14321503 0.18663883 0.01227557 0.05511482 0.12977035 0.07039666
 0.0514405  0.21311065 0.08181861 0.10316259 0.00355733 0.
 0.00711466 0.02490132 0.00355733 0.02134398 0.13286713 0.24475524
 0.         0.         0.         0.02797203 0.         0.02097902
 0.40971586 0.39046746 0.42346471 0.4060495  0.42621448 0.46562786
 0.42254812 0.3492209 ]","[0.23160752 0.28392484 0.10321503 0.11148225 0.19064718 0.12379958
 0.12997912 0.29686848 0.12628524 0.12984258 0.01600799 0.00177867
 0.01422932 0.0409093  0.03557331 0.06225329 0.22727273 0.28671329
 0.01048951 0.0034965  0.01048951 0.05244755 0.06993007 0.08741259
 0.47250229 0.45921173 0.47479377 0.47479377 0.50458295 0.52658112
 0.48670944 0.4436297 ]",11,,,,,,,,,,
"[0.35615866 0.55949896 0.24935282 0.20334029 0.25152401 0.35841336
 0.28283925 0.33569937 0.1956532  0.1849812  0.02134398 0.03557331
 0.05691729 0.11383459 0.06758929 0.11739192 0.35664336 0.35664336
 0.01398601 0.02097902 0.06293706 0.18881119 0.13986014 0.16783217
 0.57286893 0.55270394 0.5939505  0.66177819 0.72227314 0.72318973
 0.68285976 0.63703025]","[0.08592902 0.20425887 0.01227557 0.01519833 0.03348643 0.06780793
 0.01169102 0.02271399 0.01778665 0.12094925 0.         0.
 0.00355733 0.01422932 0.         0.01778665 0.02797203 0.18181818
 0.         0.         0.         0.01398601 0.         0.
 0.40971586 0.39046746 0.42346471 0.49587534 0.54353804 0.56461962
 0.53345555 0.42988084]","[0.22104384 0.38187891 0.1308142  0.10926931 0.14250522 0.21311065
 0.14726514 0.17920668 0.10671992 0.15296523 0.01067199 0.01778665
 0.03023731 0.06403195 0.03379464 0.06758929 0.19230769 0.26923077
 0.00699301 0.01048951 0.03146853 0.1013986  0.06993007 0.08391608
 0.49129239 0.4715857  0.50870761 0.57882676 0.63290559 0.64390467
 0.60815765 0.53345555]",24,,,,,,,,,,
"[0.19465553 0.42237996 0.32901879 0.22555324 0.24559499 0.19231733
 0.11373695 0.16501044 0.16719455 0.09960526 0.01422932 0.00355733
 0.02134398 0.06047462 0.00711466 0.06403195 0.32867133 0.17482517
 0.01398601 0.         0.02097902 0.11188811 0.04195804 0.15384615
 0.38955087 0.37488543 0.43079743 0.53987168 0.56003666 0.55728689
 0.49770852 0.47021082]","[0.02814196 0.18822547 0.17286013 0.15699374 0.20926931 0.14438413
 0.02029228 0.00526096 0.07470395 0.0462453  0.         0.
 0.         0.02490132 0.         0.         0.16083916 0.11188811
 0.         0.         0.         0.02797203 0.         0.
 0.34188818 0.31439047 0.36663611 0.45187901 0.4995417  0.47112741
 0.4335472  0.38588451]","[0.11139875 0.30530271 0.25093946 0.19127349 0.22743215 0.16835073
 0.06701461 0.0851357  0.12094925 0.07292528 0.00711466 0.00177867
 0.01067199 0.04268797 0.00355733 0.03201598 0.24475524 0.14335664
 0.00699301 0.         0.01048951 0.06993007 0.02097902 0.07692308
 0.36571952 0.34463795 0.39871677 0.49587534 0.52978918 0.51420715
 0.46562786 0.42804766]",5,,,,,,,,,,
"[0.02814196 0.25670146 0.19056367 0.19565762 0.20926931 0.14438413
 0.02029228 0.00526096 0.07470395 0.06758929 0.01422932 0.00355733
 0.         0.06047462 0.         0.         0.16083916 0.17482517
 0.00699301 0.         0.         0.11188811 0.         0.
 0.38955087 0.37488543 0.43079743 0.53987168 0.56003666 0.55728689
 0.49495875 0.47021082]","[0.02814196 0.25670146 0.19056367 0.19565762 0.20926931 0.14438413
 0.02029228 0.00526096 0.07470395 0.06758929 0.01422932 0.00355733
 0.         0.06047462 0.         0.         0.16083916 0.17482517
 0.00699301 0.         0.         0.11188811 0.         0.
 0.38955087 0.37488543 0.43079743 0.53987168 0.56003666 0.55728689
 0.49495875 0.47021082]","[0.02814196 0.25670146 0.19056367 0.19565762 0.20926931 0.14438413
 0.02029228 0.00526096 0.07470395 0.06758929 0.01422932 0.00355733
 0.         0.06047462 0.         0.         0.16083916 0.17482517
 0.00699301 0.         0.         0.11188811 0.         0.
 0.38955087 0.37488543 0.43079743 0.53987168 0.56003666 0.55728689
 0.49495875 0.47021082]",6,,,,,,,,,,
