cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.38067341 0.19622595 0.25999013 0.36827824],[0.08719783 0.         0.05340405 0.04600395],[0.23393562 0.09811297 0.15669709 0.2071411 ],59,,[0.52861371 0.10816478 0.21195116 0.35310804],[0.13227676 0.03866552 0.06345585 0.08059941],[0.33044524 0.07341515 0.1377035  0.21685372],,1.0,False,True,[],[]
[0.37395165 0.4023187  0.41773557 0.37358165],[0.08719783 0.04273557 0.17951406 0.01165516],[0.23057474 0.22252713 0.29862481 0.1926184 ],32,,,,,,,,,,
[0.50437839 0.20430439 0.25999013 0.57215096],[0.08719783 0.         0.05340405 0.06419586],[0.29578811 0.1021522  0.15669709 0.31817341],48,,,,,,,,,,
[0.33078441 0.0726443  0.07591268 0.15176369],[0.17310064 0.04113222 0.05340405 0.06419586],[0.25194253 0.05688826 0.06465836 0.10797977],42,,,,,,,,,,
[0.38351011 0.23094475 0.28101875 0.57215096],[0.13967686 0.00900345 0.05772077 0.2325481 ],[0.26159349 0.1199741  0.16936976 0.40234953],28,,,,,,,,,,
[0.62820671 0.38048841 0.41773557 0.42784904],[0.26202516 0.04273557 0.1948076  0.05753577],[0.44511593 0.21161199 0.30627158 0.2426924 ],12,,,,,,,,,,
[0.37395165 0.4023187  0.31616922 0.14707696],[0.08719783 0.08380612 0.17951406 0.01165516],[0.23057474 0.24306241 0.24784164 0.07936606],34,,,,,,,,,,
[0.67969906 0.26011347 0.28823384 0.57215096],[0.16422052 0.01473853 0.11470153 0.18457079],[0.42195979 0.137426   0.20146769 0.37836088],26,,,,,,,,,,
[0.16884558 0.19622595 0.25999013 0.12512333],[0.08719783 0.08380612 0.21466453 0.09182289],[0.12802171 0.14001603 0.23732733 0.10847311],14,,,,,,,,,,
[0.90404539 0.27738037 0.23045141 0.18457079],[0.40731376 0.01473853 0.10446473 0.03811051],[0.65567958 0.14605945 0.16745807 0.11134065],39,,,,,,,,,,
[0.21817958 0.17840405 0.25561174 0.57215096],[0.13967686 0.00900345 0.11470153 0.50178836],[0.17892822 0.09370375 0.18515664 0.53696966],20,,,,,,,,,,
[0.38351011 0.23637148 0.41773557 0.57215096],[0.16422052 0.04273557 0.11470153 0.19863098],[0.27386532 0.13955353 0.26621855 0.38539097],19,,,,,,,,,,
[0.20313271 0.27799704 0.25999013 0.11809324],[0.08719783 0.08380612 0.21466453 0.01165516],[0.14516527 0.18090158 0.23732733 0.0648742 ],7,,,,,,,,,,
[0.67969906 0.18814751 0.41773557 0.35113468],[0.21953626 0.         0.10446473 0.06653922],[0.44961766 0.09407375 0.26110015 0.20883695],23,,,,,,,,,,
[0.48063641 0.26011347 0.28823384 0.57215096],[0.16422052 0.11618155 0.11470153 0.28533547],[0.32242847 0.18814751 0.20146769 0.42874322],1,,,,,,,,,,
[0.90404539 0.2202146  0.20701776 0.100148  ],[0.90404539 0.2202146  0.20701776 0.100148  ],[0.90404539 0.2202146  0.20701776 0.100148  ],29,,,,,,,,,,
