cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.52815013 0.51474531 0.49597855 0.51206434 0.50938338 0.49865952
 0.52815013 0.49329759 0.52010724 0.54959786 0.55227882 0.58176944
 0.58981233 0.59517426 0.5924933  0.58713137 0.57908847 0.55764075
 0.55764075 0.54691689 0.51474531 0.49329759 0.48257373 0.48525469]","[0.35656836 0.34048257 0.30831099 0.31635389 0.31635389 0.30563003
 0.33512064 0.36193029 0.4155496  0.41018767 0.42091153 0.4155496
 0.41823056 0.43699732 0.45040214 0.4691689  0.4691689  0.45040214
 0.43967828 0.42895442 0.41823056 0.36193029 0.34048257 0.36461126]","[0.44235925 0.42761394 0.40214477 0.41420912 0.41286863 0.40214477
 0.43163539 0.42761394 0.46782842 0.47989276 0.48659517 0.49865952
 0.50402145 0.51608579 0.52144772 0.52815013 0.52412869 0.50402145
 0.49865952 0.48793566 0.46648794 0.42761394 0.41152815 0.42493298]",15,,"[0.6997319  0.70509383 0.6997319  0.68096515 0.67292225 0.65683646
 0.66756032 0.69168901 0.74262735 0.80965147 0.81233244 0.82841823
 0.89008043 0.85790885 0.83914209 0.84450402 0.83914209 0.81769437
 0.79356568 0.76675603 0.74530831 0.73994638 0.72922252 0.70241287]","[0.63002681 0.61126005 0.60053619 0.5844504  0.5844504  0.57372654
 0.58713137 0.63270777 0.66756032 0.67828418 0.70241287 0.72386059
 0.74262735 0.75067024 0.75871314 0.76675603 0.76407507 0.75603217
 0.73190349 0.68900804 0.65147453 0.65951743 0.66756032 0.63806971]","[0.66487936 0.65817694 0.65013405 0.63270777 0.62868633 0.6152815
 0.62734584 0.66219839 0.70509383 0.74396783 0.75737265 0.77613941
 0.81635389 0.80428954 0.79892761 0.80563003 0.80160858 0.78686327
 0.76273458 0.72788204 0.69839142 0.6997319  0.69839142 0.67024129]",,2.0,False,False,[],[]
"[0.63806971 0.63538874 0.63002681 0.60857909 0.59785523 0.5924933
 0.60589812 0.62734584 0.63270777 0.66756032 0.67828418 0.67560322
 0.68096515 0.7077748  0.73190349 0.6997319  0.68900804 0.71313673
 0.66756032 0.65147453 0.63002681 0.64343164 0.64075067 0.60589812]","[0.49865952 0.49329759 0.4772118  0.46648794 0.46112601 0.47184987
 0.49061662 0.51474531 0.52010724 0.52546917 0.54959786 0.57104558
 0.57908847 0.58176944 0.57372654 0.56032172 0.55764075 0.56300268
 0.54155496 0.5308311  0.5308311  0.54155496 0.50402145 0.51206434]","[0.56836461 0.56434316 0.5536193  0.53753351 0.52949062 0.53217158
 0.54825737 0.57104558 0.57640751 0.59651475 0.61394102 0.6233244
 0.63002681 0.64477212 0.65281501 0.63002681 0.6233244  0.63806971
 0.60455764 0.59115282 0.58042895 0.5924933  0.57238606 0.55898123]",58,,,,,,,,,,
"[0.52815013 0.51474531 0.49597855 0.51206434 0.50938338 0.49865952
 0.52815013 0.49329759 0.45576408 0.48257373 0.50402145 0.51474531
 0.5308311  0.53619303 0.53887399 0.55227882 0.53887399 0.53619303
 0.5227882  0.49597855 0.49597855 0.47989276 0.45576408 0.42895442]","[0.35656836 0.34048257 0.30831099 0.31635389 0.31635389 0.30563003
 0.33512064 0.36193029 0.4155496  0.41018767 0.42091153 0.4155496
 0.41823056 0.43699732 0.45040214 0.4691689  0.4691689  0.45040214
 0.43967828 0.42895442 0.41823056 0.36193029 0.34048257 0.36461126]","[0.44235925 0.42761394 0.40214477 0.41420912 0.41286863 0.40214477
 0.43163539 0.42761394 0.43565684 0.4463807  0.46246649 0.46514745
 0.47453083 0.48659517 0.49463807 0.51072386 0.50402145 0.49329759
 0.48123324 0.46246649 0.45710456 0.42091153 0.39812332 0.39678284]",3,,,,,,,,,,
"[0.54155496 0.54423592 0.52546917 0.50670241 0.50134048 0.50670241
 0.50670241 0.5308311  0.55227882 0.58713137 0.61394102 0.61126005
 0.63270777 0.65147453 0.67828418 0.68900804 0.66487936 0.65951743
 0.64879357 0.63002681 0.63002681 0.63002681 0.58176944 0.56836461]","[0.43163539 0.4075067  0.41823056 0.4075067  0.39678284 0.38873995
 0.4075067  0.45576408 0.4772118  0.48525469 0.50134048 0.5227882
 0.54691689 0.55495979 0.57908847 0.57104558 0.56836461 0.56300268
 0.55227882 0.51742627 0.47989276 0.48793566 0.47453083 0.46648794]","[0.48659517 0.47587131 0.47184987 0.45710456 0.44906166 0.44772118
 0.45710456 0.49329759 0.51474531 0.53619303 0.55764075 0.56702413
 0.58981233 0.60321716 0.62868633 0.63002681 0.61662198 0.61126005
 0.60053619 0.57372654 0.55495979 0.55898123 0.52815013 0.51742627]",13,,,,,,,,,,
"[0.52815013 0.51474531 0.49597855 0.51206434 0.50938338 0.49865952
 0.52815013 0.49329759 0.42895442 0.41018767 0.42091153 0.4155496
 0.41823056 0.43699732 0.45040214 0.50134048 0.4691689  0.45040214
 0.43967828 0.43699732 0.41823056 0.36193029 0.34048257 0.37801609]","[0.52815013 0.51474531 0.49597855 0.51206434 0.50938338 0.49865952
 0.52815013 0.49329759 0.42895442 0.41018767 0.42091153 0.4155496
 0.41823056 0.43699732 0.45040214 0.50134048 0.4691689  0.45040214
 0.43967828 0.43699732 0.41823056 0.36193029 0.34048257 0.37801609]","[0.52815013 0.51474531 0.49597855 0.51206434 0.50938338 0.49865952
 0.52815013 0.49329759 0.42895442 0.41018767 0.42091153 0.4155496
 0.41823056 0.43699732 0.45040214 0.50134048 0.4691689  0.45040214
 0.43967828 0.43699732 0.41823056 0.36193029 0.34048257 0.37801609]",1,,,,,,,,,,
"[0.56032172 0.55227882 0.54959786 0.54423592 0.53351206 0.52815013
 0.52546917 0.54959786 0.54423592 0.57372654 0.61126005 0.60857909
 0.61126005 0.61930295 0.62734584 0.62734584 0.62734584 0.61126005
 0.60321716 0.56568365 0.56300268 0.54155496 0.54691689 0.55495979]","[0.4691689  0.46380697 0.45040214 0.45040214 0.45576408 0.45308311
 0.45576408 0.46648794 0.46112601 0.47453083 0.48525469 0.50402145
 0.49597855 0.49329759 0.50402145 0.50402145 0.50402145 0.52010724
 0.51742627 0.50670241 0.50402145 0.48525469 0.46648794 0.44772118]","[0.51474531 0.5080429  0.5        0.49731903 0.49463807 0.49061662
 0.49061662 0.5080429  0.50268097 0.52412869 0.54825737 0.55630027
 0.5536193  0.55630027 0.56568365 0.56568365 0.56568365 0.56568365
 0.56032172 0.53619303 0.53351206 0.51340483 0.50670241 0.50134048]",37,,,,,,,,,,
"[0.53351206 0.5308311  0.53887399 0.52815013 0.51742627 0.52815013
 0.52815013 0.56836461 0.60053619 0.64075067 0.6541555  0.65683646
 0.68096515 0.69436997 0.66756032 0.67560322 0.65951743 0.65147453
 0.58981233 0.57908847 0.57640751 0.56836461 0.58981233 0.60321716]","[0.49865952 0.49329759 0.51474531 0.50670241 0.51474531 0.51742627
 0.5227882  0.56032172 0.57908847 0.58713137 0.60857909 0.63806971
 0.64879357 0.66756032 0.6461126  0.64075067 0.62466488 0.61662198
 0.58981233 0.56836461 0.55764075 0.54959786 0.55495979 0.54423592]","[0.51608579 0.51206434 0.52680965 0.51742627 0.51608579 0.5227882
 0.52546917 0.56434316 0.58981233 0.61394102 0.63136729 0.64745308
 0.66487936 0.68096515 0.65683646 0.65817694 0.64209115 0.63404826
 0.58981233 0.57372654 0.56702413 0.55898123 0.57238606 0.57372654]",20,,,,,,,,,,
"[0.61662198 0.61662198 0.60321716 0.58176944 0.57640751 0.58713137
 0.60589812 0.62734584 0.63270777 0.66756032 0.67828418 0.67560322
 0.61662198 0.58176944 0.57640751 0.57104558 0.58176944 0.57640751
 0.57372654 0.57908847 0.58176944 0.58981233 0.58981233 0.5924933 ]","[0.61662198 0.61662198 0.60321716 0.58176944 0.57640751 0.58713137
 0.60589812 0.62734584 0.63270777 0.66756032 0.67828418 0.67560322
 0.61662198 0.58176944 0.57640751 0.57104558 0.58176944 0.57640751
 0.57372654 0.57908847 0.58176944 0.58981233 0.58981233 0.5924933 ]","[0.61662198 0.61662198 0.60321716 0.58176944 0.57640751 0.58713137
 0.60589812 0.62734584 0.63270777 0.66756032 0.67828418 0.67560322
 0.61662198 0.58176944 0.57640751 0.57104558 0.58176944 0.57640751
 0.57372654 0.57908847 0.58176944 0.58981233 0.58981233 0.5924933 ]",48,,,,,,,,,,
"[0.54155496 0.54423592 0.52546917 0.50938338 0.51742627 0.50670241
 0.5227882  0.55495979 0.57908847 0.59517426 0.61662198 0.64343164
 0.63538874 0.65147453 0.67828418 0.68900804 0.68900804 0.71313673
 0.65951743 0.63270777 0.63002681 0.64343164 0.64075067 0.60589812]","[0.45576408 0.42359249 0.42359249 0.41018767 0.41823056 0.40482574
 0.43431635 0.48257373 0.50402145 0.5227882  0.54959786 0.57372654
 0.58713137 0.56300268 0.57908847 0.60589812 0.61126005 0.61394102
 0.60321716 0.54959786 0.53351206 0.53887399 0.53619303 0.53619303]","[0.49865952 0.48391421 0.47453083 0.45978552 0.46782842 0.45576408
 0.47855228 0.51876676 0.54155496 0.55898123 0.58310992 0.60857909
 0.61126005 0.60723861 0.62868633 0.64745308 0.65013405 0.66353887
 0.63136729 0.59115282 0.58176944 0.59115282 0.58847185 0.57104558]",46,,,,,,,,,,
"[0.5227882  0.50402145 0.49329759 0.49865952 0.50402145 0.47184987
 0.53351206 0.58713137 0.59517426 0.62198391 0.62466488 0.65951743
 0.68364611 0.70241287 0.71313673 0.73458445 0.73726542 0.72922252
 0.71581769 0.67024129 0.65147453 0.65147453 0.64075067 0.60857909]","[0.49865952 0.49597855 0.47184987 0.45844504 0.45844504 0.45576408
 0.51206434 0.55227882 0.57372654 0.59517426 0.60857909 0.61662198
 0.63002681 0.64343164 0.65951743 0.67560322 0.68900804 0.71313673
 0.65951743 0.62198391 0.61662198 0.64075067 0.62466488 0.57908847]","[0.51072386 0.5        0.48257373 0.47855228 0.48123324 0.46380697
 0.5227882  0.56970509 0.5844504  0.60857909 0.61662198 0.63806971
 0.65683646 0.67292225 0.68632708 0.70509383 0.71313673 0.72117962
 0.68766756 0.6461126  0.63404826 0.6461126  0.63270777 0.59383378]",35,,,,,,,,,,
