cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.08835348 0.07257607 0.09150896 0.02524385 0.00946644 0.00631096
 0.01893289 0.03786578 0.19248437 0.07888704 0.06310963 0.04733222]","[0.         0.         0.00631096 0.         0.         0.
 0.         0.00631096 0.         0.         0.         0.        ]","[0.04417674 0.03628804 0.04890996 0.01262193 0.00473322 0.00315548
 0.00946644 0.02208837 0.09624218 0.03944352 0.03155481 0.02366611]",35,,"[0.19966653 0.33097124 0.23176323 0.05794081 0.00583576 0.00625261
 0.0258441  0.09253856 0.0733639  0.09962484 0.06586078 0.22717799]","[0.00791997 0.01250521 0.02209254 0.         0.         0.
 0.         0.03376407 0.00541892 0.         0.         0.00541892]","[0.10379325 0.17173822 0.12692789 0.0289704  0.00291788 0.0031263
 0.01292205 0.06315131 0.03939141 0.04981242 0.03293039 0.11629846]",,2.0,False,True,[],[]
"[0.08835348 0.05679867 0.04102126 0.00631096 0.         0.00315548
 0.00315548 0.03155481 0.02839933 0.01893289 0.00946644 0.02524385]","[0.         0.         0.00631096 0.         0.         0.
 0.         0.00315548 0.         0.         0.         0.        ]","[0.04417674 0.02839933 0.02366611 0.00315548 0.         0.00157774
 0.00157774 0.01735515 0.01419967 0.00946644 0.00473322 0.01262193]",33,,,,,,,,,,
"[0.03786578 0.07888704 0.12621926 0.08835348 0.03155481 0.
 0.01262193 0.03155481 0.02524385 0.05364318 0.03155481 0.09781992]","[0.01893289 0.00315548 0.09466444 0.00946644 0.         0.
 0.         0.01262193 0.01893289 0.00946644 0.01577741 0.06626511]","[0.02839933 0.04102126 0.11044185 0.04890996 0.01577741 0.
 0.00631096 0.02208837 0.02208837 0.03155481 0.02366611 0.08204252]",19,,,,,,,,,,
"[0.14830763 0.19879533 0.09781992 0.03155481 0.01262193 0.00315548
 0.01893289 0.085198   0.06942059 0.09781992 0.05995415 0.09466444]","[0.01262193 0.10728637 0.         0.         0.         0.
 0.         0.         0.00631096 0.         0.         0.01577741]","[0.08046478 0.15304085 0.04890996 0.01577741 0.00631096 0.00157774
 0.00946644 0.042599   0.03786578 0.04890996 0.02997707 0.05522093]",4,,,,,,,,,,
"[0.10097541 0.17670696 0.11359733 0.0347103  0.00315548 0.00946644
 0.01893289 0.03786578 0.09781992 0.0347103  0.0504877  0.32185911]","[0.         0.05364318 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.0504877  0.11517507 0.05679867 0.01735515 0.00157774 0.00473322
 0.00946644 0.01893289 0.04890996 0.01735515 0.02524385 0.16092955]",9,,,,,,,,,,
"[0.06942059 0.05679867 0.03786578 0.00631096 0.         0.00315548
 0.00315548 0.02208837 0.02839933 0.01893289 0.00946644 0.02524385]","[0.         0.         0.00631096 0.         0.         0.
 0.         0.00315548 0.         0.         0.         0.        ]","[0.0347103  0.02839933 0.02208837 0.00315548 0.         0.00157774
 0.00157774 0.01262193 0.01419967 0.00946644 0.00473322 0.01262193]",32,,,,,,,,,,
"[0.01893289 0.10413089 0.05995415 0.01577741 0.00315548 0.00315548
 0.01577741 0.01577741 0.19248437 0.04417674 0.01262193 0.04417674]","[0.         0.01262193 0.         0.00631096 0.         0.
 0.         0.         0.04733222 0.         0.         0.        ]","[0.00946644 0.05837641 0.02997707 0.01104419 0.00157774 0.00157774
 0.0078887  0.0078887  0.1199083  0.02208837 0.00631096 0.02208837]",28,,,,,,,,,,
"[0.02839933 0.08204252 0.06626511 0.0347103  0.         0.
 0.01893289 0.03786578 0.01893289 0.0504877  0.02524385 0.04733222]","[0.         0.07257607 0.04733222 0.00631096 0.         0.
 0.         0.00631096 0.01262193 0.00631096 0.00315548 0.02524385]","[0.01419967 0.0773093  0.05679867 0.02051063 0.         0.
 0.00946644 0.02208837 0.01577741 0.02839933 0.01419967 0.03628804]",7,,,,,,,,,,
"[0.00315548 0.01262193 0.03786578 0.00631096 0.         0.
 0.         0.02208837 0.02208837 0.00631096 0.00631096 0.00631096]","[0.         0.         0.03786578 0.         0.         0.
 0.         0.01893289 0.00631096 0.         0.00631096 0.        ]","[0.00157774 0.00631096 0.03786578 0.00315548 0.         0.
 0.         0.02051063 0.01419967 0.00315548 0.00631096 0.00315548]",30,,,,,,,,,,
"[0.08835348 0.09150896 0.05364318 0.03155481 0.         0.
 0.01893289 0.01262193 0.01577741 0.01893289 0.06310963 0.04417674]","[0.05364318 0.05995415 0.01893289 0.00315548 0.         0.
 0.00946644 0.00631096 0.01577741 0.00315548 0.02524385 0.00631096]","[0.07099833 0.07573155 0.03628804 0.01735515 0.         0.
 0.01419967 0.00946644 0.01577741 0.01104419 0.04417674 0.02524385]",43,,,,,,,,,,
