cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.51040222 0.49237171 0.49237171 0.49930652 0.52427184 0.55755895
 0.58391123 0.5742025  0.55894591 0.54230236 0.48682386 0.47156727]","[0.33564494 0.29403606 0.29819695 0.33148405 0.40499307 0.4036061
 0.41331484 0.46324549 0.44660194 0.42441054 0.37447989 0.34257975]","[0.42302358 0.39320388 0.39528433 0.41539528 0.46463245 0.48058252
 0.49861304 0.51872399 0.50277393 0.48335645 0.43065187 0.40707351]",15,,"[0.56033287 0.55062413 0.54368932 0.52843273 0.62413315 0.70596394
 0.73092926 0.77669903 0.77947295 0.64909847 0.63106796 0.61581137]","[0.51178918 0.47434119 0.47572816 0.48127601 0.59500693 0.66019417
 0.69070735 0.67545076 0.64355062 0.60610264 0.60610264 0.61303745]","[0.53606103 0.51248266 0.50970874 0.50485437 0.60957004 0.68307906
 0.71081831 0.7260749  0.71151179 0.62760055 0.6185853  0.61442441]",,2.0,False,False,[],[54]
"[0.52843273 0.53536755 0.51872399 0.51733703 0.54230236 0.57697642
 0.60194175 0.61165049 0.58668516 0.55755895 0.53952843 0.53398058]","[0.33564494 0.29403606 0.29819695 0.33148405 0.40499307 0.4036061
 0.41331484 0.46324549 0.44660194 0.42441054 0.37447989 0.34257975]","[0.43203883 0.4147018  0.40846047 0.42441054 0.47364771 0.49029126
 0.50762829 0.53744799 0.51664355 0.49098474 0.45700416 0.43828017]",16,,,,,,,,,,
"[0.53675451 0.53536755 0.51872399 0.51733703 0.56033287 0.60332871
 0.63522885 0.65464632 0.65603329 0.61165049 0.5742025  0.55894591]","[0.33564494 0.29403606 0.29819695 0.33148405 0.40499307 0.4036061
 0.41331484 0.46324549 0.44660194 0.42441054 0.37447989 0.34257975]","[0.43619972 0.4147018  0.40846047 0.42441054 0.48266297 0.50346741
 0.52427184 0.55894591 0.55131761 0.51803051 0.47434119 0.45076283]",38,,,,,,,,,,
"[0.51040222 0.49237171 0.49237171 0.49930652 0.45631068 0.49791956
 0.52288488 0.53536755 0.52704577 0.49791956 0.47572816 0.42718447]","[0.33564494 0.29403606 0.29819695 0.33148405 0.40499307 0.4036061
 0.41331484 0.46324549 0.44660194 0.42441054 0.37447989 0.34257975]","[0.42302358 0.39320388 0.39528433 0.41539528 0.43065187 0.45076283
 0.46809986 0.49930652 0.48682386 0.46116505 0.42510402 0.38488211]",3,,,,,,,,,,
"[0.47156727 0.46601942 0.42024965 0.47572816 0.56033287 0.60332871
 0.63522885 0.65464632 0.65603329 0.61165049 0.5742025  0.55894591]","[0.40499307 0.40221914 0.37725381 0.41747573 0.51178918 0.53952843
 0.57558946 0.57281553 0.56171983 0.55617198 0.52565881 0.50762829]","[0.43828017 0.43411928 0.39875173 0.44660194 0.53606103 0.57142857
 0.60540915 0.61373093 0.60887656 0.58391123 0.54993065 0.5332871 ]",39,,,,,,,,,,
"[0.54646325 0.53536755 0.51872399 0.51733703 0.54923717 0.60194175
 0.59778086 0.61442441 0.61165049 0.57558946 0.53675451 0.5409154 ]","[0.48821082 0.48543689 0.46185853 0.46463245 0.46879334 0.51595007
 0.51040222 0.49237171 0.50069348 0.50485437 0.49098474 0.44382802]","[0.51733703 0.51040222 0.49029126 0.49098474 0.50901526 0.55894591
 0.55409154 0.55339806 0.55617198 0.54022191 0.51386963 0.49237171]",37,,,,,,,,,,
"[0.63661581 0.6074896  0.60055479 0.61719834 0.71983356 0.7739251
 0.81414702 0.82524272 0.79334258 0.7295423  0.68238558 0.66851595]","[0.51595007 0.47988904 0.46879334 0.50624133 0.61026352 0.65048544
 0.6740638  0.65603329 0.6629681  0.62274619 0.60055479 0.54923717]","[0.57628294 0.54368932 0.53467406 0.56171983 0.66504854 0.71220527
 0.74410541 0.740638   0.72815534 0.67614424 0.64147018 0.60887656]",53,,,,,,,,,,
"[0.51040222 0.49237171 0.49237171 0.49930652 0.40499307 0.4036061
 0.41331484 0.46324549 0.44660194 0.42441054 0.37447989 0.34257975]","[0.51040222 0.49237171 0.49237171 0.49930652 0.40499307 0.4036061
 0.41331484 0.46324549 0.44660194 0.42441054 0.37447989 0.34257975]","[0.51040222 0.49237171 0.49237171 0.49930652 0.40499307 0.4036061
 0.41331484 0.46324549 0.44660194 0.42441054 0.37447989 0.34257975]",1,,,,,,,,,,
"[0.48266297 0.44382802 0.44660194 0.47572816 0.53814147 0.54785021
 0.57697642 0.61581137 0.63938974 0.60055479 0.54230236 0.53398058]","[0.40499307 0.40221914 0.37725381 0.41747573 0.46879334 0.50208044
 0.5409154  0.57281553 0.56171983 0.54230236 0.48266297 0.47156727]","[0.44382802 0.42302358 0.41192788 0.44660194 0.50346741 0.52496533
 0.55894591 0.59431345 0.60055479 0.57142857 0.51248266 0.50277393]",11,,,,,,,,,,
"[0.60887656 0.58391123 0.57281553 0.60887656 0.64355062 0.67128988
 0.59084605 0.56449376 0.57004161 0.56726768 0.57697642 0.58252427]","[0.60887656 0.58391123 0.57281553 0.60887656 0.64355062 0.67128988
 0.59084605 0.56449376 0.57004161 0.56726768 0.57697642 0.58252427]","[0.60887656 0.58391123 0.57281553 0.60887656 0.64355062 0.67128988
 0.59084605 0.56449376 0.57004161 0.56726768 0.57697642 0.58252427]",48,,,,,,,,,,
