cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.52528626 0.55200382 0.64742366 0.57681298],[0.36688931 0.44751908 0.49522901 0.44895038],[0.44608779 0.49976145 0.57132634 0.51288168],38,,[0.54866412 0.61736641 0.76479008 0.62929389],[0.44083969 0.47375954 0.54866412 0.49666031],[0.49475191 0.54556298 0.6567271  0.5629771 ],,3.0,False,True,[],[]
[0.49236641 0.44608779 0.52337786 0.45992366],[0.30057252 0.38979008 0.43320611 0.37070611],[0.39646947 0.41793893 0.47829198 0.41531489],3,,,,,,,,,,
[0.48568702 0.53721374 0.64742366 0.57681298],[0.36688931 0.44751908 0.54580153 0.44895038],[0.42628817 0.49236641 0.5966126  0.51288168],12,,,,,,,,,,
[0.52528626 0.55200382 0.59017176 0.53101145],[0.44274809 0.45610687 0.49522901 0.47662214],[0.48401718 0.50405534 0.54270038 0.50381679],29,,,,,,,,,,
[0.4971374  0.58921756 0.71278626 0.64026718],[0.39933206 0.51335878 0.63263359 0.57681298],[0.44823473 0.55128817 0.67270992 0.60854008],47,,,,,,,,,,
[0.52528626 0.55200382 0.55868321 0.52576336],[0.49236641 0.42795802 0.43320611 0.37070611],[0.50882634 0.48998092 0.49594466 0.44823473],9,,,,,,,,,,
[0.47948473 0.47662214 0.58826336 0.48139313],[0.47948473 0.47662214 0.58826336 0.48139313],[0.47948473 0.47662214 0.58826336 0.48139313],14,,,,,,,,,,
[0.51622137 0.53291985 0.59685115 0.5596374 ],[0.44274809 0.45610687 0.4980916  0.48139313],[0.47948473 0.49451336 0.54747137 0.52051527],32,,,,,,,,,,
[0.52528626 0.55200382 0.59685115 0.5596374 ],[0.45896947 0.47519084 0.49522901 0.48139313],[0.49212786 0.51359733 0.54604008 0.52051527],37,,,,,,,,,,
[0.58540076 0.63979008 0.65267176 0.61641221],[0.48998092 0.52958015 0.57156489 0.52719466],[0.53769084 0.58468511 0.61211832 0.57180344],58,,,,,,,,,,
[0.44274809 0.48330153 0.58062977 0.53578244],[0.38549618 0.45610687 0.4980916  0.48330153],[0.41412214 0.4697042  0.53936069 0.50954198],11,,,,,,,,,,
[0.49236641 0.42795802 0.43320611 0.37070611],[0.49236641 0.42795802 0.43320611 0.37070611],[0.49236641 0.42795802 0.43320611 0.37070611],1,,,,,,,,,,
[0.41078244 0.50667939 0.55677481 0.47137405],[0.36688931 0.44751908 0.54580153 0.44895038],[0.38883588 0.47709924 0.55128817 0.46016221],6,,,,,,,,,,
[0.52385496 0.57108779 0.66269084 0.6221374 ],[0.39933206 0.50381679 0.58206107 0.54675573],[0.46159351 0.53745229 0.62237595 0.58444656],46,,,,,,,,,,
[0.46469466 0.51765267 0.60782443 0.54580153],[0.40028626 0.49284351 0.56870229 0.47662214],[0.43249046 0.50524809 0.58826336 0.51121183],25,,,,,,,,,,
[0.48568702 0.53721374 0.64742366 0.57681298],[0.39933206 0.50381679 0.58206107 0.51765267],[0.44250954 0.52051527 0.61474237 0.54723282],7,,,,,,,,,,
[0.44274809 0.45610687 0.4980916  0.48330153],[0.44274809 0.45610687 0.4980916  0.48330153],[0.44274809 0.45610687 0.4980916  0.48330153],31,,,,,,,,,,
[0.40028626 0.53721374 0.64742366 0.57681298],[0.36688931 0.47423664 0.55057252 0.47137405],[0.38358779 0.50572519 0.59899809 0.52409351],39,,,,,,,,,,
[0.4971374  0.58110687 0.69227099 0.64026718],[0.46708015 0.51335878 0.63263359 0.59208015],[0.48210878 0.54723282 0.66245229 0.61617366],57,,,,,,,,,,
[0.72948473 0.79246183 0.89790076 0.85305344],[0.63454198 0.6898855  0.69656489 0.69274809],[0.68201336 0.74117366 0.79723282 0.77290076],59,,,,,,,,,,
[0.60019084 0.69370229 0.8134542  0.67843511],[0.48520992 0.58730916 0.66364504 0.58778626],[0.54270038 0.64050573 0.73854962 0.63311069],60,,,,,,,,,,
