cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.49236641 0.44608779 0.52337786 0.45992366],[0.30057252 0.38979008 0.43320611 0.37070611],[0.39646947 0.41793893 0.47829198 0.41531489],3,,[0.55916031 0.57013359 0.60543893 0.59017176],[0.32395038 0.3778626  0.4375     0.40696565],[0.44155534 0.47399809 0.52146947 0.4985687 ],,3.0,False,False,"[38, 12, 47, 14, 37, 11, 6, 25, 39, 59]",[]
[0.52528626 0.55200382 0.59017176 0.53101145],[0.44274809 0.45610687 0.49522901 0.47662214],[0.48401718 0.50405534 0.54270038 0.50381679],29,,,,,,,,,,
[0.52528626 0.55200382 0.55868321 0.52576336],[0.49236641 0.42795802 0.43320611 0.37070611],[0.50882634 0.48998092 0.49594466 0.44823473],9,,,,,,,,,,
[0.51622137 0.53291985 0.59685115 0.5596374 ],[0.44274809 0.45610687 0.4980916  0.48139313],[0.47948473 0.49451336 0.54747137 0.52051527],32,,,,,,,,,,
[0.58540076 0.63979008 0.65267176 0.61641221],[0.48998092 0.52958015 0.57156489 0.52719466],[0.53769084 0.58468511 0.61211832 0.57180344],58,,,,,,,,,,
[0.49236641 0.42795802 0.43320611 0.37070611],[0.49236641 0.42795802 0.43320611 0.37070611],[0.49236641 0.42795802 0.43320611 0.37070611],1,,,,,,,,,,
[0.52385496 0.57108779 0.66269084 0.6221374 ],[0.39933206 0.50381679 0.58206107 0.54675573],[0.46159351 0.53745229 0.62237595 0.58444656],46,,,,,,,,,,
[0.48568702 0.53721374 0.64742366 0.57681298],[0.39933206 0.50381679 0.58206107 0.51765267],[0.44250954 0.52051527 0.61474237 0.54723282],7,,,,,,,,,,
[0.55916031 0.57013359 0.60543893 0.59017176],[0.32395038 0.3778626  0.4375     0.40696565],[0.44155534 0.47399809 0.52146947 0.4985687 ],31,,,,,,,,,,
[0.4971374  0.58110687 0.69227099 0.64026718],[0.46708015 0.51335878 0.63263359 0.59208015],[0.48210878 0.54723282 0.66245229 0.61617366],57,,,,,,,,,,
[0.60019084 0.69370229 0.8134542  0.67843511],[0.48520992 0.58730916 0.66364504 0.58778626],[0.54270038 0.64050573 0.73854962 0.63311069],60,,,,,,,,,,
