cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.25874126 0.37062937 0.2027972  0.02097902 0.11188811 0.32167832
 0.13986014 0.16783217]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.12937063 0.18531469 0.1013986  0.01048951 0.05594406 0.16083916
 0.06993007 0.08391608]",21,,"[0.32167832 0.31468531 0.2027972  0.01398601 0.06293706 0.11188811
 0.09090909 0.16783217]","[0.02797203 0.14685315 0.         0.         0.         0.02797203
 0.         0.01398601]","[0.17482517 0.23076923 0.1013986  0.00699301 0.03146853 0.06993007
 0.04545455 0.09090909]",,0.0,False,True,[],[]
"[0.05594406 0.1958042  0.01398601 0.02097902 0.04195804 0.32167832
 0.12587413 0.09090909]","[0.02797203 0.08391608 0.         0.         0.         0.18881119
 0.00699301 0.03496503]","[0.04195804 0.13986014 0.00699301 0.01048951 0.02097902 0.25524476
 0.06643357 0.06293706]",36,,,,,,,,,,
"[0.26573427 0.3006993  0.13286713 0.01398601 0.11188811 0.11888112
 0.13986014 0.16783217]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.13286713 0.15034965 0.06643357 0.00699301 0.05594406 0.05944056
 0.06993007 0.08391608]",18,,,,,,,,,,
"[0.5034965  0.30769231 0.13286713 0.         0.05594406 0.11888112
 0.13286713 0.2027972 ]","[0.2027972  0.01398601 0.         0.         0.         0.01398601
 0.         0.00699301]","[0.35314685 0.16083916 0.06643357 0.         0.02797203 0.06643357
 0.06643357 0.1048951 ]",15,,,,,,,,,,
"[0.35664336 0.35664336 0.0979021  0.01398601 0.11188811 0.11888112
 0.13986014 0.16783217]","[0.16083916 0.13986014 0.         0.         0.         0.00699301
 0.         0.00699301]","[0.25874126 0.24825175 0.04895105 0.00699301 0.05594406 0.06293706
 0.06993007 0.08741259]",11,,,,,,,,,,
"[0.16083916 0.37062937 0.2027972  0.02097902 0.04195804 0.32167832
 0.12587413 0.16783217]","[0.         0.07692308 0.         0.         0.         0.02097902
 0.         0.        ]","[0.08041958 0.22377622 0.1013986  0.01048951 0.02097902 0.17132867
 0.06293706 0.08391608]",24,,,,,,,,,,
"[0.5034965  0.30769231 0.06993007 0.         0.04195804 0.0979021
 0.06993007 0.2027972 ]","[0.1958042  0.11888112 0.         0.         0.         0.02097902
 0.         0.01398601]","[0.34965035 0.21328671 0.03496503 0.         0.02097902 0.05944056
 0.03496503 0.10839161]",9,,,,,,,,,,
"[0.09090909 0.2027972  0.2027972  0.         0.02097902 0.09090909
 0.06293706 0.04195804]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.04545455 0.1013986  0.1013986  0.         0.01048951 0.04545455
 0.03146853 0.02097902]",35,,,,,,,,,,
"[0.20979021 0.37062937 0.         0.00699301 0.03496503 0.04895105
 0.03496503 0.07692308]","[0.11188811 0.32167832 0.         0.         0.01398601 0.00699301
 0.         0.01398601]","[0.16083916 0.34615385 0.         0.0034965  0.02447552 0.02797203
 0.01748252 0.04545455]",23,,,,,,,,,,
"[0.5034965  0.30769231 0.00699301 0.         0.02797203 0.07692308
 0.06993007 0.12587413]","[0.32167832 0.23076923 0.         0.         0.02097902 0.02097902
 0.         0.01398601]","[0.41258741 0.26923077 0.0034965  0.         0.02447552 0.04895105
 0.03496503 0.06993007]",39,,,,,,,,,,
"[0.35664336 0.27972028 0.13286713 0.         0.03496503 0.32167832
 0.06293706 0.09090909]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.17832168 0.13986014 0.06643357 0.         0.01748252 0.16083916
 0.03146853 0.04545455]",58,,,,,,,,,,
