cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.2735146  0.09393431 0.01105109 0.09117153 0.10774891 0.1049854 ],[0.08564599 0.00828832 0.         0.00552555 0.00276277 0.        ],[0.17958029 0.05111131 0.00552555 0.04834854 0.05525584 0.0524927 ],11,,[0.2735146  0.18234307 0.02762774 0.09117153 0.20444526 0.1049854 ],[0.         0.00828832 0.         0.00552555 0.00276277 0.        ],[0.1367573  0.09531569 0.01381387 0.04834854 0.10360401 0.0524927 ],,0.0,False,True,[],[]
[0.14918978 0.18234307 0.02762774 0.08288321 0.20444526 0.09945985],[0.         0.00828832 0.         0.00552555 0.00552555 0.00552555],[0.07459489 0.09531569 0.01381387 0.04420438 0.1049854  0.0524927 ],24,,,,,,,,,,
[0.2735146  0.09393431 0.01105109 0.09117153 0.10774891 0.1049854 ],[0.10774818 0.00828832 0.         0.00552555 0.00276277 0.        ],[0.19063139 0.05111131 0.00552555 0.04834854 0.05525584 0.0524927 ],10,,,,,,,,,,
[0.02486496 0.06078102 0.00828832 0.03315328 0.20444526 0.05801825],[0.02210219 0.03315328 0.         0.00828832 0.1574781  0.04972993],[0.02348358 0.04696715 0.00414416 0.0207208  0.18096168 0.05387409],13,,,,,,,,,,
[0.27075182 0.06906934 0.01105109 0.06078102 0.10774891 0.1049854 ],[0.11051095 0.00828832 0.         0.00552555 0.02210219 0.02210219],[0.19063139 0.03867883 0.00552555 0.03315328 0.06492555 0.0635438 ],16,,,,,,,,,,
[0.0524927  0.03867883 0.00276277 0.01933942 0.01933942 0.01933942],[0.         0.00828832 0.         0.00828832 0.00552555 0.00552555],[0.02624635 0.02348358 0.00138139 0.01381387 0.01243248 0.01243248],32,,,,,,,,,,
[0.07735766 0.08840876 0.00552555 0.02762774 0.03591606 0.04420438],[0.0635438  0.06078102 0.         0.00552555 0.01933942 0.00828832],[0.07045073 0.07459489 0.00276277 0.01657664 0.02762774 0.02624635],14,,,,,,,,,,
[0.11327372 0.09669708 0.00552555 0.03039051 0.04696715 0.04696715],[0.0635438  0.04144161 0.         0.00552555 0.00552555 0.00828832],[0.08840876 0.06906934 0.00276277 0.01795803 0.02624635 0.02762774],18,,,,,,,,,,
[0.14918978 0.18234307 0.02762774 0.08288321 0.20444526 0.09945985],[0.02210219 0.03039051 0.         0.00828832 0.01657664 0.01933942],[0.08564599 0.10636679 0.01381387 0.04558577 0.11051095 0.05939964],8,,,,,,,,,,
[0.11051095 0.01381387 0.00276277 0.01657664 0.10222263 0.02486496],[0.08564599 0.01105109 0.         0.00552555 0.04144161 0.        ],[0.09807847 0.01243248 0.00138139 0.01105109 0.07183212 0.01243248],6,,,,,,,,,,
[0.22378467 0.03867883 0.00276277 0.04972993 0.0635438  0.1049854 ],[0.11051095 0.01105109 0.         0.00552555 0.00276277 0.01933942],[0.16714781 0.02486496 0.00138139 0.02762774 0.03315328 0.06216241],4,,,,,,,,,,
[0.14918978 0.09669708 0.01105109 0.05525547 0.20444526 0.08288321],[0.02210219 0.00828832 0.         0.00552555 0.03591606 0.04972993],[0.08564599 0.0524927  0.00552555 0.03039051 0.12018066 0.06630657],44,,,,,,,,,,
[0.2735146  0.09393431 0.00276277 0.06078102 0.10774891 0.06906934],[0.22378467 0.01657664 0.         0.01933942 0.00552555 0.01381387],[0.24864964 0.05525547 0.00138139 0.04006022 0.05663723 0.04144161],49,,,,,,,,,,
[0.16300365 0.07735766 0.01105109 0.09117153 0.07735766 0.08012044],[0.07735766 0.03039051 0.         0.05525547 0.0524927  0.03039051],[0.12018066 0.05387409 0.00552555 0.0732135  0.06492518 0.05525547],52,,,,,,,,,,
[0.27075182 0.06906934 0.01105109 0.09117153 0.10774891 0.08288321],[0.08564599 0.00828832 0.         0.00552555 0.04144161 0.01105109],[0.17819891 0.03867883 0.00552555 0.04834854 0.07459526 0.04696715],0,,,,,,,,,,
[0.2735146  0.09393431 0.00276277 0.04972993 0.06630657 0.1049854 ],[0.12985036 0.01105109 0.         0.01657664 0.00552555 0.01381387],[0.20168248 0.0524927  0.00138139 0.03315328 0.03591606 0.05939964],9,,,,,,,,,,
[0.1685292  0.08288321 0.01105109 0.04696715 0.03591606 0.06078102],[0.11327372 0.02210219 0.         0.01381387 0.00276277 0.01105109],[0.14090146 0.0524927  0.00552555 0.03039051 0.01933942 0.03591606],22,,,,,,,,,,
[0.10774818 0.02486496 0.00276277 0.01105109 0.04144161 0.01933942],[0.02762774 0.00828832 0.         0.00552555 0.00552555 0.        ],[0.06768796 0.01657664 0.00138139 0.00828832 0.02348358 0.00966971],33,,,,,,,,,,
[0.01381387 0.03867883 0.         0.01933942 0.01933942 0.01105109],[0.         0.03315328 0.         0.01657664 0.01105109 0.00552555],[0.00690693 0.03591606 0.         0.01795803 0.01519526 0.00828832],30,,,,,,,,,,
[0.11327372 0.09669708 0.00552555 0.03039051 0.10222263 0.04696715],[0.0635438  0.01105109 0.         0.00552555 0.00552555 0.        ],[0.08840876 0.05387409 0.00276277 0.01795803 0.05387409 0.02348358],41,,,,,,,,,,
[0.20168248 0.08288321 0.01105109 0.03591606 0.03591606 0.06078102],[0.12708759 0.04972993 0.         0.01381387 0.00828832 0.01657664],[0.16438504 0.06630657 0.00552555 0.02486496 0.02210219 0.03867883],45,,,,,,,,,,
[0.17958029 0.04696715 0.00276277 0.09117153 0.06078102 0.04144161],[0.13537591 0.01381387 0.         0.01933942 0.00276277 0.01381387],[0.1574781  0.03039051 0.00138139 0.05525547 0.0317719  0.02762774],15,,,,,,,,,,
[0.2735146  0.09393431 0.00276277 0.02210219 0.00552555 0.01381387],[0.2735146  0.09393431 0.00276277 0.02210219 0.00552555 0.01381387],[0.2735146  0.09393431 0.00276277 0.02210219 0.00552555 0.01381387],29,,,,,,,,,,
[0.16300365 0.04696715 0.         0.09117153 0.06078102 0.03039051],[0.16300365 0.04696715 0.         0.09117153 0.06078102 0.03039051],[0.16300365 0.04696715 0.         0.09117153 0.06078102 0.03039051],51,,,,,,,,,,
