cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.27722772 0.07920792 0.31188119],[0.05445545 0.         0.0049505 ],[0.16584158 0.03960396 0.15841584],14,,[0.55445545 0.55940594 0.21782178],[0.14851485 0.         0.        ],[0.35148515 0.27970297 0.10891089],,3.0,False,False,"[3, 10, 45, 0, 22, 38, 50, 29, 39]",[]
[0.44554455 0.0990099  0.31188119],[0.08415842 0.00990099 0.08910891],[0.26485149 0.05445545 0.20049505],4,,,,,,,,,,
[0.29207921 0.07920792 0.15346535],[0.15841584 0.         0.0049505 ],[0.22524752 0.03960396 0.07920792],18,,,,,,,,,,
[0.0990099  0.02475248 0.03960396],[0.05445545 0.         0.0049505 ],[0.07673267 0.01237624 0.02227723],35,,,,,,,,,,
[0.55445545 0.55940594 0.21782178],[0.14851485 0.         0.        ],[0.35148515 0.27970297 0.10891089],44,,,,,,,,,,
[0.36138614 0.07920792 0.31188119],[0.08415842 0.00990099 0.09405941],[0.22277228 0.04455446 0.2029703 ],26,,,,,,,,,,
[0.44554455 0.07920792 0.15346535],[0.38118812 0.03465347 0.15346535],[0.41336634 0.05693069 0.15346535],49,,,,,,,,,,
[0.34653465 0.0990099  0.12376238],[0.27227723 0.00990099 0.0049505 ],[0.30940594 0.05445545 0.06435644],56,,,,,,,,,,
[0.36138614 0.07920792 0.31188119],[0.08415842 0.00990099 0.13861386],[0.22277228 0.04455446 0.22524752],60,,,,,,,,,,
[0.36633663 0.01485149 0.02475248],[0.36633663 0.01485149 0.02475248],[0.36633663 0.01485149 0.02475248],23,,,,,,,,,,
[0.27722772 0.03960396 0.01980198],[0.24752475 0.02970297 0.0049505 ],[0.26237624 0.03465347 0.01237624],5,,,,,,,,,,
[0.21782178 0.07920792 0.15346535],[0.15841584 0.         0.09405941],[0.18811881 0.03960396 0.12376238],28,,,,,,,,,,
[0.15841584 0.07920792 0.31188119],[0.08415842 0.00990099 0.15346535],[0.12128713 0.04455446 0.23267327],13,,,,,,,,,,
[0.34158416 0.04950495 0.1039604 ],[0.27227723 0.00990099 0.04950495],[0.30693069 0.02970297 0.07673267],40,,,,,,,,,,
[0.34158416 0.0990099  0.17326733],[0.24257426 0.00990099 0.06930693],[0.29207921 0.05445545 0.12128713],47,,,,,,,,,,
[0.37128713 0.04950495 0.1039604 ],[0.28712871 0.00990099 0.07920792],[0.32920792 0.02970297 0.09158416],1,,,,,,,,,,
[0.3019802  0.07920792 0.31188119],[0.08415842 0.00990099 0.11881188],[0.19306931 0.04455446 0.21534653],46,,,,,,,,,,
[0.24257426 0.02475248 0.11881188],[0.17821782 0.         0.07920792],[0.21039604 0.01237624 0.0990099 ],7,,,,,,,,,,
