cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.11835831 0.14301629 0.22685342 0.22192182 0.19233225 0.11342671
 0.07397394 0.01479479 0.00986319 0.04931596 0.00986319 0.00986319
 0.02958958 0.05917915 0.05424756 0.08383713 0.16767427 0.13315309
 0.08383713 0.07890554 0.06904235 0.08876873 0.08876873 0.1232899 ]","[0.         0.         0.00986319 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.05917915 0.07150814 0.11835831 0.11096091 0.09616612 0.05671336
 0.03698697 0.00739739 0.0049316  0.02465798 0.0049316  0.0049316
 0.01479479 0.02958958 0.02712378 0.04191857 0.08383713 0.06657655
 0.04191857 0.03945277 0.03452117 0.04438436 0.04438436 0.06164495]",0,,"[0.38306189 0.29250814 0.34397394 0.41433225 0.34006515 0.38892508
 0.25732899 0.21042345 0.03973941 0.01042345 0.00846906 0.03192182
 0.01368078 0.01563518 0.04299674 0.14397394 0.2        0.1771987
 0.13615635 0.2        0.17459283 0.2        0.21758958 0.16416938]","[0.         0.         0.         0.00781759 0.00130293 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.19153094 0.14625407 0.17198697 0.21107492 0.17068404 0.19446254
 0.1286645  0.10521173 0.01986971 0.00521173 0.00423453 0.01596091
 0.00684039 0.00781759 0.02149837 0.07198697 0.1        0.08859935
 0.06807818 0.1        0.08729642 0.1        0.10879479 0.08208469]",,4.0,False,False,"[34, 3]",[]
"[0.08876873 0.14301629 0.22685342 0.02958958 0.06904235 0.08383713
 0.00986319 0.0049316  0.         0.         0.0049316  0.
 0.         0.01479479 0.0049316  0.01972638 0.00986319 0.
 0.         0.         0.         0.         0.01972638 0.0049316 ]","[0.08876873 0.14301629 0.22685342 0.02958958 0.06904235 0.08383713
 0.00986319 0.0049316  0.         0.         0.0049316  0.
 0.         0.01479479 0.0049316  0.01972638 0.00986319 0.
 0.         0.         0.         0.         0.01972638 0.0049316 ]","[0.08876873 0.14301629 0.22685342 0.02958958 0.06904235 0.08383713
 0.00986319 0.0049316  0.         0.         0.0049316  0.
 0.         0.01479479 0.0049316  0.01972638 0.00986319 0.
 0.         0.         0.         0.         0.01972638 0.0049316 ]",29,,,,,,,,,,
"[0.15781107 0.11342671 0.1282215  0.09863192 0.19233225 0.07890554
 0.08383713 0.04931596 0.01479479 0.         0.0049316  0.00986319
 0.00986319 0.05917915 0.04931596 0.04931596 0.16767427 0.13315309
 0.07397394 0.07890554 0.06904235 0.04438436 0.04931596 0.07397394]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"[0.07890554 0.05671336 0.06411075 0.04931596 0.09616612 0.03945277
 0.04191857 0.02465798 0.00739739 0.         0.0024658  0.0049316
 0.0049316  0.02958958 0.02465798 0.02465798 0.08383713 0.06657655
 0.03698697 0.03945277 0.03452117 0.02219218 0.02465798 0.03698697]",14,,,,,,,,,,
"[0.15781107 0.06904235 0.09863192 0.10849511 0.14301629 0.17753746
 0.13315309 0.01972638 0.0049316  0.04931596 0.         0.
 0.01972638 0.02465798 0.01972638 0.02465798 0.02958958 0.07890554
 0.06411075 0.03945277 0.04438436 0.04438436 0.05917915 0.1232899 ]","[0.01479479 0.         0.         0.0049316  0.0049316  0.0049316
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.0049316  0.0049316
 0.         0.         0.         0.0049316  0.00986319 0.        ]","[0.08630293 0.03452117 0.04931596 0.05671336 0.07397394 0.09123453
 0.06657655 0.00986319 0.0024658  0.02465798 0.         0.
 0.00986319 0.01232899 0.00986319 0.01232899 0.01726059 0.04191857
 0.03205537 0.01972638 0.02219218 0.02465798 0.03452117 0.06164495]",46,,,,,,,,,,
"[0.09863192 0.14301629 0.22685342 0.22192182 0.1282215  0.08383713
 0.02958958 0.01479479 0.0049316  0.01972638 0.0049316  0.
 0.         0.02958958 0.05424756 0.04438436 0.03452117 0.07397394
 0.08383713 0.05424756 0.05917915 0.02465798 0.04438436 0.03945277]","[0.01479479 0.0049316  0.08876873 0.02958958 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00986319 0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.05671336 0.07397394 0.15781107 0.1257557  0.06411075 0.04191857
 0.01479479 0.00739739 0.0024658  0.00986319 0.0024658  0.
 0.         0.01479479 0.02712378 0.02712378 0.01726059 0.03698697
 0.04191857 0.02712378 0.02958958 0.01232899 0.02219218 0.01972638]",39,,,,,,,,,,
"[0.15781107 0.11342671 0.1232899  0.08876873 0.06904235 0.11342671
 0.08383713 0.01972638 0.0049316  0.         0.0049316  0.00986319
 0.         0.03945277 0.02465798 0.03945277 0.16767427 0.13315309
 0.06411075 0.05424756 0.03452117 0.04438436 0.08876873 0.07397394]","[0.00986319 0.0049316  0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","[0.08383713 0.05917915 0.06164495 0.04438436 0.03452117 0.05671336
 0.04191857 0.00986319 0.0024658  0.         0.0024658  0.0049316
 0.         0.01972638 0.01232899 0.01972638 0.08383713 0.06657655
 0.03205537 0.02712378 0.01726059 0.02219218 0.04438436 0.03698697]",37,,,,,,,,,,
"[0.01479479 0.01972638 0.1282215  0.08876873 0.         0.
 0.01479479 0.         0.00986319 0.         0.         0.
 0.         0.         0.00986319 0.         0.03452117 0.0049316
 0.07397394 0.07890554 0.06904235 0.02465798 0.04438436 0.00986319]","[0.01479479 0.01972638 0.1282215  0.08876873 0.         0.
 0.01479479 0.         0.00986319 0.         0.         0.
 0.         0.         0.00986319 0.         0.03452117 0.0049316
 0.07397394 0.07890554 0.06904235 0.02465798 0.04438436 0.00986319]","[0.01479479 0.01972638 0.1282215  0.08876873 0.         0.
 0.01479479 0.         0.00986319 0.         0.         0.
 0.         0.         0.00986319 0.         0.03452117 0.0049316
 0.07397394 0.07890554 0.06904235 0.02465798 0.04438436 0.00986319]",20,,,,,,,,,,
"[0.1232899  0.08383713 0.17753746 0.08876873 0.19233225 0.05424756
 0.04931596 0.01479479 0.01479479 0.         0.         0.
 0.         0.01972638 0.02465798 0.04931596 0.09863192 0.05917915
 0.05424756 0.07397394 0.05424756 0.04438436 0.04931596 0.05424756]","[0.01479479 0.         0.         0.         0.07890554 0.0049316
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.0049316  0.        ]","[0.06904235 0.04191857 0.08876873 0.04438436 0.13561889 0.02958958
 0.02465798 0.00739739 0.00739739 0.         0.         0.
 0.         0.00986319 0.01232899 0.02465798 0.04931596 0.02958958
 0.02712378 0.03698697 0.02712378 0.02219218 0.02712378 0.02712378]",12,,,,,,,,,,
"[0.07890554 0.06904235 0.15781107 0.09863192 0.04438436 0.17753746
 0.13315309 0.00986319 0.00986319 0.01972638 0.         0.
 0.0049316  0.03945277 0.05424756 0.03945277 0.16767427 0.13315309
 0.07397394 0.07890554 0.06904235 0.04438436 0.05917915 0.08876873]","[0.         0.         0.         0.0049316  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.02465798 0.0049316
 0.0049316  0.0049316  0.         0.         0.         0.0049316 ]","[0.03945277 0.03452117 0.07890554 0.05178176 0.02219218 0.08876873
 0.06657655 0.0049316  0.0049316  0.00986319 0.         0.
 0.0024658  0.01972638 0.02712378 0.01972638 0.09616612 0.06904235
 0.03945277 0.04191857 0.03452117 0.02219218 0.02958958 0.04685016]",21,,,,,,,,,,
"[0.03945277 0.00986319 0.00986319 0.00986319 0.09863192 0.00986319
 0.0049316  0.0049316  0.01479479 0.         0.         0.
 0.         0.         0.01972638 0.03945277 0.16767427 0.13315309
 0.05917915 0.06904235 0.05424756 0.04438436 0.0049316  0.06411075]","[0.01479479 0.         0.         0.         0.04438436 0.0049316
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01479479 0.09863192 0.05917915
 0.05424756 0.0049316  0.01479479 0.0049316  0.0049316  0.        ]","[0.02712378 0.0049316  0.0049316  0.0049316  0.07150814 0.00739739
 0.0024658  0.0024658  0.00739739 0.         0.         0.
 0.         0.         0.00986319 0.02712378 0.13315309 0.09616612
 0.05671336 0.03698697 0.03452117 0.02465798 0.0049316  0.03205537]",13,,,,,,,,,,
