cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.59915304 0.453125   0.22386098 0.26679322 0.40457068 0.40530082
 0.27075182 0.09393431 0.01105109 0.09117153 0.10774891 0.1049854
 0.60992908 0.24822695 0.0070922  0.14184397 0.17730496 0.21276596
 0.62913441 0.60661506 0.71850809 0.79380718 0.8416608  0.69176636]","[0.14836449 0.06417932 0.00657126 0.03789428 0.01796145 0.02679614
 0.09117153 0.01105109 0.         0.00552555 0.00276277 0.01381387
 0.17021277 0.0070922  0.         0.         0.0070922  0.0212766
 0.42646024 0.42153413 0.40957072 0.44405348 0.44123856 0.36312456]","[0.37375876 0.25865216 0.11521612 0.15234375 0.21126606 0.21604848
 0.18096168 0.0524927  0.00552555 0.04834854 0.05525584 0.05939964
 0.39007092 0.12765957 0.0035461  0.07092199 0.09219858 0.11702128
 0.52779733 0.5140746  0.56403941 0.61893033 0.64144968 0.52744546]",50,,"[0.97196262 0.61521612 0.23590829 0.34959112 0.49817465 0.67216706
 0.4850365  0.34087591 0.02226277 0.09051095 0.21605839 0.2229927
 1.         0.70921986 0.4964539  0.58156028 0.56737589 0.53191489
 0.47149894 0.48486981 0.53553835 0.52850106 0.49331457 0.47853624]","[0.10784171 0.14712325 0.02402161 0.02599299 0.04497664 0.06783002
 0.02226277 0.02883212 0.         0.         0.00766423 0.
 0.07801418 0.11347518 0.         0.         0.0141844  0.
 0.13300493 0.11752287 0.15270936 0.23856439 0.23363828 0.1653765 ]","[0.53990216 0.38116968 0.12996495 0.18779206 0.27157564 0.36999854
 0.25364964 0.18485401 0.01113139 0.04525547 0.11186131 0.11149635
 0.53900709 0.41134752 0.24822695 0.29078014 0.29078014 0.26595745
 0.30225194 0.30119634 0.34412386 0.38353272 0.36347643 0.32195637]",,4.0,False,False,"[15, 18, 14, 41, 56, 47, 20, 5, 27, 43]",[]
"[0.43815713 0.32768692 0.19830607 0.23875584 0.43173189 0.59747371
 0.19063139 0.09945985 0.02762774 0.09117153 0.20444526 0.09945985
 0.41134752 0.24822695 0.0212766  0.12056738 0.34042553 0.18439716
 0.6122449  0.59957776 0.71850809 0.79380718 0.8416608  0.69176636]","[0.07746787 0.04059579 0.00459988 0.02971671 0.06162383 0.02679614
 0.01381387 0.00828832 0.         0.00552555 0.00828832 0.00828832
 0.02836879 0.         0.         0.         0.0070922  0.
 0.460943   0.44475721 0.47712878 0.49683322 0.52920479 0.48416608]","[0.2578125  0.18414136 0.10145298 0.13423627 0.24667786 0.31213493
 0.10222263 0.05387409 0.01381387 0.04834854 0.10636679 0.05387409
 0.21985816 0.12411348 0.0106383  0.06028369 0.17375887 0.09219858
 0.53659395 0.52216749 0.59781844 0.6453202  0.68543279 0.58796622]",57,,,,,,,,,,
"[0.97196262 0.70962325 0.26504089 0.34959112 0.49817465 0.67216706
 0.4850365  0.34087591 0.02226277 0.09051095 0.21605839 0.2229927
 1.         0.70921986 0.4964539  0.58156028 0.56737589 0.53191489
 0.54116819 0.53272343 0.56157635 0.61717101 0.62843068 0.55665025]","[0.10784171 0.14712325 0.02402161 0.02599299 0.02424065 0.03015479
 0.02226277 0.01105109 0.         0.         0.00552555 0.
 0.07801418 0.         0.         0.         0.         0.
 0.13300493 0.11752287 0.15270936 0.23856439 0.23363828 0.1653765 ]","[0.53990216 0.42837325 0.14453125 0.18779206 0.26120765 0.35116092
 0.25364964 0.1759635  0.01113139 0.04525547 0.11079197 0.11149635
 0.53900709 0.35460993 0.24822695 0.29078014 0.28368794 0.26595745
 0.33708656 0.32512315 0.35714286 0.4278677  0.43103448 0.36101337]",38,,,,,,,,,,
"[0.59915304 0.70962325 0.26504089 0.34557535 0.22773072 0.39661215
 0.2735146  0.11879927 0.00552555 0.03867883 0.08012044 0.08564599
 0.5177305  0.29787234 0.0070922  0.07092199 0.17730496 0.17021277
 0.53272343 0.51583392 0.55102041 0.63054187 0.62068966 0.55735398]","[0.08184871 0.17610981 0.02000584 0.17516063 0.03563084 0.0067903
 0.         0.00828832 0.         0.00552555 0.00552555 0.
 0.         0.         0.         0.         0.         0.
 0.32371569 0.32371569 0.40957072 0.44405348 0.44123856 0.36312456]","[0.34050088 0.44286653 0.14252336 0.26036799 0.13168078 0.20170123
 0.1367573  0.0635438  0.00276277 0.02210219 0.04282299 0.04282299
 0.25886525 0.14893617 0.0035461  0.03546099 0.08865248 0.08510638
 0.42821956 0.41977481 0.48029557 0.53729768 0.53096411 0.46023927]",17,,,,,,,,,,
"[0.43815713 0.38346963 0.18173189 0.24985397 0.40457068 0.31286507
 0.22378467 0.09393431 0.01105109 0.09117153 0.09393431 0.0635438
 0.4751773  0.24822695 0.0141844  0.14184397 0.17021277 0.13475177
 0.60450387 0.59887403 0.66643209 0.65306122 0.65306122 0.60028149]","[0.09455315 0.06417932 0.00861565 0.02971671 0.02424065 0.02679614
 0.0635438  0.01105109 0.         0.00552555 0.00828832 0.01381387
 0.16312057 0.0070922  0.         0.         0.         0.0141844
 0.42153413 0.43912738 0.49190711 0.50809289 0.50950035 0.47712878]","[0.26635514 0.22382447 0.09517377 0.13978534 0.21440567 0.16983061
 0.14366423 0.0524927  0.00552555 0.04834854 0.05111131 0.03867883
 0.31914894 0.12765957 0.0070922  0.07092199 0.08510638 0.07446809
 0.513019   0.5190007  0.5791696  0.58057706 0.58128079 0.53870514]",22,,,,,,,,,,
"[0.52438668 0.2312354  0.11901285 0.24985397 0.13478388 0.22575935
 0.17958029 0.09945985 0.02762774 0.08288321 0.06630657 0.1049854
 0.46808511 0.20567376 0.0070922  0.14184397 0.07801418 0.21276596
 0.62913441 0.60661506 0.68543279 0.75721323 0.73610134 0.66291344]","[0.09455315 0.13712033 0.00657126 0.03723715 0.01796145 0.04599883
 0.09117153 0.02210219 0.         0.01381387 0.00276277 0.01381387
 0.17021277 0.0070922  0.         0.0141844  0.0070922  0.0212766
 0.49049965 0.4940183  0.55876144 0.57635468 0.54539057 0.5270936 ]","[0.30946992 0.18417786 0.06279206 0.14354556 0.07637266 0.13587909
 0.13537591 0.06078102 0.01381387 0.04834854 0.03453467 0.05939964
 0.31914894 0.10638298 0.0035461  0.07801418 0.04255319 0.11702128
 0.55981703 0.55031668 0.62209711 0.66678395 0.64074595 0.59500352]",59,,,,,,,,,,
"[0.13449182 0.2411653  0.16800526 0.19575058 0.43173189 0.34973715
 0.08564599 0.06078102 0.00828832 0.03315328 0.20444526 0.05801825
 0.23404255 0.15602837 0.0141844  0.09929078 0.34042553 0.12765957
 0.55735398 0.57424349 0.65235749 0.73821253 0.67980296 0.58691063]","[0.08433119 0.04526869 0.01270444 0.09608645 0.37938084 0.1640625
 0.02210219 0.01381387 0.         0.00828832 0.10222263 0.01105109
 0.04964539 0.0212766  0.         0.0141844  0.13475177 0.0070922
 0.47431386 0.46586911 0.49683322 0.61013371 0.58339198 0.51864884]","[0.10941151 0.143217   0.09035485 0.14591852 0.40555637 0.25689982
 0.05387409 0.03729745 0.00414416 0.0207208  0.15333394 0.03453467
 0.14184397 0.08865248 0.0070922  0.05673759 0.23758865 0.06737589
 0.51583392 0.5200563  0.57459536 0.67417312 0.63159747 0.55277973]",13,,,,,,,,,,
"[0.32805199 0.18793808 0.10083236 0.15844042 0.37938084 0.27409463
 0.19063139 0.08012044 0.01105109 0.05525547 0.20444526 0.08564599
 0.39716312 0.16312057 0.0212766  0.09219858 0.34042553 0.18439716
 0.6122449  0.59957776 0.71850809 0.79380718 0.8416608  0.69176636]","[0.07746787 0.04059579 0.00459988 0.02971671 0.01796145 0.04599883
 0.01381387 0.01657664 0.         0.00828832 0.00828832 0.01105109
 0.02836879 0.0070922  0.         0.0141844  0.0070922  0.0212766
 0.49824068 0.51090781 0.55805771 0.58550317 0.57424349 0.55735398]","[0.20275993 0.11426694 0.05271612 0.09407856 0.19867114 0.16004673
 0.10222263 0.04834854 0.00552555 0.0317719  0.10636679 0.04834854
 0.21276596 0.08510638 0.0106383  0.05319149 0.17375887 0.10283688
 0.55524279 0.55524279 0.6382829  0.68965517 0.70795215 0.62456017]",55,,,,,,,,,,
"[0.17180199 0.25146028 0.19830607 0.25124124 0.37959988 0.19297605
 0.08564599 0.0635438  0.00276277 0.02210219 0.10222263 0.04420438
 0.23404255 0.17021277 0.         0.03546099 0.13475177 0.09929078
 0.50457424 0.51372273 0.61576355 0.68965517 0.70513723 0.63335679]","[0.05315421 0.04059579 0.10083236 0.15844042 0.08403914 0.03964661
 0.         0.00828832 0.         0.00552555 0.00552555 0.00552555
 0.         0.         0.         0.         0.0070922  0.
 0.41942294 0.434905   0.47712878 0.49683322 0.52920479 0.47712878]","[0.1124781  0.14602804 0.14956922 0.20484083 0.23181951 0.11631133
 0.04282299 0.03591606 0.00138139 0.01381387 0.05387409 0.02486496
 0.11702128 0.08510638 0.         0.0177305  0.07092199 0.04964539
 0.46199859 0.47431386 0.54644616 0.59324419 0.61717101 0.55524279]",32,,,,,,,,,,
"[0.52438668 0.20604556 0.02818341 0.18457944 0.13222839 0.22575935
 0.15471533 0.06906934 0.01105109 0.03591606 0.06630657 0.0635438
 0.35460993 0.14893617 0.0070922  0.04255319 0.07092199 0.13475177
 0.62913441 0.58972555 0.62913441 0.70795215 0.64109782 0.57635468]","[0.38106016 0.06417932 0.00657126 0.05877629 0.07586157 0.02679614
 0.11051095 0.01105109 0.         0.00552555 0.00276277 0.01657664
 0.24822695 0.0070922  0.         0.         0.0212766  0.03546099
 0.52146376 0.48979592 0.53624208 0.57565095 0.55524279 0.5059817 ]","[0.45272342 0.13511244 0.01737734 0.12167786 0.10404498 0.12627775
 0.13261314 0.04006022 0.00552555 0.0207208  0.03453467 0.04006022
 0.30141844 0.07801418 0.0035461  0.0212766  0.04609929 0.08510638
 0.57529909 0.53976073 0.58268825 0.64180155 0.5981703  0.54116819]",58,,,,,,,,,,
