cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.60450387 0.59887403 0.66643209 0.6833216  0.67417312 0.62772695],[0.408867   0.40253343 0.49190711 0.50809289 0.50950035 0.47712878],[0.50668543 0.50070373 0.5791696  0.59570725 0.59183673 0.55242787],46,,[0.47149894 0.48486981 0.53553835 0.52850106 0.49331457 0.47853624],[0.13300493 0.11752287 0.15270936 0.23856439 0.23363828 0.1653765 ],[0.30225194 0.30119634 0.34412386 0.38353272 0.36347643 0.32195637],,4.0,False,False,"[38, 15, 30, 22, 35, 37, 12, 45, 27, 11, 19]",[]
[0.50809289 0.50246305 0.48346235 0.53624208 0.51935257 0.45742435],[0.32371569 0.32371569 0.40957072 0.44405348 0.44123856 0.36312456],[0.41590429 0.41308937 0.44651654 0.49014778 0.48029557 0.41027445],3,,,,,,,,,,
[0.57776214 0.57142857 0.63969036 0.71287825 0.71850809 0.63335679],[0.41942294 0.434905   0.539057   0.58339198 0.60239268 0.54890922],[0.49859254 0.50316678 0.58937368 0.64813512 0.66045039 0.591133  ],52,,,,,,,,,,
[0.60450387 0.59887403 0.66643209 0.6833216  0.66783955 0.60942998],[0.49824068 0.52287122 0.56157635 0.57635468 0.54539057 0.5270936 ],[0.55137227 0.56087262 0.61400422 0.62983814 0.60661506 0.56826179],58,,,,,,,,,,
[0.50809289 0.50246305 0.53553835 0.52850106 0.49331457 0.47853624],[0.13300493 0.11752287 0.15270936 0.23856439 0.23363828 0.1653765 ],[0.32054891 0.30999296 0.34412386 0.38353272 0.36347643 0.32195637],1,,,,,,,,,,
[0.60450387 0.59887403 0.66643209 0.6833216  0.60309641 0.58761436],[0.52920479 0.53061224 0.59957776 0.58550317 0.57424349 0.5270936 ],[0.56685433 0.56474314 0.63300493 0.63441239 0.58866995 0.55735398],21,,,,,,,,,,
[0.42646024 0.44475721 0.54820549 0.58691063 0.55805771 0.47642505],[0.38001407 0.38423645 0.48064743 0.5531316  0.50457424 0.45038705],[0.40323716 0.41449683 0.51442646 0.57002111 0.53131597 0.46340605],6,,,,,,,,,,
[0.4539057  0.47361013 0.55102041 0.60380014 0.52287122 0.48064743],[0.38001407 0.44475721 0.54820549 0.58691063 0.50457424 0.45460943],[0.41695989 0.45918367 0.54961295 0.59535538 0.51372273 0.46762843],10,,,,,,,,,,
[0.79802956 0.79099226 0.93807178 1.         0.97044335 0.87403237],[0.47501759 0.48486981 0.61576355 0.67417312 0.63335679 0.56579873],[0.63652357 0.63793103 0.77691766 0.83708656 0.80190007 0.71991555],41,,,,,,,,,,
[0.33708656 0.32371569 0.47079521 0.53624208 0.51935257 0.45742435],[0.33708656 0.32371569 0.47079521 0.53624208 0.51935257 0.45742435],[0.33708656 0.32371569 0.47079521 0.53624208 0.51935257 0.45742435],5,,,,,,,,,,
