cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.28987069 0.50514847 0.27777778 0.17145594 0.17373084 0.11530172
 0.14954502 0.17852011 0.30579502 0.5417864  0.49293582 0.19576149
 0.09781992 0.15777407 0.10097541 0.0347103  0.01262193 0.
 0.01893289 0.05995415 0.19248437 0.07888704 0.06310963 0.08835348
 0.26213592 0.44660194 0.31067961 0.08737864 0.02912621 0.
 0.03883495 0.13592233 0.42718447 0.14563107 0.17475728 0.23300971
 0.61442441 0.59361997 0.57281553 0.65048544 0.69348128 0.72399445
 0.75728155 0.80859917 0.83217753 0.82801664 0.73092926 0.63522885]","[0.02131226 0.06369732 0.06764847 0.01364943 0.00957854 0.01125479
 0.0101772  0.01113506 0.0730364  0.11314655 0.07926245 0.08764368
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01262193 0.00631096 0.00315548 0.00315548
 0.         0.00970874 0.         0.         0.         0.
 0.         0.         0.01941748 0.         0.         0.
 0.46879334 0.46740638 0.45631068 0.46324549 0.47434119 0.50624133
 0.56726768 0.56449376 0.57004161 0.55062413 0.52427184 0.49930652]","[0.15559148 0.28442289 0.17271312 0.09255268 0.09165469 0.06327826
 0.07986111 0.09482759 0.18941571 0.32746648 0.28609914 0.14170259
 0.04890996 0.07888704 0.0504877  0.01735515 0.00631096 0.
 0.00946644 0.02997707 0.10255315 0.042599   0.03313256 0.04575448
 0.13106796 0.22815534 0.15533981 0.04368932 0.01456311 0.
 0.01941748 0.06796117 0.22330097 0.07281553 0.08737864 0.11650485
 0.54160888 0.53051318 0.51456311 0.55686546 0.58391123 0.61511789
 0.66227462 0.68654646 0.70110957 0.68932039 0.62760055 0.56726768]",21,,"[0.63122605 0.59207375 0.62092912 0.4819205  0.21491858 0.2003113
 0.19659962 0.49976054 0.61170977 0.52981322 0.59123563 0.64295977
 0.37348895 0.40683618 0.29345561 0.10921217 0.01125469 0.00917049
 0.08170071 0.1425594  0.18924552 0.19966653 0.20925386 0.35681534
 0.4368932  0.55339806 0.44660194 0.16504854 0.15533981 0.17475728
 0.2815534  0.3592233  0.29126214 0.23300971 0.27184466 0.31067961
 0.64909847 0.63245492 0.63522885 0.66158114 0.76976422 0.80443828
 0.80305132 0.81969487 0.82246879 0.81414702 0.73647712 0.6962552 ]","[0.04082854 0.04920977 0.1381705  0.03556034 0.01748084 0.01903736
 0.01915709 0.02681992 0.02753831 0.02574234 0.02083333 0.02574234
 0.         0.02084202 0.         0.         0.         0.
 0.         0.00708629 0.         0.         0.         0.
 0.         0.01941748 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.35783634 0.3370319  0.31067961 0.37725381 0.41192788 0.41747573
 0.39667129 0.3925104  0.39667129 0.40499307 0.40776699 0.370319  ]","[0.3360273  0.32064176 0.37954981 0.25874042 0.11619971 0.10967433
 0.10787835 0.26329023 0.31962404 0.27777778 0.30603448 0.33435105
 0.18674448 0.2138391  0.1467278  0.05460609 0.00562734 0.00458524
 0.04085035 0.07482284 0.09462276 0.09983326 0.10462693 0.17840767
 0.2184466  0.28640777 0.22330097 0.08252427 0.0776699  0.08737864
 0.1407767  0.17961165 0.14563107 0.11650485 0.13592233 0.15533981
 0.50346741 0.48474341 0.47295423 0.51941748 0.59084605 0.610957
 0.5998613  0.60610264 0.60957004 0.60957004 0.57212205 0.5332871 ]",,6.0,False,True,[],[]
"[0.44480364 0.20270594 0.36494253 0.29034962 0.17660441 0.19288793
 0.24556992 0.24556992 0.28065134 0.5417864  0.49293582 0.31405651
 0.10413089 0.1199083  0.12621926 0.08835348 0.00946644 0.00315548
 0.01893289 0.03786578 0.19248437 0.07888704 0.06310963 0.07257607
 0.27184466 0.39805825 0.40776699 0.2815534  0.01941748 0.
 0.03883495 0.13592233 0.42718447 0.16504854 0.17475728 0.19417476
 0.56033287 0.53952843 0.56449376 0.56865465 0.63106796 0.65603329
 0.71705964 0.73925104 0.7295423  0.68793343 0.63938974 0.61026352]","[0.00909962 0.05926724 0.05926724 0.00945881 0.00550766 0.00909962
 0.0101772  0.07207854 0.08345307 0.01352969 0.00802203 0.0101772
 0.         0.         0.         0.         0.         0.
 0.         0.00315548 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.370319   0.36477115 0.3592233  0.39389736 0.45631068 0.48266297
 0.48266297 0.49098474 0.45353675 0.43273232 0.42163662 0.41886269]","[0.22695163 0.13098659 0.21210489 0.14990421 0.09105603 0.10099377
 0.12787356 0.15882423 0.1820522  0.27765805 0.25047893 0.16211686
 0.05206544 0.05995415 0.06310963 0.04417674 0.00473322 0.00157774
 0.00946644 0.02051063 0.09624218 0.03944352 0.03155481 0.03628804
 0.13592233 0.19902913 0.2038835  0.1407767  0.00970874 0.
 0.01941748 0.06796117 0.21359223 0.08252427 0.08737864 0.09708738
 0.46532594 0.45214979 0.46185853 0.48127601 0.54368932 0.56934813
 0.5998613  0.61511789 0.59153953 0.56033287 0.53051318 0.51456311]",32,,,,,,,,,,
"[0.35189176 0.40696839 0.26520594 0.1381705  0.0602251  0.14092433
 0.16439176 0.32986111 0.43654215 0.5417864  0.34255268 0.25395115
 0.10413089 0.15777407 0.1199083  0.08835348 0.03155481 0.00315548
 0.01893289 0.085198   0.19248437 0.04102126 0.06310963 0.09781992
 0.26213592 0.44660194 0.2815534  0.2815534  0.02912621 0.
 0.03883495 0.14563107 0.42718447 0.06796117 0.08737864 0.23300971
 0.6185853  0.59361997 0.59223301 0.65048544 0.69348128 0.72399445
 0.75728155 0.80859917 0.83217753 0.82801664 0.73092926 0.65048544]","[0.06621169 0.05926724 0.05926724 0.00945881 0.00550766 0.00598659
 0.00766284 0.01113506 0.01879789 0.01352969 0.01903736 0.02646073
 0.00315548 0.00315548 0.00946644 0.         0.         0.
 0.         0.         0.00946644 0.         0.         0.00631096
 0.         0.         0.00970874 0.         0.         0.
 0.         0.         0.00970874 0.         0.         0.01941748
 0.48404993 0.45214979 0.44382802 0.50069348 0.52704577 0.56865465
 0.59084605 0.56449376 0.57004161 0.55062413 0.54368932 0.53952843]","[0.20905172 0.23311782 0.16223659 0.07381466 0.03286638 0.07345546
 0.0860273  0.17049808 0.22767002 0.27765805 0.18079502 0.14020594
 0.05364318 0.08046478 0.06468737 0.04417674 0.01577741 0.00157774
 0.00946644 0.042599   0.10097541 0.02051063 0.03155481 0.05206544
 0.13106796 0.22330097 0.14563107 0.1407767  0.01456311 0.
 0.01941748 0.07281553 0.2184466  0.03398058 0.04368932 0.12621359
 0.55131761 0.52288488 0.51803051 0.57558946 0.61026352 0.64632455
 0.6740638  0.68654646 0.70110957 0.68932039 0.63730929 0.59500693]",41,,,,,,,,,,
"[0.16391284 0.11925287 0.14248084 0.08788314 0.17373084 0.10883621
 0.14954502 0.17852011 0.19228927 0.5417864  0.49293582 0.11398467
 0.02524385 0.01262193 0.06942059 0.00631096 0.00946644 0.
 0.         0.03786578 0.19248437 0.07888704 0.06310963 0.04417674
 0.06796117 0.01941748 0.21359223 0.         0.01941748 0.
 0.         0.13592233 0.42718447 0.04854369 0.17475728 0.12621359
 0.56033287 0.53952843 0.56449376 0.56865465 0.63106796 0.65603329
 0.71705964 0.73925104 0.7184466  0.62274619 0.59223301 0.56588072]","[0.08117816 0.06369732 0.06764847 0.01364943 0.01472701 0.0131705
 0.0101772  0.15445402 0.08740421 0.52274904 0.34255268 0.08764368
 0.01577741 0.         0.03155481 0.         0.         0.
 0.         0.00946644 0.10097541 0.04102126 0.01262193 0.00315548
 0.04854369 0.00970874 0.09708738 0.         0.         0.
 0.         0.01941748 0.29126214 0.03883495 0.01941748 0.
 0.46879334 0.46740638 0.45631068 0.46324549 0.50208044 0.5631068
 0.60055479 0.60332871 0.62413315 0.6074896  0.53952843 0.52565881]","[0.1225455  0.0914751  0.10506466 0.05076628 0.09422893 0.06100335
 0.07986111 0.16648707 0.13984674 0.53226772 0.41774425 0.10081418
 0.02051063 0.00631096 0.0504877  0.00315548 0.00473322 0.
 0.         0.02366611 0.14672989 0.05995415 0.03786578 0.02366611
 0.05825243 0.01456311 0.15533981 0.         0.00970874 0.
 0.         0.0776699  0.3592233  0.04368932 0.09708738 0.0631068
 0.51456311 0.50346741 0.51040222 0.51595007 0.5665742  0.60957004
 0.65880721 0.67128988 0.67128988 0.61511789 0.56588072 0.54576976]",13,,,,,,,,,,
"[0.98587165 0.77035441 0.69743774 0.68989464 0.32243774 0.21527778
 0.28759579 0.41726533 0.51532567 0.57363506 0.68414751 0.7993295
 0.30095873 0.46936223 0.31054606 0.1859108  0.02542726 0.02125886
 0.01893289 0.10045852 0.15964985 0.15714881 0.18174239 0.18716132
 0.66990291 0.9223301  0.74757282 0.49514563 0.34951456 0.3592233
 0.37864078 0.53398058 0.46601942 0.53398058 0.39805825 0.44660194
 0.46879334 0.46185853 0.47850208 0.47850208 0.50485437 0.5520111
 0.53952843 0.50624133 0.49237171 0.48127601 0.47018031 0.47572816]","[0.06561303 0.06884579 0.12643678 0.09566571 0.0207136  0.02083333
 0.02191092 0.02430556 0.0286159  0.03005268 0.0210728  0.04765326
 0.         0.01083785 0.00315548 0.01262193 0.         0.
 0.         0.         0.00375156 0.00041684 0.         0.
 0.00970874 0.03883495 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.13730929 0.12621359 0.1331484  0.0998613  0.10957004 0.19278779
 0.2260749  0.24549237 0.23578363 0.22052705 0.18030513 0.14701803]","[0.52574234 0.4196001  0.41193726 0.39278017 0.17157567 0.11805556
 0.15475335 0.22078544 0.27197079 0.30184387 0.35261015 0.42349138
 0.15047937 0.24010004 0.15685077 0.09926636 0.01271363 0.01062943
 0.00946644 0.05022926 0.08170071 0.07878283 0.0908712  0.09358066
 0.33980583 0.48058252 0.37378641 0.24757282 0.17475728 0.17961165
 0.18932039 0.26699029 0.23300971 0.26699029 0.19902913 0.22330097
 0.30305132 0.29403606 0.30582524 0.28918169 0.30721221 0.37239945
 0.38280166 0.37586685 0.36407767 0.35090153 0.32524272 0.31137309]",2,,,,,,,,,,
"[0.56681034 0.33488985 0.2654454  0.04058908 0.02250958 0.03077107
 0.19480364 0.11494253 0.1378113  0.08860153 0.12164751 0.25562739
 0.0504877  0.13884118 0.06942059 0.         0.         0.01262193
 0.0347103  0.01893289 0.02208837 0.01893289 0.00946644 0.01262193
 0.09708738 0.42718447 0.14563107 0.         0.         0.00970874
 0.04854369 0.01941748 0.03883495 0.00970874 0.03883495 0.04854369
 0.629681   0.61165049 0.58668516 0.57697642 0.60194175 0.63938974
 0.6851595  0.71151179 0.65325936 0.61165049 0.58113731 0.55755895]","[0.53208812 0.24054119 0.2164751  0.03484195 0.00778257 0.01005747
 0.10416667 0.09027778 0.07028257 0.00514847 0.11015326 0.05926724
 0.01893289 0.12621926 0.02524385 0.         0.         0.
 0.01893289 0.00631096 0.00315548 0.         0.00631096 0.01262193
 0.02912621 0.38834951 0.00970874 0.         0.         0.
 0.01941748 0.         0.02912621 0.         0.         0.01941748
 0.55894591 0.53952843 0.52565881 0.53675451 0.55755895 0.62552011
 0.62690707 0.62829404 0.61026352 0.57975035 0.56449376 0.55617198]","[0.54944923 0.28771552 0.24096025 0.03771552 0.01514607 0.02041427
 0.14948515 0.10261015 0.10404693 0.046875   0.11590038 0.15744732
 0.0347103  0.13253022 0.04733222 0.         0.         0.00631096
 0.02682159 0.01262193 0.01262193 0.00946644 0.0078887  0.01262193
 0.0631068  0.40776699 0.0776699  0.         0.         0.00485437
 0.03398058 0.00970874 0.03398058 0.00485437 0.01941748 0.03398058
 0.59431345 0.57558946 0.55617198 0.55686546 0.57975035 0.63245492
 0.65603329 0.66990291 0.63176144 0.59570042 0.57281553 0.55686546]",56,,,,,,,,,,
"[0.56681034 0.33488985 0.45965038 0.52119253 0.15301724 0.17193487
 0.24556992 0.28041188 0.15792625 0.25454981 0.15720785 0.31405651
 0.10413089 0.13884118 0.12621926 0.0347103  0.         0.01262193
 0.0347103  0.03786578 0.03786578 0.05364318 0.04102126 0.06626511
 0.32038835 0.42718447 0.40776699 0.08737864 0.         0.00970874
 0.04854369 0.10679612 0.10679612 0.16504854 0.12621359 0.19417476
 0.629681   0.61165049 0.58668516 0.57697642 0.60194175 0.63938974
 0.6851595  0.71151179 0.65603329 0.63245492 0.62274619 0.56171983]","[0.08165709 0.08045977 0.09590517 0.01640326 0.00778257 0.01005747
 0.0180795  0.01233238 0.01664272 0.00514847 0.01760057 0.026341
 0.01893289 0.03155481 0.01262193 0.         0.         0.
 0.         0.         0.00315548 0.         0.         0.00631096
 0.02912621 0.09708738 0.00970874 0.         0.         0.
 0.         0.         0.00970874 0.         0.         0.01941748
 0.40499307 0.40221914 0.37725381 0.41747573 0.49930652 0.51595007
 0.51040222 0.49237171 0.50069348 0.50069348 0.48682386 0.46185853]","[0.32423372 0.20767481 0.27777778 0.26879789 0.0803999  0.09099617
 0.13182471 0.14637213 0.08728448 0.12984914 0.08740421 0.17019875
 0.06153189 0.085198   0.06942059 0.01735515 0.         0.00631096
 0.01735515 0.01893289 0.02051063 0.02682159 0.02051063 0.03628804
 0.17475728 0.26213592 0.20873786 0.04368932 0.         0.00485437
 0.02427184 0.05339806 0.05825243 0.08252427 0.0631068  0.10679612
 0.51733703 0.50693481 0.48196949 0.49722607 0.55062413 0.5776699
 0.59778086 0.60194175 0.57836338 0.5665742  0.55478502 0.51178918]",22,,,,,,,,,,
"[0.35189176 0.20545977 0.25909962 0.37428161 0.12787356 0.08273467
 0.16666667 0.28041188 0.28065134 0.25454981 0.379909   0.2917864
 0.10413089 0.11675281 0.10097541 0.0347103  0.03155481 0.00315548
 0.01893289 0.05995415 0.07573155 0.0504877  0.06310963 0.09781992
 0.25242718 0.32038835 0.27184466 0.09708738 0.02912621 0.
 0.02912621 0.12621359 0.19417476 0.14563107 0.08737864 0.2038835
 0.6185853  0.59361997 0.59223301 0.60471567 0.64632455 0.69902913
 0.74479889 0.74895978 0.73786408 0.70873786 0.65742025 0.65048544]","[0.00909962 0.08045977 0.17013889 0.00945881 0.00550766 0.00598659
 0.00766284 0.01233238 0.06704981 0.01652299 0.01903736 0.06345785
 0.         0.03155481 0.00946644 0.         0.         0.
 0.         0.         0.01262193 0.00315548 0.         0.00631096
 0.         0.09708738 0.00970874 0.         0.         0.
 0.         0.         0.01941748 0.         0.         0.01941748
 0.47156727 0.46601942 0.42024965 0.46185853 0.51178918 0.5520111
 0.60055479 0.62552011 0.62829404 0.56865465 0.52565881 0.53814147]","[0.18049569 0.14295977 0.21461925 0.19187021 0.06669061 0.04436063
 0.08716475 0.14637213 0.17385057 0.1355364  0.19947318 0.17762213
 0.05206544 0.07415381 0.05522093 0.01735515 0.01577741 0.00157774
 0.00946644 0.02997707 0.04417674 0.02682159 0.03155481 0.05206544
 0.12621359 0.20873786 0.1407767  0.04854369 0.01456311 0.
 0.01456311 0.0631068  0.10679612 0.07281553 0.04368932 0.11165049
 0.54507628 0.52981969 0.50624133 0.5332871  0.57905687 0.62552011
 0.67267684 0.68723994 0.68307906 0.63869626 0.59153953 0.59431345]",47,,,,,,,,,,
"[0.06621169 0.06788793 0.05926724 0.01436782 0.03148946 0.14092433
 0.12931034 0.13757184 0.26197318 0.01352969 0.14523467 0.04358238
 0.00315548 0.01262193 0.03786578 0.00631096 0.         0.
 0.         0.01893289 0.02208837 0.         0.00631096 0.00631096
 0.         0.03883495 0.11650485 0.         0.         0.
 0.         0.02912621 0.00970874 0.         0.00970874 0.01941748
 0.50208044 0.48127601 0.47572816 0.53814147 0.58807212 0.62690707
 0.66019417 0.70041609 0.71567268 0.67545076 0.63938974 0.61026352]","[0.06621169 0.06788793 0.05926724 0.01436782 0.03148946 0.14092433
 0.12931034 0.13757184 0.26197318 0.01352969 0.14523467 0.04358238
 0.00315548 0.01262193 0.03786578 0.00631096 0.         0.
 0.         0.01893289 0.02208837 0.         0.00631096 0.00631096
 0.         0.03883495 0.11650485 0.         0.         0.
 0.         0.02912621 0.00970874 0.         0.00970874 0.01941748
 0.50208044 0.48127601 0.47572816 0.53814147 0.58807212 0.62690707
 0.66019417 0.70041609 0.71567268 0.67545076 0.63938974 0.61026352]","[0.06621169 0.06788793 0.05926724 0.01436782 0.03148946 0.14092433
 0.12931034 0.13757184 0.26197318 0.01352969 0.14523467 0.04358238
 0.00315548 0.01262193 0.03786578 0.00631096 0.         0.
 0.         0.01893289 0.02208837 0.         0.00631096 0.00631096
 0.         0.03883495 0.11650485 0.         0.         0.
 0.         0.02912621 0.00970874 0.         0.00970874 0.01941748
 0.50208044 0.48127601 0.47572816 0.53814147 0.58807212 0.62690707
 0.66019417 0.70041609 0.71567268 0.67545076 0.63938974 0.61026352]",35,,,,,,,,,,
"[0.1615182  0.40696839 0.26520594 0.12511973 0.03136973 0.03029215
 0.06130268 0.15780651 0.0730364  0.28520115 0.10727969 0.25395115
 0.10413089 0.1199083  0.07888704 0.01262193 0.         0.
 0.01893289 0.03786578 0.05679867 0.00631096 0.00946644 0.08835348
 0.26213592 0.2815534  0.22330097 0.         0.         0.
 0.03883495 0.06796117 0.04854369 0.         0.01941748 0.23300971
 0.61442441 0.59361997 0.56171983 0.65048544 0.69348128 0.72399445
 0.75728155 0.80859917 0.83217753 0.82801664 0.73092926 0.63384189]","[0.10189176 0.38350096 0.15744732 0.05004789 0.01879789 0.02119253
 0.05208333 0.04765326 0.01879789 0.01772031 0.0470546  0.19576149
 0.09781992 0.00946644 0.01893289 0.         0.         0.
 0.01577741 0.01577741 0.01577741 0.         0.00315548 0.02208837
 0.2038835  0.02912621 0.00970874 0.         0.         0.
 0.01941748 0.03883495 0.03883495 0.         0.         0.04854369
 0.59084605 0.53952843 0.53259362 0.61165049 0.6518724  0.70041609
 0.72399445 0.74757282 0.75034674 0.70180305 0.63938974 0.6185853 ]","[0.13170498 0.39523467 0.21132663 0.08758381 0.02508381 0.02574234
 0.05669301 0.10272989 0.04591715 0.15146073 0.07716715 0.22485632
 0.10097541 0.06468737 0.04890996 0.00631096 0.         0.
 0.01735515 0.02682159 0.03628804 0.00315548 0.00631096 0.05522093
 0.23300971 0.15533981 0.11650485 0.         0.         0.
 0.02912621 0.05339806 0.04368932 0.         0.00970874 0.1407767
 0.60263523 0.5665742  0.54715673 0.63106796 0.67267684 0.71220527
 0.740638   0.77808599 0.79126214 0.76490985 0.6851595  0.62621359]",42,,,,,,,,,,
