cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.56681034 0.73551245 0.97844828 0.52119253 0.22641284 0.24365421
 0.28759579 0.34542625 0.43654215 0.36470307 0.43941571 0.43642241]","[0.00909962 0.05926724 0.05926724 0.00945881 0.00550766 0.00598659
 0.00766284 0.01233238 0.01664272 0.00514847 0.004909   0.0101772 ]","[0.28795498 0.39738985 0.51885776 0.26532567 0.11596025 0.1248204
 0.14762931 0.17887931 0.22659243 0.18492577 0.22216236 0.22329981]",23,,"[0.63122605 0.59207375 0.62092912 0.4819205  0.21491858 0.2003113
 0.19659962 0.49976054 0.61170977 0.52981322 0.59123563 0.64295977]","[0.04082854 0.04920977 0.1381705  0.03556034 0.01748084 0.01903736
 0.01915709 0.02681992 0.02753831 0.02574234 0.02083333 0.02574234]","[0.3360273  0.32064176 0.37954981 0.25874042 0.11619971 0.10967433
 0.10787835 0.26329023 0.31962404 0.27777778 0.30603448 0.33435105]",,6.0,False,True,[],[]
"[0.56681034 0.54166667 0.63757184 0.17145594 0.17373084 0.11530172
 0.19480364 0.32986111 0.43654215 0.5417864  0.70510057 0.34099617]","[0.02131226 0.06369732 0.06764847 0.01364943 0.00778257 0.01005747
 0.0101772  0.01113506 0.04849138 0.00514847 0.02466475 0.026341  ]","[0.2940613  0.30268199 0.35261015 0.09255268 0.0907567  0.0626796
 0.10249042 0.17049808 0.24251676 0.27346743 0.36488266 0.18366858]",8,,,,,,,,,,
"[0.56681034 0.73551245 0.97844828 0.37428161 0.17672414 0.19743774
 0.19480364 0.26424808 0.30579502 0.36470307 0.41630747 0.43642241]","[0.10189176 0.14331897 0.09590517 0.01640326 0.00778257 0.00598659
 0.00766284 0.01927682 0.01664272 0.00514847 0.00969828 0.026341  ]","[0.33435105 0.43941571 0.53717672 0.19534243 0.09225335 0.10171216
 0.10123324 0.14176245 0.16121887 0.18492577 0.21300287 0.2313817 ]",50,,,,,,,,,,
"[0.2262931  0.15409483 0.23108238 0.17145594 0.17373084 0.11530172
 0.14954502 0.17852011 0.19228927 0.5417864  0.70510057 0.28172893]","[0.02131226 0.06369732 0.06764847 0.01364943 0.0128113  0.01125479
 0.0101772  0.01113506 0.04849138 0.14810824 0.09853927 0.08764368]","[0.12380268 0.10889607 0.14936542 0.09255268 0.09327107 0.06327826
 0.07986111 0.09482759 0.12039033 0.34494732 0.40181992 0.1846863 ]",36,,,,,,,,,,
"[0.27023467 0.73551245 0.97844828 0.37188697 0.18965517 0.24365421
 0.22198276 0.27131226 0.15876437 0.13445881 0.41630747 0.17935824]","[0.05627395 0.19336686 0.3154933  0.04585728 0.03759579 0.02550287
 0.05842912 0.12332375 0.02993295 0.01688218 0.00969828 0.02478448]","[0.16325431 0.46443966 0.64697079 0.20887213 0.11362548 0.13457854
 0.14020594 0.19731801 0.09434866 0.0756705  0.21300287 0.10207136]",39,,,,,,,,,,
"[0.56681034 0.34494732 0.51688218 0.52119253 0.22641284 0.21527778
 0.28759579 0.286159   0.19959291 0.16726533 0.14846743 0.25562739]","[0.27394636 0.15613027 0.09590517 0.01640326 0.00778257 0.01005747
 0.0180795  0.08536877 0.07028257 0.00514847 0.02466475 0.026341  ]","[0.42037835 0.25053879 0.30639368 0.26879789 0.1170977  0.11266762
 0.15283764 0.18576389 0.13493774 0.0862069  0.08656609 0.1409842 ]",25,,,,,,,,,,
"[0.51676245 0.73551245 0.97844828 0.37188697 0.22641284 0.24365421
 0.28699713 0.34542625 0.17720307 0.11075192 0.14559387 0.2628113 ]","[0.05627395 0.15613027 0.22545498 0.08022031 0.02035441 0.01951628
 0.04382184 0.11386494 0.02993295 0.01233238 0.004909   0.02478448]","[0.2865182  0.44582136 0.60195163 0.22605364 0.12338362 0.13158525
 0.16540948 0.22964559 0.10356801 0.06154215 0.07525144 0.14379789]",18,,,,,,,,,,
"[0.51676245 0.53065134 0.97844828 0.52119253 0.22641284 0.24365421
 0.28759579 0.286159   0.19959291 0.16726533 0.21982759 0.34614464]","[0.05627395 0.15613027 0.26819923 0.11901341 0.12392241 0.08860153
 0.12835249 0.08668582 0.09231322 0.01101533 0.00969828 0.03148946]","[0.2865182  0.3433908  0.62332375 0.32010297 0.17516762 0.16612787
 0.20797414 0.18642241 0.14595307 0.08914033 0.11476293 0.18881705]",17,,,,,,,,,,
"[0.21252395 0.31752874 0.27262931 0.34039751 0.19659962 0.23215996
 0.24556992 0.24616858 0.26197318 0.52274904 0.49293582 0.31405651]","[0.00909962 0.05926724 0.05926724 0.01436782 0.01113506 0.08273467
 0.12931034 0.09913793 0.0414272  0.01352969 0.004909   0.0101772 ]","[0.11081178 0.18839799 0.16594828 0.17738266 0.10386734 0.15744732
 0.18744013 0.17265326 0.15170019 0.26813937 0.24892241 0.16211686]",32,,,,,,,,,,
"[0.2262931  0.38350096 0.26520594 0.17145594 0.09363027 0.11530172
 0.11075192 0.32986111 0.43654215 0.5417864  0.70510057 0.28172893]","[0.02131226 0.06369732 0.06764847 0.00945881 0.00550766 0.00909962
 0.0101772  0.01113506 0.04849138 0.01951628 0.01903736 0.06345785]","[0.12380268 0.22359914 0.1664272  0.09045738 0.04956897 0.06220067
 0.06046456 0.17049808 0.24251676 0.28065134 0.36206897 0.17259339]",55,,,,,,,,,,
"[0.56681034 0.26903736 0.30902778 0.23180077 0.22641284 0.21527778
 0.28699713 0.21898946 0.12284483 0.13421935 0.11015326 0.19995211]","[0.44408525 0.1878592  0.09590517 0.01640326 0.01688218 0.0180795
 0.0180795  0.08536877 0.07028257 0.08860153 0.02466475 0.026341  ]","[0.5054478  0.22844828 0.20246648 0.12410201 0.12164751 0.11667864
 0.15253831 0.15217912 0.0965637  0.11141044 0.067409   0.11314655]",56,,,,,,,,,,
"[0.223659   0.54166667 0.57842433 0.06944444 0.09315134 0.18965517
 0.1746887  0.18618295 0.10943487 0.14810824 0.70510057 0.28172893]","[0.09243295 0.15409483 0.20114943 0.0158046  0.01113506 0.02550287
 0.05842912 0.11087165 0.0414272  0.03148946 0.41630747 0.08069923]","[0.15804598 0.34788075 0.38978688 0.04262452 0.0521432  0.10757902
 0.11655891 0.1485273  0.07543103 0.08979885 0.56070402 0.18121408]",11,,,,,,,,,,
"[0.29298372 0.73551245 0.63757184 0.2157567  0.17672414 0.19743774
 0.2447318  0.26424808 0.15876437 0.19731801 0.70510057 0.43642241]","[0.09243295 0.15409483 0.20114943 0.06944444 0.02849617 0.02310824
 0.03077107 0.11087165 0.04849138 0.1042864  0.05172414 0.17935824]","[0.19270833 0.44480364 0.41936063 0.14260057 0.10261015 0.11027299
 0.13775144 0.18755987 0.10362787 0.1508022  0.37841236 0.30789033]",1,,,,,,,,,,
"[0.28987069 0.50514847 0.27777778 0.17145594 0.17373084 0.19408525
 0.14954502 0.32986111 0.43654215 0.5417864  0.49293582 0.2082136 ]","[0.02131226 0.06369732 0.06764847 0.00945881 0.00550766 0.00909962
 0.0101772  0.01113506 0.0730364  0.05160441 0.07722701 0.0391523 ]","[0.15559148 0.28442289 0.17271312 0.09045738 0.08961925 0.10159243
 0.07986111 0.17049808 0.25478927 0.2966954  0.28508142 0.12368295]",48,,,,,,,,,,
"[0.13218391 0.192409   0.24808429 0.1381705  0.05040709 0.04058908
 0.0967433  0.15217912 0.28065134 0.0862069  0.07722701 0.17313218]","[0.08165709 0.08045977 0.16271552 0.00945881 0.00550766 0.00909962
 0.01951628 0.01233238 0.05387931 0.01951628 0.01903736 0.06345785]","[0.1069205  0.13643439 0.2053999  0.07381466 0.02795738 0.02484435
 0.05812979 0.08225575 0.16726533 0.05286159 0.04813218 0.11829502]",41,,,,,,,,,,
"[0.25407088 0.73551245 0.3154933  0.21324234 0.17672414 0.19743774
 0.18031609 0.26424808 0.30579502 0.36470307 0.17852011 0.25395115]","[0.10189176 0.38350096 0.15744732 0.05004789 0.01724138 0.02119253
 0.04226533 0.02693966 0.01879789 0.01772031 0.0470546  0.17935824]","[0.17798132 0.5595067  0.23647031 0.13164511 0.09698276 0.10931513
 0.11129071 0.14559387 0.16229646 0.19121169 0.11278736 0.21665469]",54,,,,,,,,,,
