cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.33083177 0.20276786 0.06403195 0.01422932 0.08537594 0.22766917
 0.16007989 0.13162124]","[0.02490132 0.02134398 0.         0.         0.         0.01422932
 0.         0.01067199]","[0.17786654 0.11205592 0.03201598 0.00711466 0.04268797 0.12094925
 0.08003994 0.07114662]",0,,"[0.99201128 0.45911654 0.1875     0.01456767 0.15789474 0.24765038
 0.74389098 1.        ]","[0.01597744 0.02725564 0.         0.         0.         0.
 0.         0.01456767]","[0.50399436 0.24318609 0.09375    0.00728383 0.07894737 0.12382519
 0.37194549 0.50728383]",,7.0,False,False,[],[]
"[0.33083177 0.15652256 0.06403195 0.01422932 0.08537594 0.10671992
 0.16007989 0.13162124]","[0.08537594 0.02134398 0.         0.         0.         0.01422932
 0.         0.01422932]","[0.20810385 0.08893327 0.03201598 0.00711466 0.04268797 0.06047462
 0.08003994 0.07292528]",43,,,,,,,,,,
"[0.15652256 0.20276786 0.09960526 0.03557331 0.05691729 0.11383459
 0.07114662 0.11739192]","[0.01778665 0.11739192 0.         0.         0.         0.01422932
 0.         0.00711466]","[0.08715461 0.16007989 0.04980263 0.01778665 0.02845865 0.06403195
 0.03557331 0.06225329]",3,,,,,,,,,,
"[0.07470395 0.0924906  0.02845865 0.00355733 0.02845865 0.22766917
 0.12806391 0.05335996]","[0.         0.01067199 0.         0.         0.         0.00711466
 0.         0.        ]","[0.03735197 0.0515813  0.01422932 0.00177867 0.01422932 0.11739192
 0.06403195 0.02667998]",35,,,,,,,,,,
"[0.16719455 0.11383459 0.06403195 0.01422932 0.04268797 0.10671992
 0.05335996 0.06403195]","[0.         0.01067199 0.         0.         0.         0.00711466
 0.         0.        ]","[0.08359727 0.06225329 0.03201598 0.00711466 0.02134398 0.05691729
 0.02667998 0.03201598]",18,,,,,,,,,,
"[0.08181861 0.1849812  0.09960526 0.03557331 0.04268797 0.11383459
 0.06758929 0.11739192]","[0.01778665 0.12094925 0.         0.         0.         0.03557331
 0.01778665 0.09960526]","[0.04980263 0.15296523 0.04980263 0.01778665 0.02134398 0.07470395
 0.04268797 0.10849859]",47,,,,,,,,,,
"[0.16719455 0.20276786 0.06047462 0.01422932 0.08537594 0.22766917
 0.16007989 0.10316259]","[0.02134398 0.04268797 0.         0.         0.         0.01422932
 0.00355733 0.00711466]","[0.09426927 0.12272791 0.03023731 0.00711466 0.04268797 0.12094925
 0.08181861 0.05513863]",16,,,,,,,,,,
"[0.33083177 0.14940789 0.06403195 0.00711466 0.03201598 0.07114662
 0.0462453  0.13162124]","[0.08893327 0.02134398 0.         0.         0.00355733 0.01422932
 0.         0.01422932]","[0.20988252 0.08537594 0.03201598 0.00355733 0.01778665 0.04268797
 0.02312265 0.07292528]",42,,,,,,,,,,
"[0.07470395 0.13162124 0.02845865 0.00355733 0.02845865 0.09960526
 0.05335996 0.05335996]","[0.         0.01067199 0.         0.         0.         0.00711466
 0.         0.        ]","[0.03735197 0.07114662 0.01422932 0.00177867 0.01422932 0.05335996
 0.02667998 0.02667998]",31,,,,,,,,,,
"[0.05335996 0.1849812  0.09960526 0.03557331 0.04268797 0.22766917
 0.12806391 0.11739192]","[0.01778665 0.04268797 0.         0.         0.         0.03557331
 0.01778665 0.03557331]","[0.03557331 0.11383459 0.04980263 0.01778665 0.02134398 0.13162124
 0.07292528 0.07648261]",55,,,,,,,,,,
"[0.35667293 0.53618421 0.20723684 0.06766917 0.125      0.15648496
 0.24107143 0.27161654]","[0.03007519 0.08537594 0.         0.         0.         0.00093985
 0.         0.        ]","[0.19337406 0.31078008 0.10361842 0.03383459 0.0625     0.07871241
 0.12053571 0.13580827]",51,,,,,,,,,,
"[0.12806391 0.16363722 0.06047462 0.01422932 0.05691729 0.22766917
 0.16007989 0.05691729]","[0.02490132 0.04268797 0.00355733 0.         0.         0.02490132
 0.01422932 0.00711466]","[0.07648261 0.10316259 0.03201598 0.00711466 0.02845865 0.12628524
 0.08715461 0.03201598]",21,,,,,,,,,,
"[0.33083177 0.13162124 0.06403195 0.00355733 0.02845865 0.07114662
 0.0462453  0.13162124]","[0.12094925 0.02134398 0.         0.         0.00355733 0.02134398
 0.         0.01422932]","[0.22589051 0.07648261 0.03201598 0.00177867 0.01600799 0.0462453
 0.02312265 0.07292528]",15,,,,,,,,,,
"[0.33083177 0.15652256 0.01422932 0.00355733 0.0462453  0.07114756
 0.09960526 0.07114662]","[0.14585056 0.11027726 0.00355733 0.         0.00355733 0.01422932
 0.         0.01778665]","[0.23834117 0.13339991 0.00889333 0.00177867 0.02490132 0.04268844
 0.04980263 0.04446664]",38,,,,,,,,,,
"[0.15652256 0.20276786 0.09960526 0.03557331 0.03913064 0.08893327
 0.07114662 0.11739192]","[0.02845865 0.10316259 0.         0.         0.         0.02490132
 0.01778665 0.05335996]","[0.0924906  0.15296523 0.04980263 0.01778665 0.01956532 0.05691729
 0.04446664 0.08537594]",46,,,,,,,,,,
"[0.07470395 0.0924906  0.02845865 0.00355733 0.02845865 0.09960526
 0.05335996 0.03201598]","[0.         0.01067199 0.         0.         0.         0.00711466
 0.         0.        ]","[0.03735197 0.0515813  0.01422932 0.00177867 0.01422932 0.05335996
 0.02667998 0.01600799]",33,,,,,,,,,,
"[0.1956532  0.18853853 0.02845865 0.01422932 0.0462453  0.07114662
 0.03201598 0.06047462]","[0.04980263 0.09604793 0.         0.         0.01067199 0.01422932
 0.         0.00711466]","[0.12272791 0.14229323 0.01422932 0.00711466 0.02845865 0.04268797
 0.01600799 0.03379464]",22,,,,,,,,,,
"[0.25257049 0.1387359  0.03557331 0.01422932 0.0462453  0.10671992
 0.09960526 0.13162124]","[0.12450658 0.07114662 0.         0.         0.00355733 0.02845865
 0.00711466 0.01778665]","[0.18853853 0.10494126 0.01778665 0.00711466 0.02490132 0.06758929
 0.05335996 0.07470395]",44,,,,,,,,,,
"[0.33083177 0.13162124 0.01067199 0.00355733 0.01422932 0.02134398
 0.         0.01778665]","[0.33083177 0.13162124 0.01067199 0.00355733 0.01422932 0.02134398
 0.         0.01778665]","[0.33083177 0.13162124 0.01067199 0.00355733 0.01422932 0.02134398
 0.         0.01778665]",29,,,,,,,,,,
"[0.12450658 0.1387359  0.09960526 0.         0.03201598 0.0462453
 0.06047462 0.11383459]","[0.02845865 0.06758929 0.         0.         0.         0.02134398
 0.         0.02134398]","[0.07648261 0.10316259 0.04980263 0.         0.01600799 0.03379464
 0.03023731 0.06758929]",1,,,,,,,,,,
