cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
"[0.5034965  0.30769231 0.13286713 0.         0.05594406 0.11888112
 0.13286713 0.2027972 ]","[0.1958042  0.01398601 0.         0.         0.         0.01398601
 0.         0.00699301]","[0.34965035 0.16083916 0.06643357 0.         0.02797203 0.06643357
 0.06643357 0.1048951 ]",44,,"[0.24475524 0.27972028 0.06993007 0.03496503 0.08391608 0.16783217
 0.16783217 0.18881119]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.12237762 0.13986014 0.03496503 0.01748252 0.04195804 0.08391608
 0.08391608 0.09440559]",,8.0,False,True,[],[]
"[0.67132867 0.69230769 0.46153846 0.37062937 0.3986014  0.46853147
 0.47552448 0.46853147]","[0.03496503 0.05594406 0.         0.         0.         0.00699301
 0.         0.        ]","[0.35314685 0.37412587 0.23076923 0.18531469 0.1993007  0.23776224
 0.23776224 0.23426573]",51,,,,,,,,,,
"[0.05594406 0.1958042  0.01398601 0.02097902 0.04195804 0.32167832
 0.12587413 0.09090909]","[0.02797203 0.08391608 0.         0.         0.         0.18881119
 0.00699301 0.03496503]","[0.04195804 0.13986014 0.00699301 0.01048951 0.02097902 0.25524476
 0.06643357 0.06293706]",36,,,,,,,,,,
"[0.29370629 0.2027972  0.2027972  0.         0.03496503 0.09090909
 0.06293706 0.09090909]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.14685315 0.1013986  0.1013986  0.         0.01748252 0.04545455
 0.03146853 0.04545455]",34,,,,,,,,,,
"[0.26573427 0.3006993  0.13286713 0.01398601 0.11188811 0.11888112
 0.13986014 0.16783217]",[0. 0. 0. 0. 0. 0. 0. 0.],"[0.13286713 0.15034965 0.06643357 0.00699301 0.05594406 0.05944056
 0.06993007 0.08391608]",18,,,,,,,,,,
"[0.20979021 0.37062937 0.06293706 0.02097902 0.04195804 0.32167832
 0.12587413 0.16783217]","[0.02797203 0.08391608 0.         0.         0.         0.00699301
 0.         0.        ]","[0.11888112 0.22727273 0.03146853 0.01048951 0.02097902 0.16433566
 0.06293706 0.08391608]",41,,,,,,,,,,
"[0.5034965  0.30769231 0.13286713 0.         0.05594406 0.11888112
 0.13286713 0.2027972 ]","[0.2027972  0.01398601 0.         0.         0.         0.01398601
 0.         0.00699301]","[0.35314685 0.16083916 0.06643357 0.         0.02797203 0.06643357
 0.06643357 0.1048951 ]",15,,,,,,,,,,
"[0.02797203 0.2027972  0.2027972  0.         0.         0.02797203
 0.06293706 0.03496503]","[0.02797203 0.2027972  0.2027972  0.         0.         0.02797203
 0.06293706 0.03496503]","[0.02797203 0.2027972  0.2027972  0.         0.         0.02797203
 0.06293706 0.03496503]",40,,,,,,,,,,
"[0.35664336 0.35664336 0.0979021  0.01398601 0.11188811 0.11888112
 0.13986014 0.16783217]","[0.16083916 0.13986014 0.         0.         0.         0.00699301
 0.         0.00699301]","[0.25874126 0.24825175 0.04895105 0.00699301 0.05594406 0.06293706
 0.06993007 0.08741259]",11,,,,,,,,,,
"[0.22377622 0.20979021 0.2027972  0.         0.03496503 0.11188811
 0.09090909 0.06293706]","[0.02797203 0.         0.         0.         0.         0.
 0.         0.        ]","[0.12587413 0.1048951  0.1013986  0.         0.01748252 0.05594406
 0.04545455 0.03146853]",43,,,,,,,,,,
