cluster high,cluster low,cluster mean,cluster label,cluster stream,window high,window low,window mean,window label,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels)
[0.54152824 0.58914729 0.59210041],[0.32410484 0.43115541 0.40531561],[0.43281654 0.51015135 0.49870801],30,,[0.78552972 0.90291621 0.87633813],[0.50756737 0.55740126 0.50830565],[0.64654854 0.73015873 0.69232189],,8.0,False,True,[],[]
[0.55112588 0.64230343 0.66629753],[0.43152455 0.56367663 0.55297158],[0.49132521 0.60299003 0.60963455],46,,,,,,,,,,
[0.54374308 0.59579181 0.57327427],[0.46327058 0.535622   0.50756737],[0.50350683 0.5657069  0.54042082],32,,,,,,,,,,
[0.50018457 0.63565891 0.62052418],[0.43152455 0.58656331 0.59210041],[0.46585456 0.61111111 0.60631229],7,,,,,,,,,,
[0.54374308 0.59579181 0.57327427],[0.48209671 0.535622   0.50756737],[0.5129199  0.5657069  0.54042082],37,,,,,,,,,,
[0.42820229 0.57881137 0.56367663],[0.38833518 0.52565522 0.48652639],[0.40826873 0.5522333  0.52510151],6,,,,,,,,,,
[0.61461794 0.67737172 0.65337763],[0.5208564  0.59025471 0.55297158],[0.56773717 0.63381322 0.6031746 ],58,,,,,,,,,,
[0.51384275 0.59579181 0.59394611],[0.38833518 0.53820598 0.48652639],[0.45108896 0.56699889 0.54023625],33,,,,,,,,,,
[0.48504983 0.54152824 0.49575489],[0.11480251 0.18863049 0.19527501],[0.29992617 0.36507937 0.34551495],4,,,,,,,,,,
[0.76190476 0.9121447  0.90882244],[0.50682909 0.56293835 0.59357697],[0.63436693 0.73754153 0.7511997 ],54,,,,,,,,,,
[0.5208564  0.64230343 0.64082687],[0.43152455 0.60465116 0.59542267],[0.47619048 0.6234773  0.61812477],52,,,,,,,,,,
