F1,SI,JI,homogeneity,RI,ARI,MI,NMI,AMI,CS,V,FMI,S,DB,IC_av,segment,stream,size
,,,,,,,,,,,,,,,1,-,3
,,,,,,,,,,,,,,,2,-,3
,,,,,,,,,,,,,,,3,-,3
,,,,,,,,,,,,,,,4,-,3
,,,,,,,,,,,,,,,5,-,3
,,,,,,,,,,,,,,,6,-,3
,,,,,,,,,,,,,,,7,-,3
,0.8952886771747982,,,,,,,,,,,368.21895081201086,0.1390580275026479,"[2.8460516466055044, 0.10624352732996802, 2.739808119275536]",8,-,3
,0.7665156921544966,,,,,,,,,,,179.01472762238868,0.3153725804409766,"[1.1290666187522336, 0.43218924360344885, 0.24318275519898588, 0.43218924360344885, 0.02150537634634998]",9,-,3
,0.8293238474902065,,,,,,,,,,,210.97306050042286,0.23677286737367614,"[7.792413183994674, 3.278310283695511, 4.5141029002991635]",10,-,3
,0.8383129727842945,,,,,,,,,,,271.4618578893399,0.21196697477479423,"[9.771671890274108, 0.5114066984452145, 9.058145161552025, 0.2021200302768689]",11,-,3
,,,,,,,,,,,,,,,1,-,4
,,,,,,,,,,,,,,,2,-,4
,,,,,,,,,,,,,,,3,-,4
,,,,,,,,,,,,,,,4,-,4
,,,,,,,,,,,,,,,5,-,4
,,,,,,,,,,,,,,,6,-,4
,,,,,,,,,,,,,,,7,-,4
,0.948468704424243,,,,,,,,,,,1994.5495571453773,0.059535718474121854,"[7.014078315636172, 6.925339439210476, 0.08873887642569549]",8,-,4
,0.8478370723313082,,,,,,,,,,,1244.3020851601423,0.30479822574240945,"[1.264416892796001, 0.8218372795160906, 0.25412578473966363, 0.18845382854024653]",9,-,4
,0.9207464822489275,,,,,,,,,,,571.3869727468053,0.09660016513923467,"[0.8211054666083343, 0.41055273330416714, 0.41055273330416714]",10,-,4
,0.9269287683534942,,,,,,,,,,,729.0179120188797,0.0859401516185879,"[6.609240889792597, 6.395863124101358, 0.21337776569123879]",11,-,4
,,,,,,,,,,,,,,,1,-,7
,,,,,,,,,,,,,,,2,-,7
,,,,,,,,,,,,,,,3,-,7
,,,,,,,,,,,,,,,4,-,7
,,,,,,,,,,,,,,,5,-,7
,,,,,,,,,,,,,,,6,-,7
,0.8840886932998384,,,,,,,,,,,496.003314558937,0.16221620585710897,"[0.6182173646794555, 0.4474978023795869, 0.17071956229986862]",7,-,7
,,,,,,,,,,,,,,,8,-,7
,0.9149544994196153,,,,,,,,,,,1465.3887540405203,0.1351461266474131,"[1.4633350976264798, 0.9044474382071027, 0.5588876594193771]",9,-,7
,,,,,,,,,,,,,,,10,-,7
,0.8086075962358987,,,,,,,,,,,619.4886953277697,0.25032555306125237,"[2.0110124753123477, 0.6268995002168801, 0.6268995002168801, 0.6268995002168801, 0.13031397466170755]",11,-,7
,0.9833526219678104,,,,,,,,,,,68205.39267548932,0.013206500331423196,"[77.27516387465383, 0.017926929242088403, 0.017926929242088403, 77.23931001616965]",1,-,3
,,,,,,,,,,,,,,,2,-,3
,,,,,,,,,,,,,,,3,-,3
,,,,,,,,,,,,,,,4,-,3
,,,,,,,,,,,,,,,5,-,3
,,,,,,,,,,,,,,,6,-,3
,0.8920200605504471,,,,,,,,,,,816.300904563006,0.17461617466296186,"[13.814253441916708, 0.33175947406974843, 13.48249396784696]",7,-,3
,,,,,,,,,,,,,,,8,-,3
,,,,,,,,,,,,,,,9,-,3
,0.9980150636754141,,,,,,,,,,,1022183.8582335543,0.002311401834038604,"[181.84099827767275, 0.09903860971360927, 181.74195966795915]",10,-,3
,,,,,,,,,,,,,,,11,-,3
,0.985842576970464,,,,,,,,,,,15450.927183765523,0.019235387933053513,"[18.002316772125063, 17.607314728789962, 0.3950020433350989]",1,-,4
,,,,,,,,,,,,,,,2,-,4
,0.9901483702572318,,,,,,,,,,,51570.87719182632,0.012866926351954588,"[40.992071126908, 0.15701233064911116, 40.83505879625889]",3,-,4
,,,,,,,,,,,,,,,4,-,4
,,,,,,,,,,,,,,,5,-,4
,,,,,,,,,,,,,,,6,-,4
,0.7077721864560984,,,,,,,,,,,60.446356053266236,0.36850235921813107,"[2.2028380206764004, 1.8945208241864617, 0.30831719648993877]",7,-,4
,0.9947393703496819,,,,,,,,,,,237677.8327641643,0.006590343656532036,"[75.17439388292405, 0.27769572074687426, 74.89669816217717]",8,-,4
,0.9157663570141423,,,,,,,,,,,462.23223460236204,0.09912778281613266,"[0.16546115885078175, 0.08273057942539087, 0.08273057942539087]",9,-,4
,,,,,,,,,,,,,,,10,-,4
,,,,,,,,,,,,,,,11,-,4
,,,,,,,,,,,,,,,1,-,7
,,,,,,,,,,,,,,,2,-,7
,,,,,,,,,,,,,,,3,-,7
,,,,,,,,,,,,,,,4,-,7
,,,,,,,,,,,,,,,5,-,7
,,,,,,,,,,,,,,,6,-,7
,0.9908019376515329,,,,,,,,,,,65761.88816276912,0.011817562345480244,"[1.6954409180108316, 0.3700028836048426, 1.325438034405989]",7,-,7
,,,,,,,,,,,,,,,8,-,7
,,,,,,,,,,,,,,,9,-,7
,,,,,,,,,,,,,,,10,-,7
,,,,,,,,,,,,,,,11,-,7
