closed cluster high,closed cluster low,closed cluster mean,closed cluster label,closed cluster segment,closed cluster stream,cluster high,cluster low,cluster mean,cluster label,cluster segment,cluster stream,window high,window low,window mean,window segment,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels),merge between a window and a cluster,index
[0.85490442 0.12911313 1.        ],[0.24349734 0.01096835 0.05640865],[0.54920088 0.07004074 0.52820432],-1.0,2.0,7.0,[0.53337512 0.09244751 0.26041993],[0.24130367 0.01190849 0.03478533],[0.38733939 0.052178   0.14760263],2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0.69037919 0.05014102 1.        ],[0.26543403 0.02789094 0.36979003],[0.47790661 0.03901598 0.68489502],-1.0,7.0,False,True,[],[],False,141
,,,,,,[0.24139611 0.08514102 0.15828737],[0.14081322 0.03277029 0.02397368],[0.19110467 0.05895566 0.09113052],4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,141
,,,,,,[0.4697587  0.10623629 0.48950172],[0.1093701  0.00376058 0.03885929],[0.2895644  0.05499843 0.26418051],0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,141
,,,,,,[0.14233783 0.05693513 0.33212159],[0.04981824 0.00711689 0.05456283],[0.09607803 0.03202601 0.19334221],1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,141
,,,,,,[0.06405202 0.01660608 0.03321216],[0.02846757 0.00711689 0.00711689],[0.04625979 0.01186149 0.02016453],3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,141
,,,,,,[0.04744594 0.00948919 0.05456283],[0.         0.0023723  0.02609527],[0.02372297 0.00593074 0.04032905],5,-1,1,,,,,,,,,,,141
,,,,,,[0.35568787 0.09558132 0.94547164],[0.20933877 0.02287684 0.07489815],[0.28251332 0.05922908 0.5101849 ],6,-1,1,,,,,,,,,,,141
,,,,,,[0.85490442 0.12911313 1.        ],[0.24349734 0.01096835 0.05640865],[0.54920088 0.07004074 0.52820432],7,-1,2,,,,,,,,,,,141
,,,,,,[0.35318082 0.10999687 0.07145096],[0.27671576 0.05546851 0.036979  ],[0.31494829 0.08273269 0.05421498],8,-1,7,,,,,,,,,,,141
,,,,,,[0.34973363 0.0774052  0.27765591],[0.24600439 0.02820432 0.06643685],[0.29786901 0.05280476 0.17204638],9,-1,7,,,,,,,,,,,141
