F1,SI,JI,IC_av,cluster count,segment,stream,size
,,,"[1.9870296783242887, 1.9870296783242887]",1,1,-,3
,,,"[2.068951531773878, 2.068951531773878]",1,2,-,3
,,,"[1.3671999124496903, 1.3671999124496903]",1,3,-,3
,,,"[1.487386476017532, 1.487386476017532]",1,4,-,3
,,,"[1.597426039705849, 1.597426039705849]",1,5,-,3
,,,"[1.863764866022934, 1.863764866022934]",1,6,-,3
,-0.16084217162200043,,"[3.042115921476145, 2.975543561100608, 0.06657236037553704]",2,7,-,3
,,,"[1.9002951352297186, 1.9002951352297186]",1,8,-,3
,,,"[1.32755695579628, 1.32755695579628]",1,9,-,3
,,,"[1.5239742418925888, 1.5239742418925888]",1,10,-,3
,0.006562174396822336,,"[1.408931602847232, 1.408931602847232, 0.0]",2,11,-,3
