F1,SI,JI,homogeneity,RI,ARI,MI,NMI,AMI,CS,V,FMI,S,DB,IC_av,segment,stream,size
,0.9862519150508431,,,,,,,,,,,25489.86020733429,0.02066920776818963,"[47.82744538534908, 30.313876882877217, 17.513568502471863]",1,-,5
,,,,,,,,,,,,,,,2,-,5
,,,,,,,,,,,,,,,3,-,5
,,,,,,,,,,,,,,,4,-,5
,,,,,,,,,,,,,,,5,-,5
,,,,,,,,,,,,,,,6,-,5
,0.9133962041713777,,,,,,,,,,,701.1275823228209,0.11584674194530913,"[1.5391289992018142, 1.305351561193625, 0.2337774380081891]",7,-,5
,0.9946953113649498,,,,,,,,,,,213727.48945491377,0.006726136236681619,"[102.97654600939015, 0.25285326333719116, 102.72369274605296]",8,-,5
,,,,,,,,,,,,,,,9,-,5
,,,,,,,,,,,,,,,10,-,5
,,,,,,,,,,,,,,,11,-,5
