F1,SI,JI,IC_av,cluster count,segment,stream,size
,0.1873510666568944,,,3,1,-,3
,,,,1,2,-,3
,,,,1,3,-,3
,-0.20272813880677185,,,2,4,-,3
,-0.15930379452192725,,,3,5,-,3
,0.6344280095726286,,,2,6,-,3
,-0.30588849494152165,,,3,7,-,3
,-0.0786597118350968,,,5,8,-,3
,-0.03512545613438368,,,5,9,-,3
,-0.17569314183235654,,,4,10,-,3
,-0.1935100575245305,,,8,11,-,3
,-0.016584180064314537,,,3,1,-,5
,0.17750219951098978,,,2,2,-,5
,-0.01753544814276092,,,2,3,-,5
,-0.1043970150404122,,,4,4,-,5
,-0.13867685985761813,,,4,5,-,5
,0.053832985625960714,,,2,6,-,5
,,,,1,7,-,5
,0.03966665610833567,,,3,8,-,5
,-0.2509065932181159,,,3,9,-,5
,-0.07500613908987226,,,4,10,-,5
,-0.05911109724294229,,,5,11,-,5
,-0.07234104915656055,,,2,1,-,7
,0.06281634005092537,,,2,2,-,7
,-0.18437872828544272,,,3,3,-,7
,0.03942991769289196,,,3,4,-,7
,-0.16760854092320418,,,4,5,-,7
,0.016026772152083806,,,3,6,-,7
,0.05440003648310289,,,2,7,-,7
,0.19278956755388144,,,3,8,-,7
,0.456459144608022,,,2,9,-,7
,0.07216752957688301,,,2,10,-,7
,-0.06556419257961109,,,4,11,-,7
,0.06311540119420882,,,5,1,-,3
,-0.2510280133388917,,,4,2,-,3
,-0.13811506987905242,,,2,3,-,3
,-0.15633361382436153,,,2,4,-,3
,-0.3055010610319277,,,4,5,-,3
,-0.19400831490776455,,,4,6,-,3
,-0.24644785938739042,,,6,7,-,3
,-0.23002441818058753,,,4,8,-,3
,-0.2167437598804227,,,4,9,-,3
,-0.11146163473431778,,,3,10,-,3
,-0.12361814607084322,,,6,11,-,3
,-0.33246601922899566,,,5,1,-,5
,-0.037274696909869835,,,3,2,-,5
,-0.1647312738568111,,,3,3,-,5
,-0.07244068501764346,,,3,4,-,5
,-0.09317094408562662,,,3,5,-,5
,-0.12494145781150826,,,3,6,-,5
,-0.04617752726985139,,,4,7,-,5
,-0.2166908046587082,,,3,8,-,5
,-0.03994712453278451,,,2,9,-,5
,-0.006089426213854667,,,2,10,-,5
,0.11116463091461042,,,2,11,-,5
,0.12768916769189823,,,3,1,-,7
,-0.013224975263698297,,,3,2,-,7
,0.1597331189778743,,,2,3,-,7
,0.10404556130621737,,,2,4,-,7
,0.11206399803729096,,,3,5,-,7
,-0.16039061881736505,,,4,6,-,7
,-0.21354036979001187,,,4,7,-,7
,0.01888825105199775,,,3,8,-,7
,0.023534010298847493,,,2,9,-,7
,-0.05354206921751775,,,2,10,-,7
,0.08994865936615115,,,2,11,-,7
