F1,SI,JI,homogeneity,RI,ARI,MI,NMI,AMI,CS,V,FMI,S,DB,IC_av,segment,stream,size
,,,,,,,,,,,,,,,1,-,7
,,,,,,,,,,,,,,,2,-,7
,,,,,,,,,,,,,,,3,-,7
,0.9960422506409113,,,,,,,,,,,648417.2741249726,0.005649378017970076,"[209.5117248105283, 0.17931351927145792, 209.33241129125685]",4,-,7
,,,,,,,,,,,,,,,5,-,7
,0.995499072250275,,,,,,,,,,,465878.1125872301,0.006078340750894669,"[209.27336407901365, 0.17865991364039685, 209.09470416537326]",6,-,7
,0.9926469174503229,,,,,,,,,,,118775.83595945056,0.010110334649362555,"[3.0509883876371235, 0.15554616772340515, 2.8954422199137184]",7,-,7
,0.9823831149344922,,,,,,,,,,,30488.164771482796,0.021101346414767838,"[56.520289133024846, 56.228941300811464, 0.29134783221338534]",8,-,7
,,,,,,,,,,,,,,,9,-,7
,,,,,,,,,,,,,,,10,-,7
,,,,,,,,,,,,,,,11,-,7
