F1,SI,JI,IC_av,cluster count,segment,stream,size
,0.08036194374207839,,"[1.16151371453229, 0.1164803403209588, 0.15146103100810754, 0.6229361270057876, 0.27063621619743594]",4,1,-,7
,-0.07219592366539844,,"[3.131399942372361, 1.228184845643108, 0.8304294159660285, 1.0727856807632246]",3,2,-,7
,0.058492558897523035,,"[1.2959979388833613, 1.0325053800275483, 0.2634925588558131]",2,3,-,7
,0.04699716280779416,,"[1.5376400229280502, 1.0386569722512566, 0.16308882387344176, 0.3358942268033518]",3,4,-,7
,0.013511695236987588,,"[1.547068981656298, 0.15645822103748405, 1.3906107606188138]",2,5,-,7
,-0.04977619685430337,,"[1.6736901207790211, 0.7484591187400234, 0.15910109691744098, 0.7661299051215569]",3,6,-,7
,-0.1505560520573293,,"[1.5781720244839064, 0.6980141822045522, 0.16973663503890193, 0.3552106036202261, 0.3552106036202261]",4,7,-,7
,-0.07699267064359024,,"[1.9828553985487425, 0.2224713244570613, 1.515819578739085, 0.2445644953525963]",3,8,-,7
,0.05183813980570317,,"[1.3639697383204814, 0.91617725124503, 0.44779248707545144]",2,9,-,7
,0.004743058402242717,,"[1.507145476380951, 1.1861782442425934, 0.32096723213835776]",2,10,-,7
,0.0021378527015090305,,"[1.3913925236277422, 1.3653248240635867, 0.02606769956415547]",2,11,-,7
