F1,SI,JI,IC_av,cluster count,segment,stream,size
,0.06584798295545492,,"[1.9763186807300508, 1.0956705521262402, 0.10909030352671616, 0.5836338474533185, 0.187923977623776]",4,1,-,3
,0.0455691083095393,,"[1.3508649165407263, 0.7679436903108434, 0.5829212262298828]",2,2,-,3
,-0.035573737578718595,,"[1.7602160684579795, 0.7499793902425191, 0.5051183391077302, 0.5051183391077302]",3,3,-,3
,0.16965920870020598,,"[5.145646304378372, 0.3187302044071569, 0.3187302044071569, 4.508185895564058]",3,4,-,3
,-0.05410266838877203,,"[3.8931433051778357, 0.907883096188108, 2.2587530741502353, 0.3253884004312705, 0.40111873440822154]",4,5,-,3
,-0.044746990512534765,,"[2.577998852920476, 1.0713686268503568, 0.043544414211799894, 1.4630858118583192]",3,6,-,3
,0.0392449553998642,,"[1.6483173047188493, 1.4147309675045219, 0.2335863372143275]",2,7,-,3
,0.265676102293424,,"[1.341547300709982, 0.10886349961812863, 0.0241935483870968, 1.2084902527047565]",3,8,-,3
,-0.06849116641835208,,"[1.8848665572019132, 0.7674398387333327, 0.26086118530041413, 0.06762031809074748, 0.021505376344086207, 0.7674398387333327]",5,9,-,3
,0.01036109815587875,,"[5.805865927036108, 1.0948386318422114, 0.7809240412685297, 2.564676528193599, 1.3654267257317685]",4,10,-,3
,0.0028831541993602715,,"[4.390403688294487, 1.4307745458663799, 0.3836692869186702, 1.973897340293796, 0.3836692869186702, 0.21839322829697072]",5,11,-,3
,0.1200885503334387,,"[2.043367445078248, 1.020004269437397, 0.187923977623776, 0.8354391980170748]",3,1,-,5
,0.051210014036204926,,"[1.2321789462162631, 1.0327741994004926, 0.19940474681577047]",2,2,-,5
,-0.0135425384281422,,"[1.7293600698898535, 0.9140998555974286, 0.5727299626596607, 0.242530251632764]",3,3,-,5
,0.15069712832054766,,"[5.232239487851762, 0.21676619144533613, 0.1224520588962294, 4.8930212375101965]",3,4,-,5
,-0.018314219636861206,,"[4.063461220433438, 0.8926236877487962, 2.5526729293093524, 0.6181646033752893]",3,5,-,5
,0.0538329856259607,,"[2.676811435346062, 1.0964358739021265, 1.5803755614439354]",2,6,-,5
,0.028701539343907546,,"[1.68832401144522, 1.4901534801117793, 0.1981705313334408]",2,7,-,5
,0.24036610312456752,,"[1.345077805596346, 0.09230079911560048, 0.0241935483870968, 1.2285834580936486]",3,8,-,5
,-0.08113807654512872,,"[2.373395721159417, 2.0469337130689045, 0.13691869949094704, 0.18954330859956564]",3,9,-,5
,-0.07332032387011009,,"[5.899676430264041, 0.8848497335462566, 3.087930015367102, 1.9268966813506818]",3,10,-,5
,-0.0036039350023892593,,"[4.460297014652279, 1.1751902919434536, 1.5742165202489051, 1.5742165202489051, 0.13667368221101608]",4,11,-,5
,,,"[1.2982292098005062, 1.2982292098005062]",1,1,-,7
,,,"[0.5201754206781165, 0.5201754206781165]",1,2,-,7
,0.0871469356104223,,"[1.2946918187880208, 0.6682760718907443, 0.6264157468972764]",2,3,-,7
,,,"[4.9408701954855605, 4.9408701954855605]",1,4,-,7
