closed cluster high,closed cluster low,closed cluster mean,closed cluster label,closed cluster segment,closed cluster stream,cluster high,cluster low,cluster mean,cluster label,cluster segment,cluster stream,window high,window low,window mean,window segment,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels),merge between a window and a cluster,index
[0.61998593 0.59535538 0.70513723 0.8226601  0.76636172 0.68191414],[0.56861365 0.5460943  0.6833216  0.78325123 0.74595355 0.66643209],[0.59429979 0.57072484 0.69422942 0.80295567 0.75615764 0.67417312],-1.0,2.0,8.0,[0.48135116 0.45672062 0.54539057 0.61259676 0.58092892 0.51266714],[0.40358902 0.38634764 0.45689655 0.48610134 0.48627727 0.42698804],[0.44247009 0.42153413 0.50114356 0.54934905 0.5336031  0.46982759],2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0.62139338 0.62772695 0.79802956 0.81984518 0.8296974  0.72624912],[0.53976073 0.55172414 0.64039409 0.70161858 0.70795215 0.60731879],[0.58057706 0.58972555 0.71921182 0.76073188 0.76882477 0.66678395],-1.0,6.0,False,False,[],[],True,115
,,,,,,[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,115
,,,,,,[0.39444053 0.39901478 0.47818438 0.50668543 0.46973962 0.40244546],[0.28430683 0.28729768 0.38423645 0.42637227 0.40499648 0.33110486],[0.33937368 0.34315623 0.43121042 0.46652885 0.43736805 0.36677516],1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,115
,,,,,,[0.55876144 0.55665025 0.65763547 0.73856439 0.70865588 0.62807882],[0.44194229 0.4338494  0.53624208 0.58479944 0.58902182 0.49120338],[0.50035186 0.49524982 0.59693878 0.66168191 0.64883885 0.5596411 ],4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,115
,,,,,,[0.57697044 0.56852569 0.60397607 0.62104152 0.6111893  0.58796622],[0.49718508 0.49718508 0.51794511 0.54961295 0.52322308 0.47748065],[0.53707776 0.53285538 0.56096059 0.58532723 0.56720619 0.53272343],3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,115
,,,,,,[0.63859078 0.62104152 0.74982407 0.8296974  0.76981439 0.68626847],[0.60028149 0.58339198 0.7033779  0.76869282 0.73117523 0.64919071],[0.61943614 0.60221675 0.72660099 0.79919511 0.75049481 0.66772959],5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,115
,,,,,,[0.74366643 0.73451795 0.84808234 0.92848346 0.90882301 0.79354328],[0.70254222 0.68011084 0.77049613 0.83026918 0.79433498 0.73425405],[0.72310433 0.70731439 0.80928923 0.87937632 0.85157899 0.76389866],6,-1,1,,,,,,,,,,,115
,,,,,,[0.66924701 0.64637579 0.8096411  0.86136524 0.83990148 0.73997185],[0.63617171 0.63370866 0.73961999 0.8166784  0.77867699 0.70161858],[0.65270936 0.64004222 0.77463054 0.83902182 0.80928923 0.72079521],7,-1,2,,,,,,,,,,,115
,,,,,,[0.62068966 0.61154117 0.75158339 0.82125264 0.79802956 0.70408163],[0.55418719 0.54890922 0.66185785 0.7424349  0.72695285 0.63687544],[0.58743842 0.58022519 0.70672062 0.78184377 0.7624912  0.67047854],8,-1,2,,,,,,,,,,,115
,,,,,,[0.66924701 0.65798733 0.75369458 0.75087966 0.69528501 0.66572836],[0.5320197  0.51442646 0.63898663 0.67417312 0.64039409 0.56579873],[0.60063336 0.5862069  0.69634061 0.71252639 0.66783955 0.61576355],9,-1,2,,,,,,,,,,,115
