closed cluster high,closed cluster low,closed cluster mean,closed cluster label,closed cluster segment,closed cluster stream,closed cluster counts,cluster high,cluster low,cluster mean,cluster label,cluster segment,cluster stream,cluster counts,window high,window low,window mean,window segment,window stream,window size,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels),index
[0.41660802 0.41062632 0.44598874 0.49859254 0.47976777 0.41238564],[0.27938072 0.27779733 0.37596763 0.4278677  0.40165376 0.32441942],[0.34799437 0.34421182 0.41097818 0.46323012 0.44071077 0.36840253],18.0,5.0,-1.0,3.0,[0.33216045 0.33216045 0.35045742 0.40675581 0.40534835 0.37016186],[0.2244898  0.20408163 0.21534131 0.28149191 0.26178747 0.24841661],[0.27832512 0.26812104 0.28289937 0.34412386 0.33356791 0.30928923],-1,4,3,15,[0.47009148 0.45038705 0.46023927 0.45883181 0.42575651 0.41449683],[0.21252639 0.20689655 0.26178747 0.34553132 0.28993666 0.23504574],[0.34130894 0.3286418  0.36101337 0.40218156 0.35784659 0.32477129],-1.0,9.0,3.0,False,False,[17],[],183
,,,,,,,[0.41660802 0.41062632 0.44598874 0.49859254 0.47976777 0.41238564],[0.27938072 0.27779733 0.37596763 0.4278677  0.40165376 0.32441942],[0.34799437 0.34421182 0.41097818 0.46323012 0.44071077 0.36840253],-1,5,3,18,,,,,,,,,,,183
,,,,,,,[0.46727657 0.44053483 0.58972555 0.63546798 0.64883885 0.57987333],[0.36242083 0.34834624 0.50738916 0.57635468 0.58057706 0.50316678],[0.4148487  0.39444053 0.54855735 0.60591133 0.61470795 0.54152006],-1,6,3,19,,,,,,,,,,,183
,,,,,,,[0.59131627 0.57991731 0.63969036 0.72189479 0.69317382 0.6341265 ],[0.49958216 0.48627727 0.56513899 0.61180507 0.59232055 0.56148839],[0.54544921 0.53309729 0.60241467 0.66684993 0.64274719 0.59780744],-1,6,3,21,,,,,,,,,,,183
,,,,,,,[0.67343228 0.67452361 0.72026742 0.75805716 0.76036077 0.69315046],[0.62086559 0.63257197 0.69411121 0.70824628 0.70208865 0.65470509],[0.64714893 0.65354779 0.70718931 0.73315172 0.73122471 0.67392777],-1,6,3,22,,,,,,,,,,,183
,,,,,,,[0.74301848 0.74079835 0.84772349 0.91368381 0.92649964 0.79190369],[0.69712461 0.68621561 0.78774718 0.8345795  0.81432623 0.73721053],[0.72007155 0.71350698 0.81773534 0.87413165 0.87041294 0.76455711],-1,7,4,24,,,,,,,,,,,183
,,,,,,,[0.68508093 0.68255923 0.75510204 0.81439127 0.81456721 0.73451795],[0.62895848 0.62456017 0.7098874  0.78219564 0.76741731 0.7033779 ],[0.6570197  0.6535597  0.73249472 0.79829346 0.79099226 0.71894792],-1,7,3,27,,,,,,,,,,,183
,,,,,,,[0.71164673 0.70487333 0.80612245 0.85916608 0.83075299 0.75158339],[0.66437954 0.63995426 0.72915201 0.80436312 0.78633005 0.71270232],[0.68801314 0.67241379 0.76763723 0.8317646  0.80854152 0.73214286],-1,8,3,29,,,,,,,,,,,183
,,,,,,,[0.64602393 0.62068966 0.72132301 0.75580577 0.72413793 0.68050669],[0.58339198 0.59042928 0.69598874 0.73258269 0.68895144 0.64813512],[0.61470795 0.60555947 0.70865588 0.74419423 0.70654469 0.6643209 ],-1,8,3,30,,,,,,,,,,,183
,,,,,,,[0.56579873 0.56087262 0.58339198 0.60767065 0.58655876 0.55348346],[0.47044335 0.45812808 0.52850106 0.59500352 0.53835327 0.48768473],[0.51812104 0.50950035 0.55594652 0.60133709 0.56245602 0.5205841 ],-1,8,3,31,,,,,,,,,,,183
,,,,,,,[0.48294956 0.47574126 0.50778315 0.53821124 0.51122002 0.49353593],[0.42958619 0.41353216 0.46547568 0.50013933 0.47453373 0.45441501],[0.45626787 0.44463671 0.48662942 0.51917528 0.49287688 0.47397547],-1,9,4,34,,,,,,,,,,,183
