closed cluster high,closed cluster low,closed cluster mean,closed cluster label,closed cluster segment,closed cluster stream,closed cluster counts,cluster high,cluster low,cluster mean,cluster label,cluster segment,cluster stream,cluster counts,window high,window low,window mean,window segment,window stream,window size,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels),index
[0.64461647 0.63194933 0.73610134 0.78676988 0.75087966 0.6973962 ],[0.60942998 0.59394792 0.71850809 0.76425053 0.74876847 0.68684025],[0.62702322 0.61294863 0.72730471 0.7755102  0.74982407 0.69211823],-1.0,2.0,3.0,59.0,[0.460943   0.45320197 0.53272343 0.59394792 0.57424349 0.53976073],[0.3877551  0.38423645 0.47712878 0.49683322 0.52427868 0.45038705],[0.42434905 0.41871921 0.50492611 0.54539057 0.54926108 0.49507389],11,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,[0.57072484 0.5721323  0.72624912 0.80928923 0.7494722  0.66080225],[0.50950035 0.4940183  0.66572836 0.72765658 0.69669247 0.62209711],[0.5401126  0.5330753  0.69598874 0.76847291 0.72308234 0.64144968],-1.0,2.0,3.0,True,False,[],[],35
,,,,,,,[0.50809289 0.50246305 0.48346235 0.53624208 0.51935257 0.45742435],[0.32371569 0.32371569 0.40957072 0.44405348 0.44123856 0.36312456],[0.41590429 0.41308937 0.44651654 0.49014778 0.48029557 0.41027445],3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,,,,,,,,,,,35
,,,,,,,[0.513019   0.50809289 0.58972555 0.65376495 0.65306122 0.60028149],[0.41942294 0.434905   0.539057   0.60380014 0.61505982 0.5320197 ],[0.46622097 0.47149894 0.56439127 0.62878255 0.63406052 0.5661506 ],7,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,,,,,,,,,,,35
,,,,,,,[0.539057   0.52498241 0.54468684 0.61294863 0.56368754 0.51864884],[0.49612949 0.46938776 0.49894441 0.50809289 0.50950035 0.47712878],[0.51759324 0.49718508 0.52181562 0.56052076 0.53659395 0.49788881],37,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,,,,,,,,,,,35
,,,,,,,[0.47783251 0.48064743 0.55102041 0.60380014 0.58479944 0.52638987],[0.38001407 0.44475721 0.52287122 0.57565095 0.50457424 0.45460943],[0.42892329 0.46270232 0.53694581 0.58972555 0.54468684 0.49049965],25,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5,,,,,,,,,,,35
,,,,,,,[0.50316678 0.4729064  0.55031668 0.61717101 0.59957776 0.51864884],[0.48205489 0.44475721 0.49683322 0.60942998 0.58339198 0.48979592],[0.49261084 0.45883181 0.52357495 0.61330049 0.59148487 0.50422238],18,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,,,,,,,,,,,35
,,,,,,,[0.64919071 0.62385644 0.67346939 0.71885996 0.68789585 0.6513019 ],[0.53624208 0.50774103 0.61893033 0.64989444 0.62702322 0.57952146],[0.5927164  0.56579873 0.64619986 0.6843772  0.65745954 0.61541168],44,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,,,,,,,,,,,35
,,,,,,,[0.60450387 0.59887403 0.66643209 0.63617171 0.60309641 0.58761436],[0.55665025 0.53835327 0.59957776 0.58550317 0.57424349 0.5270936 ],[0.58057706 0.56861365 0.63300493 0.61083744 0.58866995 0.55735398],21,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,,,,,,,,,,,35
,,,,,,,[0.54539057 0.54398311 0.60309641 0.65306122 0.65235749 0.591133  ],[0.49824068 0.49612949 0.51442646 0.57635468 0.54539057 0.52287122],[0.52181562 0.5200563  0.55876144 0.61470795 0.59887403 0.55700211],27,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,,,,,,,,,,,35
,,,,,,,[0.72823111 0.71608765 0.81901225 0.88472164 0.86651401 0.79329038],[0.6774691  0.67774675 0.75056078 0.82740203 0.81514998 0.73313798],[0.70285011 0.6969172  0.78478652 0.85606183 0.840832   0.76321418],55,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,,,,,,,,,,,35
,,,,,,,[0.75299085 0.75932442 0.8627727  0.95425757 0.92962702 0.80436312],[0.69458128 0.68824771 0.79239972 0.86418015 0.85292048 0.78606615],[0.72378607 0.72378607 0.82758621 0.90921886 0.89127375 0.79521464],56,-1,2,3,,,,,,,,,,,35
,,,,,,,[0.66924701 0.64637579 0.8096411  0.86136524 0.83990148 0.73997185],[0.63617171 0.63370866 0.73961999 0.8166784  0.77867699 0.70161858],[0.65270936 0.64004222 0.77463054 0.83902182 0.80928923 0.72079521],57,-1,2,3,,,,,,,,,,,35
,,,,,,,[0.66995074 0.65517241 0.76073188 0.81843772 0.76706545 0.70513723],[0.65095004 0.63335679 0.7234342  0.78536242 0.74806474 0.67276566],[0.66045039 0.6442646  0.74208304 0.80190007 0.7575651  0.68895144],58,-1,2,3,,,,,,,,,,,35
,,,,,,,[0.64461647 0.63194933 0.73610134 0.78676988 0.75087966 0.6973962 ],[0.60942998 0.59394792 0.71850809 0.76425053 0.74876847 0.68684025],[0.62702322 0.61294863 0.72730471 0.7755102  0.74982407 0.69211823],59,-1,2,3,,,,,,,,,,,35
