closed cluster high,closed cluster low,closed cluster mean,closed cluster label,closed cluster segment,closed cluster stream,cluster high,cluster low,cluster mean,cluster label,cluster segment,cluster stream,window high,window low,window mean,window segment,window stream,is the cluster and the window deviated,is the cluster and the window matched,cluster labels that are merged together into a cluster,new clusters (labels),merge between a window and a cluster,index
[0.42646024 0.42012667 0.46446165 0.51513019 0.45953554 0.4539057 ],[0.33743842 0.30190007 0.36030964 0.38634764 0.38212526 0.36101337],[0.38194933 0.36101337 0.41238564 0.45073892 0.4208304  0.40745954],1.0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0.50884061 0.50661946 0.51240324 0.5307222  0.51963846 0.49533779],[0.44425141 0.43835767 0.46001935 0.4882785  0.46853008 0.45023311],[0.47654601 0.47248856 0.48621129 0.50950035 0.49408427 0.47278545],2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0.4208304  0.40957072 0.46446165 0.51513019 0.45742435 0.42716397],[0.36101337 0.35327234 0.36030964 0.38634764 0.38212526 0.37790289],[0.39092189 0.38142153 0.41238564 0.45073892 0.41977481 0.40253343],-1.0,5.0,False,True,[],[],False,89
,,,,,,[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],[0.50809289 0.50246305 0.40957072 0.44405348 0.44123856 0.36312456],0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,89
,,,,,,[0.42646024 0.42012667 0.46446165 0.51513019 0.45953554 0.4539057 ],[0.33743842 0.30190007 0.36030964 0.38634764 0.38212526 0.36101337],[0.38194933 0.36101337 0.41238564 0.45073892 0.4208304  0.40745954],1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,89
,,,,,,[0.54820549 0.50879662 0.65763547 0.73856439 0.6833216  0.62807882],[0.44194229 0.4338494  0.55805771 0.60555947 0.58902182 0.49120338],[0.49507389 0.47132301 0.60784659 0.67206193 0.63617171 0.5596411 ],4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,89
,,,,,,[0.61066151 0.61699507 0.63863476 0.65165376 0.64250528 0.61857847],[0.49612949 0.48557354 0.51794511 0.55383533 0.51935257 0.49824068],[0.5533955  0.55128431 0.57828994 0.60274455 0.58092892 0.55840957],3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,89
,,,,,,[0.63859078 0.62104152 0.74982407 0.8296974  0.76981439 0.68626847],[0.60028149 0.58339198 0.7033779  0.76869282 0.73117523 0.64919071],[0.61943614 0.60221675 0.72660099 0.79919511 0.75049481 0.66772959],5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,89
,,,,,,[0.74366643 0.73451795 0.84808234 0.92848346 0.90882301 0.79354328],[0.70254222 0.68011084 0.77049613 0.83026918 0.79433498 0.73425405],[0.72310433 0.70731439 0.80928923 0.87937632 0.85157899 0.76389866],6,-1,1,,,,,,,,,,,89
,,,,,,[0.66924701 0.64637579 0.8096411  0.86136524 0.83990148 0.73997185],[0.63617171 0.63370866 0.73961999 0.8166784  0.77867699 0.70161858],[0.65270936 0.64004222 0.77463054 0.83902182 0.80928923 0.72079521],7,-1,2,,,,,,,,,,,89
,,,,,,[0.61998593 0.59535538 0.70513723 0.8226601  0.76636172 0.68191414],[0.56861365 0.5460943  0.6833216  0.78325123 0.74595355 0.66643209],[0.59429979 0.57072484 0.69422942 0.80295567 0.75615764 0.67417312],8,-1,2,,,,,,,,,,,89
,,,,,,[0.66924701 0.65798733 0.75369458 0.75087966 0.69528501 0.66572836],[0.5320197  0.51442646 0.63898663 0.67417312 0.64039409 0.56579873],[0.60063336 0.5862069  0.69634061 0.71252639 0.66783955 0.61576355],9,-1,2,,,,,,,,,,,89
