F1,SI,JI,IC_av,cluster count,segment,stream,size
,0.23204927433293468,,"[3.4268766929765264, 0.11208694355231617, 0.277443282641088, 3.0373464667831223]",3,1,-,3
,0.008437252027048356,,"[2.760803562595943, 0.4016280836779231, 1.6875814932807478, 0.29656874637313, 0.07845649289101146, 0.29656874637313]",5,2,-,3
,0.10294506516357502,,"[4.595931110413332, 1.894761805811268, 0.5346006750407829, 1.122697786740862, 0.625117244536339, 0.41875359828408015]",5,3,-,3
,0.16108113505141744,,"[5.854788901280374, 1.0040182486200295, 3.9465490843283395, 0.7610752980620177, 0.14314627026998794]",4,4,-,3
,0.05396847539442447,,"[4.38310421416677, 3.6537587155835904, 0.5668911233737084, 0.16245437520947106]",3,5,-,3
,0.06129097300827307,,"[4.296554792977689, 0.11229650315863209, 1.6112959020623823, 0.5333607781757697, 1.5062408314051359, 0.5333607781757697]",5,6,-,3
,0.05417010446086019,,"[3.5596631890088366, 0.07555283461674242, 1.6383148897398028, 0.4615744536821846, 1.384221010970107]",4,7,-,3
,0.1877075881196478,,"[2.1826337633607893, 0.3893460678568623, 0.5339854131124645, 0.2756864599162497, 0.9836158224752127]",4,8,-,3
,0.08410950627181187,,"[4.442307283323837, 1.407785632722782, 2.177997439563147, 0.11523858706072158, 0.11523858706072158, 0.5108084498557424, 0.11523858706072158]",6,9,-,3
,0.03257541578818586,,"[15.19971309219364, 4.4513492814397635, 8.008932062746396, 1.36971587400374, 1.36971587400374]",4,10,-,3
,0.10277053636079686,,"[16.066407924893067, 4.790908890844602, 4.035396094540262, 4.371951106091704, 2.030439407758899, 0.41885621282879937, 0.41885621282879937]",6,11,-,3
