F1,SI,JI,IC_av,cluster count,segment,stream,size
,-0.01338197627171465,,,2.0,1,-,3
,,,,,2,-,3
,,,,,3,-,3
,,,,1.0,4,-,3
,0.28626733181355973,,,2.0,5,-,3
,,,,1.0,6,-,3
,0.12200987394548242,,,2.0,7,-,3
,0.023161022138328907,,,4.0,8,-,3
,-0.158064120093332,,,4.0,9,-,3
,-0.04741605042266576,,,3.0,10,-,3
,-0.053896427602869196,,,7.0,11,-,3
,0.634637496423223,,,2.0,1,-,5
,,,,1.0,2,-,5
,,,,1.0,3,-,5
,0.508396138714998,,,3.0,4,-,5
,0.3389924151689105,,,3.0,5,-,5
,,,,1.0,6,-,5
,,,,,7,-,5
,0.27002238808598755,,,2.0,8,-,5
,-0.1934665635819175,,,2.0,9,-,5
,0.08415731828413561,,,3.0,10,-,5
,-0.0004733253390536741,,,4.0,11,-,5
,,,,1.0,1,-,7
,,,,1.0,2,-,7
,-0.04448921284507324,,,2.0,3,-,7
,0.2559852572716589,,,2.0,4,-,7
,-0.1418304284120816,,,3.0,5,-,7
,0.3630299028293174,,,2.0,6,-,7
,,,,1.0,7,-,7
,0.19278956755388144,,,3.0,8,-,7
,0.456459144608022,,,2.0,9,-,7
,0.07216752957688301,,,2.0,10,-,7
,-0.02340327719830816,,,3.0,11,-,7
,0.047901211564194995,,,4.0,1,-,3
,-0.2062651615371478,,,3.0,2,-,3
,,,,1.0,3,-,3
,,,,1.0,4,-,3
,-0.11211515474486408,,,3.0,5,-,3
,0.2607866879742269,,,3.0,6,-,3
,-0.07886500578173956,,,5.0,7,-,3
,-0.06767240486374435,,,3.0,8,-,3
,-0.013243650737811018,,,3.0,9,-,3
,0.1874214865619606,,,2.0,10,-,3
,-0.09569206132863606,,,5.0,11,-,3
,-0.09662866513101707,,,4.0,1,-,5
,0.3464036308732791,,,2.0,2,-,5
,0.504325699347925,,,2.0,3,-,5
,0.05210492857405147,,,2.0,4,-,5
,0.036563693156448654,,,2.0,5,-,5
,-0.06113032004827312,,,2.0,6,-,5
,-0.025011865901952503,,,3.0,7,-,5
,0.606036054212795,,,2.0,8,-,5
,,,,1.0,9,-,5
,,,,1.0,10,-,5
,,,,1.0,11,-,5
,0.4324675484751972,,,2.0,1,-,7
,0.08389343505558877,,,2.0,2,-,7
,,,,1.0,3,-,7
,,,,1.0,4,-,7
,0.2457994044761716,,,2.0,5,-,7
,-0.12266514471775596,,,3.0,6,-,7
,-0.19447862064113483,,,3.0,7,-,7
,0.5992118853429593,,,2.0,8,-,7
,,,,1.0,9,-,7
,,,,1.0,10,-,7
,,,,1.0,11,-,7
,,,,,1,-,3
,,,,,2,-,3
,,,,1.0,3,-,3
,-0.1098769356748047,,,3.0,4,-,3
,-0.08614505128844435,,,5.0,5,-,3
,0.009576089756664649,,,2.0,6,-,3
,,,,,7,-,3
,,,,,8,-,3
,0.11656195575198765,,,2.0,9,-,3
,-0.06451084102903278,,,4.0,10,-,3
,-0.18916350897825845,,,5.0,11,-,3
,-0.2174535579814798,,,2.0,1,-,5
,0.007475716127919015,,,2.0,2,-,5
,-0.189245265032393,,,3.0,3,-,5
,0.041692301326965546,,,2.0,4,-,5
,-0.1161535009461793,,,3.0,5,-,5
,0.1892750343864955,,,2.0,6,-,5
,,,,1.0,7,-,5
,,,,1.0,8,-,5
,0.025469070466467566,,,2.0,9,-,5
,-0.14668223396556104,,,5.0,10,-,5
,0.0988595902668536,,,2.0,11,-,5
,-0.08029435508350909,,,2.0,1,-,7
,0.004896898808067737,,,2.0,2,-,7
,,,,1.0,3,-,7
,-0.04856039836287407,,,2.0,4,-,7
,-0.08579082023168894,,,2.0,5,-,7
,,,,1.0,6,-,7
,0.28657768658344623,,,2.0,7,-,7
,,,,1.0,8,-,7
,,,,1.0,9,-,7
,-0.029157666594504385,,,3.0,10,-,7
,0.03439477901330416,,,2.0,11,-,7
,,,,,1,-,3
,0.22857399968814066,,,2.0,2,-,3
,,,,,3,-,3
,0.4738837083867852,,,2.0,4,-,3
,,,,,5,-,3
,-0.018046666842327874,,,3.0,6,-,3
,0.5134604921947965,,,3.0,7,-,3
,-0.018544268062682806,,,7.0,8,-,3
,0.12636483512455512,,,5.0,9,-,3
,-0.03685788246935281,,,4.0,10,-,3
,-0.1352364865249119,,,6.0,11,-,3
,0.7149888999067342,,,2.0,1,-,5
,0.5258464119773999,,,2.0,2,-,5
,0.5595769831741872,,,2.0,3,-,5
,0.08209274818073713,,,2.0,4,-,5
,0.6493646217272147,,,2.0,5,-,5
,0.12676374871549964,,,5.0,6,-,5
,0.4127598096616939,,,2.0,7,-,5
,0.36959762318727296,,,4.0,8,-,5
,0.23205197641568612,,,4.0,9,-,5
,-0.02399882479215403,,,3.0,10,-,5
,0.11622818054373928,,,4.0,11,-,5
,,,,1.0,1,-,7
,,,,1.0,2,-,7
,0.6858532221810906,,,3.0,3,-,7
,,,,1.0,4,-,7
,0.4878471005098122,,,3.0,5,-,7
,0.03565625949504286,,,4.0,6,-,7
,0.6569350996156913,,,2.0,7,-,7
,0.42255849907201604,,,3.0,8,-,7
,0.4337294438977512,,,3.0,9,-,7
,0.23182871498207414,,,2.0,10,-,7
,0.23629512025562135,,,2.0,11,-,7
