F1,SI,JI,homogeneity,IC_av,cluster count,segment,stream,size
,,,,"[2.4039279834973457, 2.4039279834973457]",1,1,-,7
,0.9971768400729424,,,"[636.6543488099413, 0.46313560689017486, 636.1912132030511]",2,2,-,7
,,,,"[2.2272663648357245, 2.2272663648357245]",1,3,-,7
,,,,"[2.4164660045065443, 2.4164660045065443]",1,4,-,7
,0.9968977946017653,,,"[2.3422268275972726, 0.977116219963018, 1.3651106076342545]",2,5,-,7
,,,,"[1.9493807391470768, 1.9493807391470768]",1,6,-,7
,0.9972486003737725,,,"[687.923202020739, 0.7884865629755188, 687.1347154577635]",2,7,-,7
,,,,"[2.162800188367276, 2.162800188367276]",1,8,-,7
,,,,"[2.2914313274968183, 2.2914313274968183]",1,9,-,7
,0.9967258480558985,,,"[666.1172715051628, 665.465560269071, 0.6517112360917434]",2,10,-,7
,,,,"[2.425286191394851, 2.425286191394851]",1,11,-,7
