F1,SI,JI,homogeneity,IC_av,segment,stream,cluster count,size
,,,,,1,-,,7
,,,,"[0.7215972874228946, 0.7215972874228946]",2,-,1.0,7
,,,,"[0.6812710291689446, 0.6812710291689446]",3,-,1.0,7
,,,,,4,-,,7
,,,,"[0.6182608970192665, 0.6182608970192665]",5,-,1.0,7
,,,,,6,-,,7
,,,,"[0.5877364501578469, 0.5877364501578469]",7,-,1.0,7
,,,,"[0.903424747326516, 0.903424747326516]",8,-,1.0,7
,,,,"[0.21239734655156564, 0.21239734655156564]",9,-,1.0,7
,,,,"[0.24119047984203082, 0.24119047984203082]",10,-,1.0,7
,,,,,11,-,,7
