F1,SI,JI,IC_av,cluster count,segment,stream,size
<<<<<<< HEAD:results/ampds/weather/7/tabular/final_evalution_metrics.csv
,0.014598725810544408,,"[1.9745497186560368, 0.0, 1.098474382826609, 0.10909030352671618, 0.5790610546789354, 0.18792397762377613]",5,1,-,3
,0.04556910830953925,,"[1.3508649165407265, 0.7679436903108438, 0.5829212262298828]",2,2,-,3
,-0.03557373757871862,,"[1.76021606845798, 0.7499793902425194, 0.5051183391077304, 0.5051183391077304]",3,3,-,3
,0.1696592087002059,,"[5.145646304378373, 0.3187302044071569, 0.3187302044071569, 4.5081858955640595]",3,4,-,3
,-0.09208711613555505,,"[3.78818691301029, 0.07040753147155275, 0.8926236877487966, 2.161638910694372, 0.3082611812760265, 0.3552556018195422]",5,5,-,3
,-0.04474699051253474,,"[2.5779988529204765, 1.0713686268503573, 0.043544414211799894, 1.4630858118583194]",3,6,-,3
,-0.07354989970340181,,"[1.7458029424371997, 0.0974856377183504, 1.4147309675045217, 0.23358633721432753]",3,7,-,3
,0.26567610229342403,,"[1.341547300709982, 0.10886349961812863, 0.0241935483870968, 1.2084902527047565]",3,8,-,3
,-0.06849116641835182,,"[1.8848665572019137, 0.7674398387333329, 0.26086118530041413, 0.06762031809074748, 0.021505376344086207, 0.7674398387333329]",5,9,-,3
,0.010361098155878703,,"[5.805865927036108, 1.0948386318422114, 0.7809240412685295, 2.564676528193599, 1.3654267257317685]",4,10,-,3
,0.0028831541993603388,,"[4.390403688294483, 1.4307745458663783, 0.3836692869186697, 1.9738973402937947, 0.3836692869186697, 0.21839322829697022]",5,11,-,3
,0.12008855033343864,,"[2.043367445078249, 1.0200042694373972, 0.18792397762377613, 0.8354391980170756]",3,1,-,5
,0.05121001403620486,,"[1.2321789462162616, 1.0327741994004909, 0.1994047468157706]",2,2,-,5
,-0.013542538428142207,,"[1.729360069889854, 0.9140998555974287, 0.572729962659661, 0.24253025163276404]",3,3,-,5
,0.15069712832054757,,"[5.232239487851762, 0.21676619144533626, 0.12245205889622945, 4.8930212375101965]",3,4,-,5
,-0.018314219636861234,,"[4.063461220433439, 0.8926236877487966, 2.552672929309353, 0.6181646033752899]",3,5,-,5
,0.053832985625960714,,"[2.676811435346062, 1.0964358739021267, 1.5803755614439354]",2,6,-,5
,0.028701539343907508,,"[1.68832401144522, 1.4901534801117793, 0.1981705313334408]",2,7,-,5
,0.24036610312456747,,"[1.345077805596346, 0.09230079911560048, 0.0241935483870968, 1.2285834580936486]",3,8,-,5
,-0.08113807654512865,,"[2.373395721159417, 2.0469337130689045, 0.13691869949094704, 0.18954330859956564]",3,9,-,5
,-0.07332032387011009,,"[5.899676430264041, 0.8848497335462566, 3.087930015367102, 1.9268966813506818]",3,10,-,5
,-0.003603935002389212,,"[4.460297014652276, 1.175190291943452, 1.574216520248904, 1.574216520248904, 0.13667368221101608]",4,11,-,5
,0.1273204868120267,,"[1.991846726414364, 1.074397016060499, 0.9174497103538649]",2,1,-,7
,0.050890776716010354,,"[1.2429055877194082, 1.0136265977100902, 0.22927899000931795]",2,2,-,7
,-0.02776077768080368,,"[1.7916045919384025, 1.008801970194786, 0.4124942959673087, 0.370308325776308]",3,3,-,7
,0.2808676267699293,,"[5.351103694549278, 0.36211218978899307, 4.988991504760285]",2,4,-,7
,-0.14009857258113853,,"[4.298256576303981, 2.0470294016189867, 0.20419777306600695, 2.0470294016189867]",3,5,-,7
,0.27830541027106953,,"[2.3442649971192195, 0.17448464318073853, 2.169780353938481]",2,6,-,7
,0.054904101531490654,,"[1.6884065935240242, 1.5126648369883, 0.1757417565357242]",2,7,-,7
,0.4106079826828835,,"[1.351381978153238, 1.2285834580936486, 0.1227985200595894]",2,8,-,7
,0.08096826040116414,,"[2.119174047574114, 0.6357663935944415, 1.2938643453801069, 0.18954330859956564]",3,9,-,7
,0.07216752957688301,,"[5.900566966171211, 3.242075326861392, 2.658491639309819]",2,10,-,7
,0.057885726228816436,,"[4.560579594163739, 1.6456030639412427, 1.2693734662812541, 1.6456030639412427]",3,11,-,7
,-0.12907127832427093,,"[1.1625208595233196, 0.5223063909416056, 0.08957255886435288, 0.03545145769360616, 0.368359359835408, 0.08957255886435288, 0.03545145769360616, 0.021807075630387987]",7,1,-,3
,-0.04187786515851352,,"[3.1261302189473175, 0.2772291705684549, 1.1241286413238796, 0.49658756141187194, 1.228184845643111]",4,2,-,3
,0.03420587075671377,,"[1.328458670616457, 0.516341624996725, 0.812117045619732]",2,3,-,3
,0.11619790059852116,,"[1.595809087656143, 0.6181018025475119, 0.9777072851086311]",2,4,-,3
,0.004355093618974569,,"[1.5066160701204367, 0.2795268919669232, 0.0628800724177364, 1.164209105735777]",3,5,-,3
,-0.02886351010007731,,"[1.6643319583472702, 0.748459118740024, 0.034871882286569754, 0.8810009573206764]",3,6,-,3
,-0.1727680162866261,,"[1.6947054458187276, 0.06657236037553704, 0.06657236037553704, 0.3832492233098404, 0.02586203495960102, 0.24979743871026733, 0.9026520280879449]",6,7,-,3
,-0.1029993209784912,,"[2.0908612241795588, 0.2224713244570613, 0.5210523107406939, 0.2224713244570613, 1.045798000198525, 0.07906826432621732]",5,8,-,3
,0.1470415555914765,,"[1.3150384226880902, 0.18812812922015074, 1.1269102934679396]",2,9,-,3
