F1,SI,JI,IC_av,cluster count,segment,stream,size
0.9885584443649045,0.6880427542695092,0.9777688689015027,,15,1,-,3
0.7914185898596621,0.5391167508581292,0.7518376369533822,,19,2,-,3
0.7359912693353797,0.5225135733553089,0.6831454025507879,,21,3,-,3
0.8057135780494402,0.525658107517937,0.7425114429073184,,19,4,-,3
0.9770306559241355,0.6599381474796219,0.9555318100021974,,15,1,-,4
0.9454142138571423,0.5819240038409635,0.9003307411394792,,15,2,-,4
0.8361832242605263,0.4913037659143698,0.7715410471084881,,17,3,-,4
0.8275603581778691,0.49841607380838093,0.7555129996254879,,17,4,-,4
0.9225872264590356,0.6240041752143444,0.8851443914757697,,16,1,-,6
0.8413874681107149,0.49271419506400477,0.771905597692798,,17,2,-,6
0.8557241571692643,0.48850478224515687,0.7996923650535477,,17,3,-,6
0.8187158957118297,0.4650649233278649,0.7442150514685966,,18,4,-,6
0.903685380625025,0.5822627320047097,0.85039342853992,,16,1,-,8
0.8220588843952468,0.4398543070837213,0.733988473958389,,17,2,-,8
0.8677495384725263,0.47491477788885894,0.786016244768846,,16,3,-,8
0.8245152714884073,0.41979805365551326,0.7285735519994792,,17,4,-,8
0.8904416185626092,0.5245213607581529,0.8298683773226354,,16,1,-,12
0.8332998430060741,0.3949168208779637,0.7380225135763195,,16,2,-,12
0.8293133728944377,0.4262740554067659,0.7380483373951807,,16,3,-,12
0.8209871283179297,0.4184172071038037,0.7271359692296084,,16,4,-,12
0.8661204270044148,0.4235578666569183,0.770801432629119,,15,1,-,24
0.6986026716580401,0.18495641743701202,0.5649813902946844,,16,2,-,24
0.6959133938248242,0.18739922840240492,0.5582282264802315,,16,3,-,24
0.6451940718363426,0.13514559098517773,0.5024514659046191,,17,4,-,24
0.8023471634991549,0.3525268689546708,0.7046917440753153,,16,1,-,30
0.7018557980055214,0.15001511476543955,0.5604567877944973,,15,2,-,30
0.6885974777444989,0.14707852152555398,0.5479912569831478,,15,3,-,30
0.6421734950860409,0.07165977501180654,0.4914725244614007,,16,4,-,30
0.7540053750918758,0.2665034246612136,0.6302680117405123,,16,1,-,32
0.5804188192029311,-0.010118733294718431,0.4283589427548542,,16,2,-,32
0.5918856118441391,0.00906806433248623,0.44579817259058424,,16,3,-,32
0.6192118793160915,0.01114976545255121,0.4589537633086094,,16,4,-,32
0.682852413179265,0.15523321396278317,0.5562916074671825,,16,1,-,48
0.6358287801060907,0.03214198151655032,0.48202258233064005,,13,2,-,48
0.6358287801060907,0.03500203714039645,0.48202258233064005,,13,3,-,48
0.584371772005242,-0.0342316839948841,0.4236816982246,,13,4,-,48
