F1,SI,JI,IC_av,cluster count,segment,stream,size
0.9747271547313593,0.7301782039320035,0.9550230242808656,,6,1,-,3
0.5173344926296972,0.4619520449686907,0.4562009743177575,,12,2,-,3
0.6075391656052624,0.4240129957776596,0.5267109209198275,,10,3,-,3
0.7525258463774651,0.6067931041284267,0.7437101482313849,,8,4,-,3
0.8433580284172689,0.5296304580346783,0.8119046715876586,,7,1,-,4
0.873375406455876,0.6318752939170528,0.8083056916379222,,7,2,-,4
0.6185718590993775,0.3722515596824426,0.4557295577317645,,4,3,-,4
0.7179671888212014,0.5390027662454081,0.6692134299147128,,5,4,-,4
0.7643381889142873,0.5362676632764246,0.7027044561086769,,6,1,-,6
0.9052619015989988,0.5485157266454699,0.8516483741071685,,5,2,-,6
0.4755630198949601,0.26433038635630907,0.3236126083882252,,3,3,-,6
0.5953449776486796,0.5264092792690565,0.5565898569737996,,6,4,-,6
0.8417762376884632,0.5251640551059418,0.8091945927839189,,7,1,-,8
0.9342260862603431,0.6625668617937042,0.8865171836344855,,6,2,-,8
0.6744947714982271,0.4395954044706228,0.5285727023140749,,3,3,-,8
0.5959917971092697,0.5209748329525608,0.5577376442029708,,6,4,-,8
0.7578099973987392,0.5156503792615295,0.6921153345294595,,6,1,-,12
0.8943217888589388,0.5193537483115064,0.8318721878882254,,5,2,-,12
0.4849174487978402,0.26205343337269693,0.33070079565646954,,3,3,-,12
0.7119320528955304,0.5306096175478872,0.663994829467709,,5,4,-,12
0.7569886672134608,0.5014194003817108,0.6906585328207288,,6,1,-,24
0.8981669491790323,0.5154541183534584,0.8430689312953905,,5,2,-,24
0.5399644490803372,0.5319497937010694,0.3787902827727241,,2,3,-,24
0.8721352214222277,0.6772510981140978,0.8203061127526982,,4,4,-,24
0.6833503892979336,0.4552700126589349,0.5930967400385094,,7,1,-,30
0.8340919052096817,0.5050551456915418,0.7638926850762072,,6,2,-,30
0.6620035633447093,0.4668161344947411,0.49479925369523353,,3,3,-,30
0.9094261907133143,0.5867435510668161,0.8508507119840234,,5,4,-,30
0.6832122387697895,0.43793059662386336,0.5891863418782337,,7,1,-,32
0.6958729166107994,0.3708044784250312,0.6026849837081857,,7,2,-,32
0.7141602095526647,0.49594706926603205,0.5860895475276571,,3,3,-,32
0.8271395626264069,0.5529126088514538,0.7314209121984037,,4,4,-,32
0.6883518937338479,0.4164129379100492,0.5960516235399197,,7,1,-,48
0.697440150229263,0.3950578039371702,0.6115760338477013,,7,2,-,48
0.6457746705229269,0.3693082604327419,0.47773679079474923,,3,3,-,48
0.8273272899447919,0.44967565542916377,0.72520744549556,,5,4,-,48
