connectivity,F1,SI,homogeneity,RI,ARI,MI,NMI,AMI,CS,V,FMI,S,DB,segment,stream,size
0.0,1.0,,0.0,0.2926446446446446,0.0,0.0,0.0,0.0,1.0,0.0,0.5409663988129435,,,0,-,3
59.333333333333336,1.0,0.9457895216011073,1.0,0.639282872815807,0.0,0.0,0.0,0.0,0.0,0.0,0.7995516698849469,1752953.627005796,0.07987787956286484,1,-,3
2.0,1.0,0.9993492222014667,1.0,0.9880658263891797,0.0,0.0,0.0,0.0,0.0,0.0,0.9940150031006473,23427986.44604376,0.03202967640599266,2,-,3
0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,3,-,3
0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,4,-,3
0.0,1.0,,0.0,0.2926446446446446,0.0,0.0,0.0,0.0,1.0,0.0,0.5409663988129435,,,0,-,5
0.0,1.0,0.9362782238158054,1.0,0.3918918918918919,0.0,0.0,0.0,0.0,0.0,0.0,0.6260126930757011,2463903.7283440866,0.09333945730138245,1,-,5
0.0,1.0,0.9982023714572108,1.0,0.9313313313313313,0.0,0.0,0.0,0.0,0.0,0.0,0.9650550923814305,42040442.31491969,0.04273162513249713,2,-,5
0.0,1.0,0.999654626073014,1.0,0.9900400400400401,0.0,0.0,0.0,0.0,0.0,0.0,0.9950075577803619,61794972.49081965,0.0005464651365397987,3,-,5
0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,,4,-,5
0.0,1.0,,0.0,0.2926446446446446,0.0,0.0,0.0,0.0,1.0,0.0,0.5409663988129435,,,0,-,10
2.0,1.0,0.9500529882040549,1.0,0.00960960960960961,0.0,0.0,0.0,0.0,0.0,0.0,0.09802861627917436,4802634.704834155,0.06792305336123904,1,-,10
1.9999999999999998,1.0,0.9646162472098431,1.0,0.014614614614614614,0.0,0.0,0.0,0.0,0.0,0.0,0.12089092031502868,26064284.85008303,0.050958128709075394,2,-,10
0.0,1.0,0.9966505832525538,1.0,0.8654654654654654,0.0,0.0,0.0,0.0,0.0,0.0,0.9303039640168504,309699458.351931,0.051158812170147554,3,-,10
9.0,1.0,0.9475396178592251,1.0,0.014614614614614614,0.0,0.0,0.0,0.0,0.0,0.0,0.12089092031502868,33488144.183652535,0.07054203460348052,4,-,10
